N	3gram	Trubetskoy	Myshleni
1	в том что	16	133
2	с точки зрения	8	89
3	для того чтобы	7	78
4	заключается в том	3	51
5	по сравнению с	5	45
6	по отношению к	11	42
7	с одной стороны	2	39
8	так же как	3	39
9	друг с другом	9	35
10	в этом случае	4	27
11	с другой стороны	4	26
12	вместе с тем	3	26
13	о том что	4	25
14	на то что	7	25
15	не может быть	4	23
16	в то время	2	22
17	в высшей степени	2	22
18	в самом деле	5	19
19	во всяком случае	2	18
20	до сих пор	15	17
21	одного и того	3	17
22	в связи с	3	17
23	и того же	3	17
24	в данном случае	3	15
25	и то что	3	15
26	друг от друга	6	14
27	в свою очередь	2	14
28	а с другой	2	13
29	тем не менее	4	12
30	в своем развитии	4	12
31	тот факт что	4	10
32	но вместе с	2	10
33	друг на друга	2	10
34	не в состоянии	3	10
35	на самом деле	7	9
36	друг к другу	2	9
37	более или менее	8	9
38	том что он	2	9
39	как и в	2	9
40	мы говорили выше	6	8
41	в этой области	4	8
42	в том же	3	8
43	в том виде	2	7
44	ничего общего с	2	6
45	заключает в себе	2	6
46	именно потому что	2	6
47	совершенно так же	4	6
48	в том и	2	6
49	только то что	2	6
50	не может не	3	5
51	в конце концов	4	5
52	мы знаем что	7	5
53	но все же	2	5
54	в то же	2	5
55	между этими двумя	2	5
56	принять во внимание	2	5
57	таким же образом	2	4
58	как и все	2	4
59	которых мы говорили	4	4
60	таким образом в	3	4
61	несмотря на то	2	4
62	но так как	2	4
63	о которых мы	4	4
64	бы то ни	3	3
65	которой мы говорили	2	3
66	то ни было	3	3
67	в вопросе о	2	3
68	к тому же	5	3
69	в настоящее время	3	3
70	а следовательно и	2	3
71	том что развитие	2	3
72	то же время	2	3
73	указывают на то	2	3
74	то очевидно что	2	3
75	о которой мы	2	3
76	в целом ряде	3	3
77	во всех этих	2	2
78	высших и низших	2	2
79	том случае если	4	2
80	время от времени	2	2
81	все же не	3	2
82	он не может	2	2
83	ответить на вопрос	2	2
84	и может быть	2	2
85	в такой форме	2	2
86	в том случае	4	2
87	отличаются друг от	3	2
88	то что у	2	2
