N	3gram	Voloshinov	Myslijsy
1	в том что	4	47
2	по отношению к	11	26
3	не может быть	7	19
4	тем не менее	3	18
5	с другой стороны	2	12
6	до сих пор	3	12
7	но тем не	2	10
8	с одной стороны	2	10
9	на самом деле	2	8
10	и то же	2	7
11	можно сказать что	5	7
12	одно и то	2	7
13	с точки зрения	2	7
14	то же самое	2	6
15	в данном случае	2	4
16	дело в том	4	4
17	зависит от того	2	4
18	бы то ни	3	3
19	это не так	2	3
20	этой точки зрения	3	3
21	с этой стороны	2	3
22	что не может	2	3
23	одной стороны и	2	3
24	до известной степени	2	3
25	и не в	3	2
26	то ни было	3	2
27	и не может	3	2
28	и по отношению	3	2
