N	2gram	Berdyaev_N	Problemy
1	и в	16	106
2	и не	11	90
3	может быть	7	66
4	в этом	7	52
5	в нем	5	51
6	не может	16	49
7	как и	7	44
8	но и	3	40
9	а не	17	38
10	не только	5	36
11	то что	4	33
12	но в	2	33
13	прежде всего	4	32
14	в то	2	29
15	все это	5	29
16	он не	8	29
17	и все	4	28
18	не в	6	27
19	и с	2	25
20	и на	2	23
21	никогда не	6	20
22	потому что	4	20
23	что в	9	19
24	с его	6	19
25	в себе	2	18
26	все эти	2	18
27	уже не	2	18
28	еще не	3	18
29	но не	2	18
30	это не	4	17
31	в том	8	17
32	так и	2	17
33	а в	2	17
34	и к	5	17
35	так же	2	16
36	в своей	3	16
37	этом смысле	2	16
38	и для	4	15
39	у него	2	15
40	я не	2	14
41	лишь в	6	14
42	и это	2	13
43	в мире	3	13
44	том что	2	12
45	к тому	3	12
46	не знает	6	12
47	но это	6	12
48	за пределы	3	12
49	и даже	2	12
50	как в	3	12
51	и что	2	12
52	она не	3	11
53	должно быть	4	11
54	с другой	3	11
55	как будто	2	11
56	ведь и	2	10
57	как не	8	10
58	и потому	4	9
59	могут быть	2	9
60	в них	4	9
61	хотя и	2	9
62	другой стороны	2	9
63	хотя бы	2	9
64	ни в	6	9
65	это и	2	8
66	должна быть	3	8
67	и от	2	8
68	все время	2	8
69	с их	2	8
70	о том	4	8
71	вопрос о	3	7
72	мира и	2	7
73	что все	2	7
74	сказать что	3	7
75	в жизни	5	7
76	что она	2	7
77	мысли и	2	7
78	такой же	2	7
79	во всех	3	7
80	не было	4	7
81	по существу	2	6
82	не менее	4	6
83	стремится к	3	6
84	себя в	2	6
85	одна из	2	6
86	для этого	2	6
87	с этим	2	6
88	можно было	2	6
89	но для	2	6
90	и пр	3	6
91	жизни и	8	6
92	конечно не	3	6
93	в основе	3	6
94	не во	4	5
95	по своему	4	5
96	с тем	3	5
97	мы не	2	5
98	в ее	3	5
99	этот мир	2	5
100	на протяжении	2	5
101	нет и	2	5
102	подобно тому	3	5
103	мир и	2	5
104	тому как	3	5
105	высшей степени	6	5
106	в высшей	6	5
107	в ней	5	5
108	вместе с	2	5
109	мысли в	2	4
110	в духе	3	4
111	не значит	3	4
112	не знал	2	4
113	время как	2	4
114	это было	3	4
115	с ее	5	4
116	времени и	2	4
117	что такое	3	4
118	не есть	3	4
119	будет и	2	4
120	перестает быть	4	4
121	бытия в	2	3
122	человека и	3	3
123	в нашу	2	3
124	совсем не	12	3
125	того чтобы	2	3
126	и мы	4	3
127	все они	2	3
128	и есть	10	3
129	том и	2	3
130	есть в	2	3
131	в смысле	2	3
132	нового времени	12	3
133	народ русский	2	2
134	во вне	2	2
135	но она	2	2
136	к более	2	2
137	должен быть	5	2
138	быть в	2	2
139	переживает кризис	2	2
140	для чего	2	2
141	не могла	2	2
142	смысле слова	3	2
143	же как	2	2
144	нового типа	2	2
145	со всех	4	2
146	в россии	3	2
147	ли это	2	2
148	я уже	2	2
149	и весь	2	2
150	еще до	2	2
151	есть лишь	4	2
152	в истории	3	2
153	политики и	2	2
154	в центре	2	2
155	силы и	2	2
156	с одной	2	2
157	не имеет	4	2
158	не к	2	2
159	жизни не	3	2
160	но я	2	2
161	роль в	2	2
162	в категориях	2	2
163	воля к	6	2
164	и должно	2	2
