N	2gram	Berdyaev_O	Vladivir
1	и в	19	116
2	то что	5	71
3	и не	13	67
4	не только	11	65
5	у него	22	65
6	в этом	12	53
7	в том	5	52
8	том что	2	51
9	что в	4	48
10	но и	13	47
11	в его	7	40
12	и с	2	39
13	сказать что	2	36
14	так что	2	35
15	учение о	2	35
16	потому что	9	33
17	что он	3	32
18	не может	4	31
19	о том	3	30
20	никогда не	9	29
21	для него	5	29
22	а в	5	27
23	не было	9	26
24	но в	2	25
25	в себе	3	25
26	и то	2	25
27	и его	4	25
28	даже и	2	24
29	может быть	11	23
30	он не	7	23
31	что же	2	23
32	так как	2	22
33	он был	8	22
34	в своей	2	21
35	в своем	2	20
36	прежде всего	9	20
37	и потому	2	19
38	так и	2	19
39	не в	11	18
40	как и	6	18
41	хотя и	2	18
42	с его	4	18
43	что и	2	17
44	в этой	5	17
45	а не	11	17
46	все же	2	16
47	того что	3	16
48	совсем не	2	16
49	было бы	3	16
50	и все	10	16
51	не есть	2	16
52	до конца	7	15
53	к этому	2	15
54	это было	3	15
55	в своих	3	15
56	и к	2	15
57	уже в	2	14
58	все эти	4	14
59	и на	2	14
60	с тем	2	13
61	и от	3	13
62	ничего не	2	12
63	в нем	10	12
64	по себе	2	12
65	не очень	2	11
66	и о	2	11
67	все это	6	11
68	хотя бы	3	11
69	в которой	2	11
70	него в	5	11
71	к нему	3	10
72	которую он	2	10
73	что все	2	10
74	в истории	2	10
75	в россии	5	10
76	еще не	3	10
77	что для	2	10
78	в самом	5	10
79	с ним	3	10
80	это не	3	9
81	своей жизни	2	9
82	ни с	7	9
83	но он	7	9
84	только и	4	8
85	отношение к	5	8
86	как бы	3	8
87	и он	8	8
88	должно быть	2	8
89	в этот	2	8
90	тем что	2	8
91	в этих	3	8
92	и для	2	8
93	когда он	3	8
94	и ни	2	7
95	не имеет	2	7
96	к этой	2	7
97	того чтобы	4	7
98	о его	5	7
99	и вот	3	7
100	к ней	2	7
101	и есть	3	7
102	его в	2	6
103	и очень	2	6
104	о боге	4	6
105	было для	2	6
106	мысли и	3	6
107	должен был	2	6
108	для того	3	6
109	и из	2	6
110	он сам	4	6
111	чем в	2	6
112	вопрос о	10	5
113	он в	2	5
114	что они	2	5
115	ее в	2	5
116	нет ничего	7	5
117	жизни в	2	5
118	него не	2	5
119	что у	2	5
120	не могут	3	4
121	человека и	10	4
122	как к	2	4
123	не могли	2	4
124	он всегда	7	4
125	только одно	3	4
126	и против	2	4
127	с которой	2	4
128	него и	4	4
129	же это	2	4
130	не все	2	4
131	лишь в	7	4
132	о которой	2	4
133	от него	7	3
134	и ее	3	3
135	в другом	2	3
136	и никогда	2	3
137	с богом	2	3
138	его не	2	3
139	что не	4	3
140	выше всего	2	3
141	всегда есть	4	3
142	все еще	2	3
143	ума и	2	3
144	что человек	3	3
145	на земле	4	3
146	во имя	3	3
147	что есть	2	3
148	все что	3	3
149	ни у	2	3
150	человек не	7	3
151	человека в	11	2
152	у достоевского	19	2
153	жизни все	3	2
154	всякий кто	2	2
155	ничего кроме	2	2
156	было всего	2	2
157	никогда и	2	2
158	подойти к	2	2
159	рационализма и	2	2
160	свобода и	2	2
161	можно ли	2	2
162	в ее	2	2
163	с чего	2	2
164	любовь к	2	2
165	в душе	2	2
166	это за	3	2
167	раз уже	2	2
168	достоевского но	2	2
169	в самой	9	2
170	в русской	3	2
171	личности и	2	2
172	природы и	2	2
173	все в	4	2
