N	2gram	Vinokur_Vv	Literetu
1	а не	5	50
2	и не	13	47
3	не только	26	46
4	и в	35	44
5	может быть	30	43
6	при этом	3	41
7	но и	7	41
8	тогда как	2	40
9	в том	38	39
10	в этом	35	38
11	своего рода	3	37
12	том что	30	32
13	в частности	3	30
14	такого рода	3	30
15	то что	19	29
16	в качестве	8	27
17	состоит в	2	26
18	то же	11	26
19	как и	7	23
20	в то	6	23
21	не в	10	22
22	так и	2	22
23	того что	12	22
24	себя в	2	22
25	не может	19	22
26	же время	6	21
27	в себе	4	20
28	прежде всего	10	19
29	как бы	7	18
30	точки зрения	12	17
31	в его	12	17
32	с другой	8	17
33	в этой	3	16
34	со стороны	16	15
35	не менее	9	15
36	в целом	5	15
37	только в	16	15
38	по отношению	4	14
39	что он	5	14
40	однако в	3	14
41	и даже	6	14
42	в своем	3	13
43	как это	5	13
44	в тексте	4	13
45	с одной	4	13
46	но не	9	13
47	уже не	6	13
48	и его	6	13
49	в данном	11	12
50	в своей	4	12
51	а также	3	12
52	еще не	4	12
53	одним из	5	12
54	отношению к	4	12
55	о том	16	12
56	одной стороны	4	12
57	никогда не	3	11
58	данном случае	5	11
59	это не	8	11
60	в другом	3	11
61	отличие от	4	11
62	и сам	3	11
63	не столько	2	11
64	как в	3	11
65	в отличие	4	11
66	а в	6	11
67	или иначе	4	11
68	в конечном	3	11
69	вместе с	6	11
70	этом отношении	4	10
71	в принципе	3	10
72	в области	4	10
73	что в	13	10
74	так или	4	10
75	в ее	11	10
76	из них	4	10
77	и на	3	10
78	потому что	18	10
79	жизни и	2	10
80	одно из	5	9
81	к тому	4	9
82	один из	6	9
83	связи с	3	9
84	в начале	3	9
85	с этой	5	9
86	искусства и	2	9
87	и т.д	5	9
88	представляет собой	14	9
89	одна из	3	8
90	в конце	3	8
91	все же	9	8
92	по существу	2	8
93	но в	10	8
94	того же	3	8
95	уже в	5	8
96	не говоря	2	8
97	что не	5	8
98	говоря уже	2	8
99	особого рода	4	8
100	и как	9	8
101	а именно	6	8
