N	2gram	Vinokur_Ku	NovoeSre
1	а не	17	17
2	и в	44	16
3	не может	13	16
4	и не	23	11
5	и есть	3	10
6	что в	25	9
7	как не	4	8
8	в том	47	8
9	он не	4	8
10	может быть	25	7
11	как и	3	7
12	в этом	31	7
13	это есть	2	7
14	никогда не	2	6
15	лишь в	6	6
16	ни в	3	6
17	не в	18	6
18	не знает	4	6
19	но это	4	6
20	с его	4	6
21	не только	29	5
22	должен быть	8	5
23	все это	10	5
24	в нем	7	5
25	в ней	6	5
26	xix века	5	5
27	должно быть	6	4
28	в них	10	4
29	и для	3	4
30	есть лишь	3	4
31	не имеет	6	4
32	прежде всего	14	4
33	не менее	12	4
34	не было	6	4
35	и потому	6	4
36	и мы	2	4
37	то что	14	4
38	о том	10	4
39	это не	13	4
40	потому что	40	4
41	и все	4	4
42	большую роль	2	4
43	наше время	3	4
44	смысле слова	3	3
45	но и	13	3
46	к жизни	2	3
47	в наше	3	3
48	с другой	14	3
49	не значит	2	3
50	в ее	2	3
51	к тому	8	3
52	и пр	23	3
53	что такое	8	3
54	лицом к	2	3
55	в своей	4	3
56	еще не	10	3
57	к ним	2	3
58	в истории	3	3
59	должна быть	6	3
60	революции и	2	3
61	как в	6	3
62	конечно не	3	3
63	не есть	4	3
64	в духе	3	3
65	сказать что	5	3
66	в наши	2	3
67	вопрос о	11	3
68	это было	2	3
69	наряду с	2	3
70	с тем	5	3
71	в себе	4	2
72	и должно	2	2
73	что она	5	2
74	как будто	2	2
75	и с	11	2
76	том чтобы	9	2
77	для этого	6	2
78	но не	11	2
79	что все	6	2
80	и от	2	2
81	в русском	14	2
82	роль в	6	2
83	того чтобы	25	2
84	и это	3	2
85	хотя бы	19	2
86	когда мы	3	2
87	же как	3	2
88	а в	7	2
89	но в	11	2
90	том что	30	2
91	и на	8	2
92	с этим	6	2
93	есть в	6	2
94	и что	11	2
95	ли это	4	2
96	все эти	17	2
97	я уже	2	2
98	в смысле	2	2
99	и было	3	2
100	не имеют	3	2
101	можно было	14	2
102	это и	6	2
103	у него	3	2
104	уже не	13	2
105	по существу	9	2
106	с их	3	2
107	как это	6	2
108	другой стороны	12	2
109	так же	8	2
110	так и	10	2
111	могут быть	5	2
112	но для	4	2
113	одной стороны	2	2
114	быть в	2	2
115	в то	4	2
116	хотя и	7	2
117	мы говорим	4	2
118	этом смысле	8	2
119	с одной	3	2
120	том и	3	2
121	и даже	5	2
122	ведь и	2	2
123	вместе с	8	2
124	я не	5	2
