N	2gram	Ircho_Kome	VelikijI
1	и не	28	20
2	и в	37	16
3	так как	16	9
4	то что	5	9
5	еще не	10	8
6	в истории	2	8
7	и потому	2	7
8	на земле	2	7
9	что они	3	7
10	а не	5	7
11	человека и	2	6
12	в мире	2	5
13	как бы	7	5
14	на себя	10	5
15	но и	18	5
16	все это	7	5
17	хотя и	6	5
18	и все	6	4
19	как и	10	4
20	в котором	6	4
21	потому что	19	4
22	все что	6	4
23	в нем	8	4
24	в образе	5	4
25	в ней	7	4
26	что не	5	4
27	что мы	4	4
28	и я	3	4
29	в его	12	4
30	говорить о	6	4
31	они будут	2	4
32	в этом	18	4
33	что он	15	4
34	и есть	3	4
35	так и	4	4
36	никогда не	5	3
37	что в	11	3
38	в том	24	3
39	и для	7	3
40	не имеет	6	3
41	тому что	5	3
42	за то	2	3
43	но в	7	3
44	к тому	11	3
45	любовь к	4	3
46	ни в	14	3
47	что ты	3	3
48	их в	3	3
49	нет ничего	4	3
50	то это	5	3
51	хотя бы	5	3
52	в своей	6	3
53	во всех	4	3
54	в конце	14	3
55	за ним	3	3
56	же ты	3	3
57	по этому	3	3
58	в них	6	3
59	как не	2	3
60	что и	12	3
61	и мы	5	3
62	не было	6	3
63	если не	7	3
64	и что	8	3
65	не в	7	3
66	в этих	2	3
67	что я	5	3
68	должна быть	2	3
69	в чем	7	3
70	тот же	11	3
71	с его	6	3
72	с тем	6	2
73	да и	3	2
74	не так	4	2
75	но не	9	2
76	нет и	4	2
77	что их	4	2
78	и это	4	2
79	это не	3	2
80	не только	13	2
81	не могут	2	2
82	а в	12	2
83	том что	22	2
84	для человека	2	2
85	и во	3	2
86	от него	2	2
87	во всяком	3	2
88	ли ты	4	2
89	могут быть	3	2
90	один из	6	2
91	не будет	2	2
92	почему в	2	2
93	того чтобы	9	2
94	и теперь	2	2
95	более чем	6	2
96	тем что	12	2
97	мы не	6	2
98	конечно не	4	2
99	можно было	3	2
100	только в	3	2
101	до того	4	2
102	и сам	11	2
103	все равно	3	2
104	его и	3	2
105	от своей	2	2
106	это дело	2	2
107	для нас	7	2
108	людей и	2	2
109	прежде всего	7	2
110	и т	5	2
111	с ним	10	2
112	его не	3	2
113	между тем	6	2
114	а с	2	2
115	не с	2	2
116	я говорю	2	2
