N	2gram	Bakhtin_fo	EvropaiE
1	и в	84	37
2	в отношении	5	32
3	в пределах	8	25
4	точки зрения	14	23
5	что в	9	21
6	не только	16	18
7	с точки	9	17
8	в то	13	16
9	хотя бы	2	15
10	то же	18	15
11	в своем	8	14
12	но в	16	14
13	но и	14	14
14	и не	19	14
15	же время	13	14
16	в качестве	6	14
17	в этом	41	12
18	в том	16	11
19	в их	9	11
20	так и	17	10
21	все более	2	9
22	так же	7	9
23	в смысле	5	9
24	не может	8	9
25	отнюдь не	7	9
26	в себе	7	9
27	прежде всего	28	9
28	только в	12	9
29	одной стороны	3	8
30	в ее	6	8
31	было бы	2	8
32	в своей	2	8
33	с одной	5	8
34	к тому	6	8
35	по своему	3	7
36	также и	6	7
37	с другой	4	7
38	а также	5	7
39	как и	15	7
40	так как	12	7
41	того что	5	7
42	том что	7	6
43	во всех	13	6
44	то есть	42	6
45	и даже	5	6
46	может быть	18	6
47	и на	13	6
48	стороны и	2	6
49	с этой	3	6
50	того чтобы	11	6
51	для того	12	6
52	то что	13	6
53	как бы	11	6
54	вовсе не	20	6
55	но не	9	5
56	от этого	4	5
57	и по	5	5
58	и потому	4	5
59	в той	5	5
60	как мы	19	5
61	не в	10	5
62	в частности	11	5
63	в течение	2	5
64	же как	2	5
65	одной из	3	5
66	сказать что	4	4
67	в каком	2	4
68	лежат в	2	4
69	вопрос о	2	4
70	не имеет	5	4
71	или иной	4	4
72	можно сказать	2	4
73	то в	2	4
74	именно в	5	4
75	в процессе	4	4
76	в самом	9	4
77	мы не	4	4
78	в ней	4	4
79	для нас	2	4
80	по себе	3	4
81	тем более	4	4
82	мира в	6	4
83	к ней	2	4
84	той или	3	4
85	не на	4	4
86	как это	2	4
87	чем в	3	4
88	никогда не	8	3
89	с тем	5	3
90	и от	3	3
91	и для	12	3
92	и только	3	3
93	в данной	2	3
94	к настоящему	2	3
95	о том	4	3
96	к ним	3	3
97	идет о	2	3
98	в данном	4	3
99	вообще не	4	3
100	того же	9	3
101	время в	7	3
102	в которых	4	3
103	мира и	6	3
104	в свою	2	3
105	и к	4	3
106	в определенном	3	3
107	в результате	6	3
108	мы можем	2	3
109	но на	4	3
110	из них	8	3
111	и прежде	4	3
112	во все	4	3
113	в них	11	3
114	место в	4	3
115	на себя	2	3
116	мы видели	2	3
117	что и	5	3
118	друг с	5	3
119	там где	4	3
120	тем что	4	3
121	этом отношении	5	3
122	не является	4	3
123	жизни в	11	3
124	потому что	11	3
125	в таком	4	3
126	с другом	5	3
127	как в	10	3
128	в стороне	2	3
129	как на	2	3
130	в прошлом	3	3
131	большинстве случаев	2	3
132	ее в	2	3
133	во всяком	5	3
134	дело в	3	3
135	бы совершенно	2	2
136	есть в	3	2
137	данном случае	2	2
138	в мире	4	2
139	в его	19	2
140	сплошь и	2	2
141	одна и	2	2
142	и то	5	2
143	не могут	4	2
144	она не	2	2
145	а в	6	2
146	с этим	11	2
147	мы должны	2	2
148	с другими	3	2
149	все другие	2	2
150	в котором	8	2
151	с большой	3	2
152	его на	3	2
153	как оно	2	2
154	далеко не	3	2
155	от друга	2	2
156	дело идет	2	2
157	и еще	3	2
158	и поэтому	2	2
159	только к	3	2
160	в большинстве	3	2
161	во многом	2	2
162	и с	10	2
163	что на	3	2
164	во втором	2	2
165	могут быть	7	2
166	по преимуществу	4	2
167	что все	4	2
168	между ними	5	2
169	в значительной	3	2
170	тогда когда	2	2
171	и та	2	2
172	в одном	10	2
173	как их	2	2
174	на них	2	2
175	и как	12	2
176	в порядке	4	2
177	целый ряд	2	2
178	есть не	4	2
179	если бы	6	2
180	для них	3	2
181	в этих	6	2
182	жизни и	12	2
183	еще более	7	2
184	и того	7	2
185	в других	9	2
186	а не	7	2
187	и других	5	2
188	мы видим	4	2
189	и рядом	2	2
190	и во	13	2
191	происходит в	2	2
192	и наконец	6	2
193	имеет в	2	2
194	же в	6	2
195	точка зрения	4	2
196	этот процесс	5	2
197	и все	10	2
198	влияние на	6	2
199	или в	3	2
200	друг от	2	2
201	наряду с	7	2
202	по сравнению	3	2
203	таким образом	14	2
204	это значит	3	2
205	в истории	6	2
206	он не	6	2
207	во всей	3	2
208	сравнению с	3	2
209	и эта	2	2
210	но по	2	2
211	и имеет	3	2
212	не к	2	2
213	в этой	3	2
214	в некоторых	4	2
215	между собой	5	2
216	всего в	4	2
217	хотя и	5	2
218	вместе с	9	2
219	он сам	2	2
220	на основе	5	2
221	и более	3	2
222	имеет место	6	2
