N	3gram	Losev_Dial	RusskieA
1	в том что	12	49
2	и т д	38	21
3	тем не менее	10	14
4	о том что	6	10
5	но это не	2	8
6	в данном случае	3	8
7	подобно тому как	5	8
8	мы не можем	2	7
9	т е в	4	7
10	не может быть	12	6
11	так же как	2	6
12	в связи с	3	5
13	к тому что	2	5
14	не что иное	6	4
15	во всяком случае	3	4
16	в то время	6	4
17	только тогда когда	6	4
18	что иное как	6	4
19	с точки зрения	25	3
20	на то что	3	3
21	мы не имеем	2	3
22	ничего общего не	2	2
23	в виду что	2	2
24	в течение всего	2	2
25	в этом отношении	2	2
26	о том как	2	2
27	т д и	8	2
28	иметь в виду	3	2
29	как и в	3	2
30	не значит что	2	2
31	и в этом	4	2
32	с одной стороны	3	2
33	т е как	2	2
34	с другой стороны	3	2
35	равно как и	2	2
