N	3gram	Potebnia_M	Morfolog
1	и т д	6	60
2	не может быть	11	9
3	в связи с	2	9
4	по отношению к	13	7
5	с точки зрения	3	6
6	тем не менее	10	6
7	подобно тому как	7	5
8	с другой стороны	7	5
9	может быть названо	5	4
10	на самом деле	2	4
11	но все же	2	4
12	в том что	18	4
13	к тому что	2	4
14	не могут быть	5	4
15	бы то ни	2	3
16	в то время	3	3
17	как и в	3	3
18	для того чтобы	4	3
19	на то что	3	3
20	в собственном смысле	2	3
21	там где оно	2	2
22	во всяком случае	7	2
23	то что в	2	2
24	мы увидим что	3	2
25	не что иное	2	2
26	что иное как	2	2
27	более или менее	6	2
28	можно заметить что	2	2
29	друг на друга	2	2
30	с одной стороны	6	2
