N	3gram	Nazirov_Tv	formyVre
1	и т п	4	32
2	то же время	18	21
3	в то же	19	18
4	в связи с	2	15
5	не только в	2	11
6	и в то	3	10
7	мы уже говорили	2	9
8	человека и его	2	8
9	и т д	10	7
10	в отличие от	2	7
11	не может быть	2	7
12	в том же	3	6
13	в том что	8	5
14	на протяжении всего	2	5
15	как и в	2	5
16	то есть не	2	5
17	с другой стороны	2	4
18	во всяком случае	2	4
19	по отношению к	3	4
20	о том что	6	3
21	так и в	2	3
22	но в то	5	3
23	с самого начала	3	3
24	сами по себе	2	3
25	и та же	2	2
26	на ранних стадиях	2	2
27	это прежде всего	3	2
28	можно сказать что	2	2
29	дело в том	4	2
30	в соответствии с	7	2
31	в этом романе	2	2
32	в данном случае	2	2
33	в свою очередь	2	2
