N	2gram	Voloshinov	UchenyiS
1	и в	16	14
2	не только	7	10
3	и не	4	8
4	прежде всего	9	8
5	то что	3	7
6	не может	8	7
7	в этом	9	7
8	может быть	17	6
9	и только	9	5
10	то же	2	5
11	художественного творчества	4	5
12	хотя бы	4	5
13	все это	4	5
14	в конечном	3	4
15	но и	4	4
16	в этой	4	4
17	конечном счете	2	4
18	что такое	5	4
19	конечно не	6	4
20	в частности	2	3
21	для этого	2	3
22	в своей	2	3
23	как и	2	3
24	но в	4	3
25	ни было	2	3
26	было бы	2	3
27	в области	3	3
28	для него	6	3
29	в самом	2	2
30	что мы	2	2
31	что он	2	2
32	крайней мере	3	2
33	таким образом	9	2
34	т.е в	2	2
35	и для	2	2
36	самом деле	6	2
37	только в	4	2
38	этом смысле	3	2
39	не есть	2	2
40	и с	8	2
41	что и	2	2
42	по крайней	3	2
43	могут быть	3	2
44	на первый	2	2
45	и через	2	2
46	не могут	2	2
47	сих пор	3	2
48	том что	3	2
49	в его	4	2
50	сводится к	2	2
51	в том	3	2
52	с его	7	2
53	но это	2	2
54	для всех	4	2
55	мы не	2	2
56	до сих	3	2
57	в итоге	2	2
