N	3gram	Vinokur_Vv	Literetu
1	в то же	6	21
2	то же время	6	21
3	в том что	15	21
4	по отношению к	4	12
5	с одной стороны	4	12
6	в данном случае	4	11
7	в отличие от	4	11
8	не может быть	10	11
9	состоит в том	2	11
10	о том что	13	10
11	так или иначе	4	10
12	в этом отношении	4	10
13	с точки зрения	4	8
14	не говоря уже	2	8
15	с другой стороны	5	7
16	подобно тому как	2	6
17	не только в	4	6
18	тем не менее	9	5
19	этой точки зрения	2	5
20	в соответствии с	2	5
21	с этой точки	2	5
22	в связи с	2	5
23	в том чтобы	5	5
24	и то что	3	4
25	и т п	5	3
26	во всяком случае	5	3
27	то же самое	3	3
28	той или иной	3	3
29	по крайней мере	4	3
30	в самом деле	6	3
31	только в том	2	3
32	одной стороны и	3	3
33	в целом ряде	2	3
34	в свою очередь	2	3
35	одно и то	2	2
36	что же касается	2	2
37	для того чтобы	22	2
38	и то же	2	2
39	в свое время	3	2
40	во второй половине	2	2
41	и в самом	3	2
42	в этом случае	6	2
43	в другом месте	2	2
44	можно было бы	4	2
45	вместе с тем	3	2
46	дело в том	3	2
47	обратим внимание на	2	2
48	тех или иных	3	2
