N	3gram	Vinokur_Vv	Komedia
1	в том что	15	29
2	до сих пор	7	16
3	то же время	6	16
4	в то же	6	16
5	о том что	13	13
6	в самом деле	6	13
7	для того чтобы	22	11
8	и т п	5	11
9	в свою очередь	2	10
10	по отношению к	4	9
11	с одной стороны	4	9
12	вместе с тем	3	9
13	с другой стороны	5	8
14	и в самом	3	8
15	в конце концов	2	7
16	во всяком случае	5	7
17	так или иначе	4	7
18	после того как	2	6
19	в связи с	2	6
20	с точки зрения	4	6
21	не говоря уже	2	6
22	в отличие от	4	6
23	то же самое	3	5
24	и т д	39	5
25	в этом отношении	4	5
26	к этому времени	2	5
27	тем не менее	9	5
28	т е в	4	4
29	во второй половине	2	4
30	можно было бы	4	4
31	до н э	6	4
32	но все же	4	4
33	по сравнению с	4	4
34	в соответствии с	2	3
35	в чем же	3	3
36	по меньшей мере	2	3
37	состоит в том	2	3
38	в до н	2	2
39	как мы видели	3	2
40	только в том	2	2
41	подобно тому как	2	2
42	в первом случае	2	2
43	в зависимости от	3	2
44	точно так же	2	2
45	не только в	4	2
46	мере в какой	6	2
47	и в том	4	2
48	в этом случае	6	2
49	каждой из них	2	2
50	этой точки зрения	2	2
51	в этом смысле	10	2
52	с этой точки	2	2
53	как будто бы	2	2
54	одной стороны и	3	2
