N	3gram	Propp_Isto	Vladivir
1	в том что	7	29
2	о том что	9	22
3	тем не менее	4	18
4	в то время	4	13
5	во всяком случае	3	12
6	более или менее	3	11
7	не может быть	5	10
8	вместе с тем	6	10
9	это значит что	2	7
10	точно так же	2	7
11	в данном случае	7	6
12	том что в	2	6
13	как мы видели	3	6
14	с другой стороны	17	6
15	так или иначе	2	6
16	то время как	4	5
17	не только в	9	5
18	что и в	3	5
19	то что в	4	5
20	можно было бы	3	4
21	с одной стороны	11	4
22	и т д	25	4
23	то это значит	2	4
24	и вместе с	3	4
25	в том чтобы	2	4
26	нам кажется что	4	3
27	между прочим и	2	3
28	мы хотели бы	2	3
29	но это не	3	3
30	в связи со	2	3
31	а в том	2	3
32	но вместе с	2	2
33	мы уже знаем	5	2
34	так как это	3	2
35	после того как	4	2
36	так и в	3	2
37	с тем что	2	2
38	в ответ на	3	2
39	так же как	4	2
40	мы не будем	2	2
41	до сих пор	4	2
42	так как он	4	2
43	в этом случае	4	2
44	мы уже видели	3	2
45	независимо от того	2	2
46	что у него	5	2
