N	3gram	Trubetskoy	StatiiOP
1	в том что	7	47
2	о том что	2	29
3	для того чтобы	6	19
4	до сих пор	5	19
5	с точки зрения	9	14
6	во всяком случае	6	13
7	не может быть	4	11
8	в то же	10	9
9	то же время	10	9
10	на то что	4	9
11	можно было бы	3	9
12	вместе с тем	3	9
13	на самом деле	6	8
14	к тому что	2	8
15	в данном случае	3	7
16	в конце концов	3	7
17	что он не	2	5
18	тот факт что	2	5
19	и в том	2	4
20	того или иного	2	4
21	бы то ни	4	3
22	только в том	2	3
23	в лучшем случае	3	3
24	в этом случае	3	3
25	более или менее	4	3
26	той или иной	3	2
27	а между тем	5	2
28	не может не	3	2
29	и в другом	2	2
30	в настоящее время	2	2
31	точно так же	2	2
32	и вместе с	2	2
33	и то что	3	2
