N	3gram	Tiupa_Vved	Komedia
1	в том что	10	29
2	к тому же	6	21
3	то же время	4	16
4	в то же	5	16
5	о том что	6	13
6	в самом деле	2	13
7	в свою очередь	5	10
8	едва ли не	2	10
9	по отношению к	11	9
10	с одной стороны	9	9
11	речь идет о	3	8
12	с другой стороны	2	8
13	на этот раз	2	7
14	во всяком случае	3	7
15	в отличие от	11	6
16	то же самое	2	5
17	в этом отношении	7	5
18	тем не менее	3	5
19	можно было бы	2	4
20	более или менее	2	3
21	друг от друга	2	3
22	в соответствии с	8	3
23	но и в	3	3
24	а то и	2	3
25	хотя и не	2	3
26	в высшей степени	2	3
27	на то что	2	3
28	состоит в том	2	3
29	но при этом	3	2
30	как мы видели	3	2
31	подобно тому как	3	2
32	и все же	6	2
33	не было и	2	2
34	не только в	3	2
35	в основе своей	2	2
36	мере в какой	2	2
37	в частности в	2	2
38	так и не	4	2
39	в конечном счете	2	2
40	как и в	2	2
41	как будто бы	3	2
42	одной стороны и	3	2
