N	2gram	Potebnia_M	VerxiiNi
1	и в	58	26
2	таким образом	21	22
3	с тем	9	18
4	в этом	18	15
5	вместе с	12	15
6	точки зрения	8	13
7	как бы	12	12
8	в том	38	11
9	не только	32	10
10	из этих	8	10
11	и с	3	10
12	может быть	47	10
13	что в	34	9
14	так как	29	9
15	связи с	6	9
16	но и	26	9
17	но не	19	8
18	с другой	13	8
19	главным образом	4	8
20	и у	3	8
21	и не	34	8
22	как на	5	8
23	но все	4	7
24	к нему	2	7
25	потому что	89	7
26	связанные с	3	7
27	одной стороны	6	7
28	из них	2	7
29	то что	24	7
30	с одной	7	7
31	но в	12	7
32	том что	21	7
33	все же	11	6
34	к тому	5	6
35	о том	6	6
36	мы должны	4	6
37	того же	13	6
38	в себе	22	6
39	несмотря на	5	6
40	всяком случае	7	6
41	что и	16	6
42	с точки	4	6
43	все эти	3	6
44	все это	3	6
45	и потому	7	6
46	так и	17	6
47	во всяком	9	6
48	никогда не	7	5
49	в мире	3	5
50	и для	8	5
51	не имеет	9	5
52	более или	6	5
53	так же	7	5
54	того чтобы	4	5
55	лишь в	2	5
56	в его	7	5
57	крайней мере	6	5
58	для того	8	5
59	а не	38	5
60	по крайней	6	5
61	образом в	5	5
62	сих пор	5	5
63	до сих	5	5
64	или менее	6	5
65	на этот	2	4
66	и от	5	4
67	что все	4	4
68	далеко не	4	4
69	а в	11	4
70	с другими	3	4
71	в котором	5	4
72	в самом	5	4
73	в нем	26	4
74	не может	30	4
75	в смысле	4	4
76	и тогда	2	4
77	в которых	2	4
78	что оно	5	4
79	и вместе	5	4
80	то есть	69	4
81	то же	13	4
82	и что	13	4
83	и по	8	4
84	в этих	10	4
85	только в	36	4
86	что он	5	4
87	и только	6	4
88	он не	4	4
89	ничем не	2	4
90	во время	5	4
91	в течение	2	4
92	в этой	3	4
93	в то	6	4
94	что это	5	3
95	на нее	2	3
96	в своем	3	3
97	с самого	5	3
98	но с	3	3
99	если в	3	3
100	к ним	3	3
101	точно так	18	3
102	и если	6	3
103	уже не	4	3
104	хотя бы	4	3
105	к этому	3	3
106	в которой	5	3
107	тем не	11	3
108	и даже	4	3
109	и как	11	3
110	из которого	3	3
111	если бы	23	3
112	уже с	2	3
113	в других	6	3
114	при этом	17	3
115	не менее	10	3
116	а так	4	3
117	и при	6	3
118	с этой	3	3
119	в связи	2	3
120	в таком	7	3
121	так что	23	3
122	и о	3	3
123	отношению к	13	3
124	в одном	13	3
125	того что	15	3
126	для него	13	3
127	не исчерпывается	2	2
128	мы видели	5	2
129	одно из	5	2
130	сказать что	5	2
131	так например	5	2
132	в создании	6	2
133	от них	2	2
134	но вместе	4	2
135	для этого	2	2
136	этой точки	2	2
137	о котором	4	2
138	начиная с	2	2
139	в эту	2	2
140	из этого	2	2
141	общего с	3	2
142	и это	3	2
143	не могут	10	2
144	но при	3	2
145	и проч	11	2
146	на то	5	2
147	в самой	5	2
148	для всех	6	2
149	убеждение что	3	2
150	или по	2	2
151	относится к	5	2
152	тех пор	2	2
153	мы можем	10	2
154	между этими	2	2
155	есть как	2	2
156	в начале	2	2
157	связь с	2	2
158	между тем	7	2
159	не потому	2	2
160	одним из	2	2
161	к одной	3	2
162	еще только	2	2
163	только что	4	2
164	в свою	8	2
165	при таком	5	2
166	из себя	6	2
167	не как	4	2
168	из своих	2	2
169	не могла	2	2
170	именно в	2	2
171	живых существ	2	2
172	если не	5	2
173	тогда когда	15	2
174	но если	4	2
175	первое время	2	2
176	те же	4	2
177	что мы	11	2
178	в них	7	2
179	только не	2	2
180	и на	8	2
181	уже в	5	2
182	еще не	9	2
183	мысль о	8	2
184	к которому	5	2
185	по своей	2	2
186	все что	5	2
187	этого последнего	2	2
188	жизни и	3	2
189	что именно	2	2
190	не было	7	2
191	превращается в	2	2
192	самого начала	5	2
193	когда же	2	2
194	не в	23	2
195	из него	3	2
196	не всегда	2	2
197	только для	7	2
198	то ни	3	2
199	ничего общего	3	2
200	ни было	4	2
201	перестает быть	3	2
202	в одно	5	2
203	ее с	2	2
204	на все	5	2
205	и все	6	2
206	на друга	2	2
207	же время	4	2
208	один из	2	2
209	в виду	2	2
210	заключает в	6	2
211	друг на	2	2
212	них не	3	2
213	прежде всего	8	2
214	его не	3	2
215	бы то	2	2
216	тот же	5	2
217	не могло	3	2
218	в глазах	4	2
219	его от	2	2
220	с его	3	2
221	во всех	12	2
222	в разных	2	2
223	вслед за	2	2
224	взгляд на	2	2
225	и сами	3	2
226	не с	2	2
