N	2gram	Losev_Dial	VerxiiNi
1	и в	35	26
2	таким образом	5	22
3	с тем	2	18
4	в этом	18	15
5	вместе с	3	15
6	точки зрения	25	13
7	как бы	19	12
8	в том	20	11
9	не только	26	10
10	из этих	2	10
11	и с	10	10
12	может быть	30	10
13	что в	19	9
14	так как	24	9
15	в области	2	9
16	связи с	3	9
17	но и	17	9
18	но не	9	8
19	с другой	10	8
20	в общем	2	8
21	главным образом	2	8
22	и у	2	8
23	и не	51	8
24	но все	5	7
25	в эпоху	2	7
26	к нему	12	7
27	потому что	23	7
28	связанные с	3	7
29	одной стороны	3	7
30	из них	5	7
31	то что	25	7
32	с одной	4	7
33	но в	8	7
34	том что	18	7
35	а с	2	7
36	в отношении	5	6
37	все же	9	6
38	к тому	6	6
39	о том	8	6
40	мы должны	6	6
41	в себе	23	6
42	в конце	5	6
43	несмотря на	12	6
44	всяком случае	3	6
45	что и	7	6
46	с точки	18	6
47	все эти	4	6
48	все это	14	6
49	и потому	6	6
50	так и	18	6
51	во всяком	5	6
52	никогда не	18	5
53	в мире	3	5
54	и для	2	5
55	не имеет	15	5
56	более или	5	5
57	так же	6	5
58	и к	8	5
59	в силу	6	5
60	друг с	2	5
61	отношение к	5	5
62	в его	4	5
63	крайней мере	11	5
64	для того	2	5
65	с другом	2	5
66	а не	24	5
67	тому же	3	5
68	по крайней	11	5
69	сих пор	4	5
70	до сих	4	5
71	или менее	5	5
72	и от	5	4
73	что все	2	4
74	далеко не	2	4
75	очень мало	2	4
76	а в	8	4
77	с другими	2	4
78	в котором	5	4
79	в самом	6	4
80	в нем	25	4
81	не может	16	4
82	в смысле	5	4
83	и тогда	4	4
84	в которых	2	4
85	что оно	9	4
86	и вместе	2	4
87	в виде	2	4
88	то же	21	4
89	и что	17	4
90	и по	5	4
91	в этих	6	4
92	только в	7	4
93	что он	16	4
94	и только	5	4
95	он не	5	4
96	ничем не	4	4
97	во время	2	4
98	в этой	3	4
99	в то	10	4
100	учение о	11	4
101	к богу	3	3
102	что это	21	3
103	на нее	2	3
104	в своем	7	3
105	с самого	2	3
106	так или	3	3
107	но с	4	3
108	если в	5	3
109	к ним	3	3
110	точно так	3	3
111	или иначе	3	3
112	и если	5	3
113	уже не	3	3
114	хотя бы	6	3
115	и нет	2	3
116	к этому	2	3
117	в результате	2	3
118	с ней	2	3
119	в которой	3	3
120	тем не	3	3
121	и даже	23	3
122	и как	14	3
123	что эти	3	3
124	если бы	12	3
125	уже с	2	3
126	же как	3	3
127	при этом	2	3
128	всегда и	4	3
129	конце концов	4	3
130	не менее	5	3
131	как о	2	3
132	у них	3	3
133	когда он	2	3
134	в качестве	2	3
135	и при	3	3
136	с этой	3	3
137	в связи	3	3
138	в таком	4	3
139	так что	21	3
140	случае не	4	3
141	ясно что	11	3
142	и о	4	3
143	можно сказать	10	3
144	к сожалению	2	3
145	в одном	4	3
146	того что	6	3
147	для него	2	3
148	по своему	4	2
149	одно из	2	2
150	явлений природы	2	2
151	сказать что	19	2
152	для этого	2	2
153	этой точки	2	2
154	о котором	2	2
155	и является	2	2
156	из этого	2	2
157	по сравнению	2	2
158	общего с	6	2
159	отвлеченные понятия	2	2
160	с тех	2	2
161	и это	6	2
162	или иной	4	2
163	не могут	4	2
164	на то	5	2
165	утверждать что	3	2
166	или по	2	2
167	относится к	2	2
168	ли это	4	2
169	и сейчас	3	2
170	тех пор	2	2
171	можно только	4	2
172	мы имеем	4	2
173	ко всему	3	2
174	мы можем	5	2
175	вплоть до	3	2
176	между тем	3	2
177	не потому	5	2
178	только что	5	2
179	к его	2	2
180	большею частью	4	2
181	не как	4	2
182	грань между	5	2
183	именно в	4	2
184	конечно не	9	2
185	отличается от	3	2
186	тогда когда	6	2
187	еще на	3	2
188	но если	6	2
189	что мы	3	2
190	в них	4	2
191	только не	2	2
192	очень много	4	2
193	уже в	5	2
194	с целью	3	2
195	еще не	4	2
196	мысль о	2	2
197	к другу	2	2
198	по своей	5	2
199	все что	2	2
200	так чтобы	2	2
201	то или	5	2
202	жизни и	9	2
203	иной раз	7	2
204	что именно	3	2
205	не было	7	2
206	и больше	2	2
207	превращается в	2	2
208	самого начала	2	2
209	различия между	3	2
210	этом отношении	2	2
211	не в	12	2
212	выбор между	2	2
213	не всегда	2	2
214	ничего общего	4	2
215	ни было	2	2
216	той или	11	2
217	в одно	5	2
218	на все	2	2
219	и все	11	2
220	же время	9	2
221	один из	3	2
222	уже давно	2	2
223	в виду	9	2
224	со всеми	2	2
225	сравнению с	2	2
226	связано с	2	2
227	не к	2	2
228	прежде всего	14	2
229	его не	7	2
230	и из	6	2
231	или иное	5	2
232	во всех	3	2
233	в разных	6	2
234	же самое	3	2
235	от бога	3	2
236	бытие есть	2	2
237	вслед за	2	2
238	взгляд на	3	2
239	в другое	2	2
240	быть и	7	2
241	не с	5	2
242	по существу	2	2
