N	2gram	Tiupa_Anal	Vladivir
1	и в	36	116
2	то что	5	71
3	и не	14	67
4	в году	5	65
5	не только	40	65
6	у него	2	65
7	в этом	19	53
8	в том	16	52
9	том что	19	51
10	что в	15	48
11	но и	26	47
12	в конце	6	41
13	в его	12	40
14	то есть	15	37
15	сказать что	2	36
16	и даже	12	36
17	так что	2	35
18	еще и	4	32
19	что он	5	32
20	не может	3	31
21	о том	9	30
22	только в	9	30
23	никогда не	7	29
24	как мы	4	29
25	для него	8	29
26	вовсе не	2	27
27	а в	17	27
28	не было	3	26
29	в то	8	25
30	но в	8	25
31	в себе	7	25
32	и то	2	25
33	и его	18	25
34	а также	5	24
35	точки зрения	3	23
36	может быть	19	23
37	он не	9	23
38	он был	3	22
39	об этом	3	22
40	в своей	12	21
41	вместе с	3	21
42	в своем	7	20
43	прежде всего	7	20
44	и что	2	20
45	и потому	3	19
46	так и	19	19
47	не менее	9	19
48	как раз	8	19
49	в дальнейшем	2	19
50	по поводу	5	19
51	таким образом	4	19
52	тем не	3	19
53	не в	9	18
54	как это	7	18
55	как и	27	18
56	хотя и	4	18
57	с его	15	18
58	не мог	4	18
59	едва ли	6	17
60	что и	10	17
61	в этой	10	17
62	а не	16	17
63	и если	2	17
64	уже не	9	16
65	все же	6	16
66	того что	4	16
67	было бы	6	16
68	к тому	10	16
69	и все	3	16
70	для себя	2	16
71	не есть	6	16
72	но это	3	15
73	к этому	3	15
74	это было	2	15
75	несмотря на	2	15
76	то же	7	15
77	в своих	3	15
78	и к	7	15
79	того же	7	14
80	уже в	5	14
81	все эти	2	14
82	и как	5	14
83	и на	5	14
84	мы уже	2	14
85	с тем	2	13
86	можно сказать	5	13
87	да и	3	13
88	и от	3	13
89	в результате	6	13
90	дело в	3	13
91	жизни и	2	13
92	во всем	5	13
93	ничего не	3	12
94	в нем	3	12
95	и по	3	12
96	во всяком	6	12
97	то в	4	12
98	по себе	6	12
99	всяком случае	6	12
100	в отношении	2	11
101	я не	3	11
102	при этом	19	11
103	все это	5	11
104	в данном	12	11
105	и здесь	4	11
106	тому же	7	11
107	даже в	6	10
108	такого рода	11	10
109	в ней	2	10
110	в качестве	22	10
111	можно было	2	10
112	еще не	7	10
113	но не	13	10
114	в самом	7	10
115	отнюдь не	7	10
116	он и	4	10
117	с точки	2	10
118	здесь не	8	10
119	с ним	2	10
120	это не	4	9
121	но как	4	9
122	о чем	5	9
123	и был	2	9
124	а с	2	9
125	своей жизни	2	9
126	в целом	8	9
127	в начале	10	9
128	с этим	4	9
129	и сам	8	9
130	что касается	5	9
131	с другой	10	9
132	не будет	3	9
133	именно в	4	9
134	что мы	2	9
135	же время	7	9
136	отношения к	6	9
137	свое время	4	8
138	отношение к	2	8
139	не столько	4	8
140	в чем	2	8
141	себя в	6	8
142	как бы	14	8
143	тот же	3	8
144	из этих	4	8
145	и он	4	8
146	тем что	3	8
147	и я	3	8
148	в этих	2	8
149	как в	9	8
150	и для	4	8
151	когда он	2	8
152	со стороны	12	8
153	к его	2	7
154	в доме	2	7
155	в свое	4	7
156	к этой	2	7
157	на первом	2	7
158	а а	5	7
159	на его	3	7
160	о его	3	7
161	же в	5	7
162	бы и	2	7
163	за пределы	3	7
164	если бы	2	7
165	и вот	2	7
166	в одном	4	7
167	в таком	2	7
168	в нашем	4	7
169	в них	4	7
170	нам представляется	2	7
171	данном случае	11	6
172	его в	4	6
173	те же	3	6
174	на себя	5	6
175	в отличие	5	6
176	есть не	2	6
177	отличие от	5	6
178	что на	3	6
179	так или	5	6
180	в общем	4	6
181	жизнь и	3	6
182	здесь в	2	6
183	по своему	3	6
184	другой стороны	7	6
185	тем более	3	6
186	что она	3	6
187	в сравнении	2	6
188	должен был	2	6
189	такой же	2	6
190	мы не	4	6
191	не с	3	6
192	в жизни	2	6
193	или иначе	5	6
194	той же	7	6
195	ко всему	2	6
196	по своей	5	6
197	он сам	2	6
198	по его	4	6
199	а и	4	5
200	а вот	3	5
201	на эту	2	5
202	и прежде	2	5
203	и тем	3	5
204	в их	7	5
205	в частности	19	5
206	для своего	3	5
207	она не	3	5
208	и без	3	5
209	один из	6	5
210	место в	4	5
211	и до	2	5
212	что они	3	5
213	во время	2	5
214	однако и	3	5
215	сводится к	5	5
216	ее в	2	5
217	только к	2	5
218	церкви и	2	5
219	мы имеем	5	5
220	во всех	4	5
221	по преимуществу	3	5
222	со своим	2	5
223	сравнении с	2	5
224	жизни в	4	5
225	где он	2	5
226	далеко не	8	5
227	что у	3	5
228	в свою	9	5
229	из них	4	5
230	со своей	8	5
231	говорит о	3	5
232	не о	2	4
233	перед нами	7	4
234	тем самым	8	4
235	истории в	2	4
236	о которых	2	4
237	не могут	2	4
238	крайней мере	5	4
239	в тех	2	4
240	вплоть до	5	4
241	человека и	2	4
242	не будем	2	4
243	как к	2	4
244	на свою	3	4
245	это и	4	4
246	совершенно не	3	4
247	как у	3	4
248	н и	2	4
249	одной из	6	4
250	любви к	2	4
251	нам кажется	3	4
252	мог бы	3	4
253	так в	4	4
254	уже о	2	4
255	одной стороны	3	4
256	себя и	2	4
257	в сущности	5	4
258	но зато	2	4
259	когда мы	2	4
260	тех же	2	4
261	время в	2	4
262	не так	2	4
263	мы можем	2	4
264	в глаза	2	4
265	во второй	8	4
266	лишь в	9	4
267	ни к	3	4
268	в особенности	4	4
269	этом отношении	3	4
270	в нас	2	4
271	по крайней	5	4
272	с одной	3	4
273	том чтобы	2	4
274	к а	3	4
275	я в	15	4
276	поскольку он	3	4
277	на этом	2	4
278	только не	3	4
279	сам по	2	4
280	пока еще	3	4
281	о которой	2	4
282	но с	3	4
283	так сказать	2	3
284	с таким	5	3
285	указывает на	3	3
286	и ее	3	3
287	не как	3	3
288	в другом	3	3
289	свою очередь	7	3
290	в силу	2	3
291	наконец в	3	3
292	что несмотря	2	3
293	который в	4	3
294	в следующем	2	3
295	в стихотворении	4	3
296	роль в	5	3
297	было сказано	2	3
298	но эта	2	3
299	между ними	3	3
300	казалось бы	4	3
301	от своего	3	3
302	самом деле	2	3
303	его не	3	3
304	гораздо более	3	3
305	тех пор	2	3
306	которая в	2	3
307	человеческой жизни	2	3
308	из трех	2	3
309	в полной	3	3
310	что не	3	3
311	не могла	2	3
312	о своей	2	3
313	и самого	7	3
314	все еще	2	3
315	произведения как	4	3
316	во многих	2	3
317	с ними	2	3
318	в литературе	3	3
319	дело не	3	3
320	в противоположность	3	3
321	с их	3	3
322	о своем	4	3
323	с самим	3	3
324	первых двух	2	3
325	субъекта и	3	3
326	я и	6	3
327	из многочисленных	2	3
328	как о	3	3
329	как говорит	4	3
330	как известно	3	3
331	что по	4	3
332	в мире	17	3
333	на меня	3	3
334	на почве	3	3
335	в состоянии	2	3
336	все что	2	3
337	оно не	2	3
338	в сторону	2	3
339	к жизни	5	3
340	в новом	5	3
341	один и	2	3
342	человека в	3	2
343	к одному	2	2
344	в действительности	2	2
345	свою жизнь	4	2
346	путь к	4	2
347	не является	5	2
348	тот кто	2	2
349	в ответ	2	2
350	одна из	6	2
351	с той	3	2
352	и а	4	2
353	без учета	2	2
354	на пути	2	2
355	которого он	2	2
356	к чему	2	2
357	на всех	3	2
358	не всегда	4	2
359	в одно	2	2
360	не путем	2	2
361	в момент	3	2
362	но сам	2	2
363	объекта и	3	2
364	со всеми	2	2
365	и ту	2	2
366	на месте	2	2
367	как уже	4	2
368	в произведении	3	2
369	любви и	2	2
370	нами и	2	2
371	для всех	5	2
372	они не	2	2
373	времени в	3	2
374	мира и	2	2
375	одного из	4	2
376	ответ на	3	2
377	однако что	4	2
378	однако в	6	2
379	у а	2	2
380	в ее	5	2
381	пушкина и	3	2
382	той или	6	2
383	и может	2	2
384	известной степени	3	2
385	например в	2	2
386	освобождения от	2	2
387	этого слова	3	2
388	в основе	2	2
389	если в	3	2
390	подход к	2	2
391	но дело	2	2
392	хотя в	2	2
393	в первой	10	2
394	его как	3	2
395	к первому	2	2
396	о котором	2	2
397	с ее	3	2
398	а о	2	2
399	дело с	3	2
400	бы это	2	2
401	но лишь	2	2
402	ко второму	4	2
403	все они	2	2
404	и их	3	2
405	судя по	2	2
406	то у	2	2
407	легко может	2	2
408	во сне	3	2
409	в глазах	6	2
410	имеет свою	2	2
