N	3gram	Tiupa_Anal	KulturaY
1	с точки зрения	2	36
2	в том что	12	33
3	во всяком случае	6	19
4	тем не менее	3	19
5	с другой стороны	7	17
6	в том чтобы	2	14
7	по крайней мере	5	13
8	по отношению к	9	13
9	в этом отношении	3	11
10	не может быть	2	11
11	о том что	7	10
12	того или иного	5	9
13	не только в	5	8
14	с одной стороны	3	7
15	в свою очередь	7	7
16	в то же	7	6
17	той или иной	6	6
18	к тому же	7	6
19	то же время	7	6
20	в свое время	4	6
21	в отличие от	5	6
22	речь идет о	2	5
23	в соответствии с	2	5
24	в данном случае	11	5
25	тот или иной	3	4
26	в конечном счете	5	4
27	сам по себе	2	4
28	одного и того	4	4
29	том что он	2	4
30	состоит в том	2	4
31	так или иначе	5	4
32	и того же	4	4
33	а в том	2	4
34	в противном случае	2	3
35	в таком случае	2	3
36	т е к	2	3
37	при этом что	2	3
38	все той же	2	3
39	в известном смысле	2	3
40	сама по себе	3	3
41	и прежде всего	2	2
42	что он не	2	2
43	тем или иным	2	2
44	так и не	5	2
45	и той же	2	2
46	не более чем	2	2
47	и тех же	2	2
48	одних и тех	2	2
49	одной и той	2	2
50	едва ли не	3	2
51	можно сказать что	2	2
52	по природе своей	3	2
53	в той или	2	2
