N	2gram	Voloshinov	Stilisti
1	и в	12	42
2	как бы	13	30
3	не только	4	28
4	прежде всего	8	22
5	хотя бы	5	18
6	внутренней речи	3	18
7	то же	5	16
8	но и	3	16
9	и не	10	14
10	социального общения	4	14
11	не может	16	13
12	может быть	14	13
13	как и	5	12
14	точки зрения	14	11
15	что мы	5	11
16	в себе	3	10
17	отнюдь не	5	10
18	в этом	4	10
19	в то	2	9
20	все же	4	9
21	то что	5	9
22	при этом	6	9
23	мы не	3	9
24	ничего не	2	8
25	так как	9	8
26	в ней	6	8
27	таким образом	12	8
28	с его	2	8
29	никогда не	5	7
30	мы можем	2	7
31	зависимости от	4	7
32	так и	4	7
33	только в	6	7
34	а не	5	7
35	и на	4	7
36	в зависимости	2	7
37	и его	13	7
38	одно и	2	6
39	и так	2	6
40	не в	4	6
41	точку зрения	2	6
42	в нем	6	6
43	в процессе	6	6
44	в его	2	6
45	в форме	2	6
46	с помощью	6	6
47	и то	2	5
48	все время	6	5
49	независимо от	2	5
50	и следовательно	5	5
51	в нашем	11	5
52	мы никогда	2	5
53	слова и	6	5
54	и наконец	3	5
55	самом деле	3	5
56	как это	2	5
57	но все	2	5
58	и является	4	5
59	точек зрения	3	5
60	но в	5	5
61	те же	2	5
62	в самом	4	5
63	и с	3	5
64	уже в	2	5
65	с точки	2	5
66	же самое	2	5
67	художественного творчества	3	5
68	вместе с	2	5
69	да и	3	4
70	так же	3	4
71	общения и	2	4
72	на это	2	4
73	его в	4	4
74	на него	2	4
75	если бы	9	4
76	так называемой	3	4
77	влияние на	2	4
78	того что	3	4
79	и все	2	4
80	о том	3	4
81	и пр	3	4
82	точка зрения	3	4
83	уже не	4	4
84	и к	4	4
85	все это	3	4
86	как только	2	4
87	можно сказать	5	4
88	не к	3	4
89	социальной группы	3	4
90	жизненного высказывания	3	4
91	сказать что	7	3
92	на самом	4	3
93	мы ни	5	3
94	это не	2	3
95	слова но	2	3
96	том что	5	3
97	бы мы	3	3
98	нуждается в	3	3
99	а к	2	3
100	но для	3	3
101	словом и	2	3
102	и слово	2	3
103	от того	4	3
104	и здесь	2	3
105	социальной жизни	2	3
106	в виду	5	3
107	в том	6	3
108	он должен	3	3
109	высказывания как	4	3
110	еще не	3	3
111	только на	3	3
112	может стать	2	3
113	как в	5	3
114	свое выражение	4	3
115	для него	3	3
116	не так	2	3
117	и для	3	3
118	ни на	2	3
119	в котором	3	3
120	форма высказывания	2	3
121	выражение в	2	3
122	допустим что	2	3
123	между ними	2	3
124	но что	2	3
125	для нас	7	3
126	жизни и	4	3
127	что и	2	3
128	высказывания с	2	3
129	мы в	2	3
130	и уже	3	3
131	все эти	3	3
132	высказывания и	2	3
133	высказывание как	2	3
134	конечно не	3	3
135	между тем	3	3
136	до конца	2	2
137	в каком	3	2
138	в отношении	2	2
139	и вообще	3	2
140	оценок и	2	2
141	и потому	2	2
142	той социальной	2	2
143	жизненное высказывание	4	2
144	относится к	2	2
145	с другими	2	2
146	мы имеем	2	2
147	нет ничего	2	2
148	к этому	2	2
149	по отношению	11	2
150	нашего сознания	2	2
151	отношение к	4	2
152	общения не	2	2
153	слово в	3	2
154	кроме того	2	2
155	бы не	2	2
156	в этих	2	2
157	жизненной речи	3	2
158	отношению к	11	2
159	сих пор	3	2
160	в пределах	3	2
161	в какой	2	2
162	ведь и	3	2
163	со всех	2	2
164	в жизни	5	2
165	высказывания так	2	2
166	но не	2	2
167	в душе	2	2
168	как уже	2	2
169	к нему	4	2
170	тому же	2	2
171	но мы	2	2
172	слово это	2	2
173	зависит от	2	2
174	связь с	2	2
175	не есть	2	2
176	находит свое	3	2
177	и те	2	2
178	между собой	2	2
179	место в	2	2
180	как не	2	2
181	здесь не	3	2
182	но это	2	2
183	в своей	3	2
184	в материале	2	2
185	не поймем	2	2
186	он не	2	2
187	с ним	3	2
188	ясно что	3	2
189	же социальная	2	2
