N	2gram	Trubetskoy	Poddanst
1	не только	10	17
2	и в	24	14
3	и не	9	12
4	в области	4	11
5	в этом	13	10
6	но в	5	9
7	то же	4	9
8	в том	31	9
9	хотя бы	4	8
10	в то	6	7
11	только в	6	7
12	же время	2	7
13	но и	11	6
14	было бы	3	6
15	в ней	3	6
16	с другой	6	5
17	не в	9	5
18	в которых	2	5
19	может быть	17	5
20	что в	9	4
21	если бы	8	4
22	и потому	3	4
23	тех кто	5	4
24	в своем	12	4
25	том что	20	4
26	европейской культуры	8	4
27	мы должны	4	4
28	в котором	2	4
29	в гораздо	2	4
30	и к	5	4
31	как бы	10	4
32	и если	6	4
33	то что	18	4
34	не может	18	4
35	в с	3	4
36	а в	3	4
37	что мы	4	3
38	с тем	4	3
39	но не	3	3
40	тем самым	3	3
41	это не	3	3
42	с точки	8	3
43	сводится к	2	3
44	столь же	5	3
45	для того	8	3
46	в себе	5	3
47	точки зрения	14	3
48	потому что	9	3
49	одной стороны	2	3
50	в нем	3	3
51	между тем	12	3
52	и без	5	3
53	прежде всего	3	3
54	хотя и	4	3
55	тот же	3	3
56	с одной	3	3
57	с ними	2	3
58	заключается в	3	3
59	для нас	3	2
60	должно быть	5	2
61	в них	2	2
62	в жизни	3	2
63	в мире	6	2
64	одна из	2	2
65	в эту	2	2
66	современной европейской	2	2
67	и это	3	2
68	помнить что	2	2
69	и других	3	2
70	в его	5	2
71	с этим	12	2
72	по сравнению	5	2
73	в общем	6	2
74	не менее	7	2
75	говорить о	2	2
76	в европе	6	2
77	культуры в	10	2
78	именно в	5	2
79	в начале	3	2
80	в виде	4	2
81	тем более	3	2
82	все это	13	2
83	в частности	2	2
84	в а	2	2
85	как на	6	2
86	во всей	2	2
87	не было	2	2
88	и с	5	2
89	во всех	10	2
90	между прочим	2	2
91	заключает в	2	2
92	есть в	2	2
93	того что	7	2
94	другие народы	4	2
95	в силу	7	2
96	из них	5	2
97	отнюдь не	2	2
