N	2gram	Voloshinov	Otkroven
1	у него	4	22
2	и в	28	19
3	но и	10	13
4	и не	34	13
5	в этом	28	12
6	не только	10	11
7	человека в	4	11
8	не в	10	11
9	а не	9	11
10	может быть	28	11
11	и все	13	10
12	человека и	6	10
13	в нем	7	10
14	вопрос о	2	10
15	никогда не	10	9
16	к человеку	3	9
17	потому что	4	9
18	в человеке	6	9
19	не было	5	9
20	прежде всего	26	9
21	он был	3	8
22	человек не	2	7
23	в его	25	7
24	до конца	7	7
25	он не	10	7
26	в глубине	2	7
27	как и	13	6
28	все это	12	6
29	для него	12	5
30	а в	8	5
31	в том	10	5
32	в самом	12	5
33	то что	17	5
34	в этой	7	5
35	отношение к	7	5
36	и его	22	4
37	что в	7	4
38	он сам	5	4
39	того чтобы	5	4
40	и мысли	2	4
41	все эти	15	4
42	не может	30	4
43	с его	9	4
44	в себе	7	3
45	и от	3	3
46	о том	3	3
47	это не	5	3
48	к нему	9	3
49	не могут	7	3
50	что он	12	3
51	и вот	8	3
52	было бы	8	3
53	для того	6	3
54	еще не	8	3
55	и есть	3	3
56	все что	10	3
57	в этих	5	3
58	в своих	5	3
59	когда он	3	3
60	и ее	7	3
61	как бы	19	3
62	хотя бы	7	3
63	могут быть	9	3
64	это было	2	3
65	с ним	14	3
66	мысли и	4	3
67	того что	7	3
68	влечет к	2	3
69	как к	2	2
70	одно из	6	2
71	и то	3	2
72	сказать что	11	2
73	можно ли	3	2
74	и на	9	2
75	уже в	3	2
76	что же	10	2
77	человека все	2	2
78	и для	7	2
79	совсем не	6	2
80	что все	7	2
81	из всего	2	2
82	человека к	4	2
83	не имеет	2	2
84	ничего не	5	2
85	и с	10	2
86	что и	5	2
87	ее в	5	2
88	и потому	12	2
89	и ни	3	2
90	в ее	5	2
91	в своем	4	2
92	и этим	3	2
93	но в	13	2
94	том что	12	2
95	к этой	2	2
96	природы и	3	2
97	все же	8	2
98	о которой	3	2
99	жизни в	3	2
100	в своей	14	2
101	он в	2	2
102	так как	15	2
103	по себе	4	2
104	в истории	4	2
105	должно быть	2	2
106	и о	6	2
107	не есть	2	2
108	в душе	13	2
109	к этому	9	2
110	и к	7	2
111	так и	14	2
112	и очень	3	2
113	в которой	5	2
114	личности и	4	2
115	к ней	4	2
116	его не	2	2
117	учение о	6	2
118	в другом	4	2
119	в этот	4	2
120	подойти к	2	2
121	одного только	2	2
122	их не	2	2
123	его в	11	2
