N	3gram	Bakhtin_Pr	formyVre
1	и т п	10	32
2	то же время	13	21
3	в то же	13	18
4	как мы уже	2	15
5	с точки зрения	21	15
6	друг с другом	3	13
7	не только в	2	11
8	до сих пор	9	10
9	и в то	2	10
10	мы уже говорили	3	9
11	к себе самому	4	8
12	в большинстве случаев	10	8
13	человека и его	2	8
14	в этом отношении	3	7
15	и т д	4	7
16	в отличие от	4	7
17	не может быть	8	7
18	и в этом	5	6
19	в том что	6	5
20	как и в	3	5
21	в то время	2	5
22	как если бы	3	4
23	с самим собою	2	4
24	то время как	2	4
25	бы ни были	2	4
26	вполне понятно что	2	4
27	может быть и	2	4
28	и в других	2	4
29	друг на друга	2	4
30	с другой стороны	6	4
31	в пределах отдельных	2	4
32	но все же	3	4
33	во всяком случае	4	4
34	по отношению к	12	4
35	в его целом	6	4
36	но при этом	2	3
37	все то что	3	3
38	в зависимости от	5	3
39	а следовательно и	2	3
40	о том что	2	3
41	так и в	2	3
42	как раз и	5	3
43	но в то	7	3
44	бы он ни	2	3
45	здесь не место	2	3
46	друг за другом	2	3
47	сами по себе	4	3
48	как мы увидим	3	3
49	же как и	2	3
50	он ни был	2	3
51	и в сущности	2	3
52	как мы сказали	3	2
53	в узком смысле	2	2
54	можно сказать что	2	2
55	конечно не в	2	2
56	в разрезе одного	2	2
57	и в большинстве	2	2
58	для него самого	2	2
59	в данном случае	2	2
60	зрения на мир	4	2
61	а вовсе не	2	2
62	в одном времени	2	2
63	во всей его	2	2
64	т п все	2	2
65	не сливается с	2	2
66	как и все	4	2
67	и до конца	2	2
68	то что было	4	2
69	в его мире	2	2
70	к тому же	2	2
71	таким образом и	2	2
