N	2gram	Nazirov_Tv	Vvedenie
1	и т	14	45
2	т д	10	39
3	в том	13	38
4	в этом	11	35
5	и в	40	35
6	том что	14	30
7	может быть	11	30
8	не только	16	26
9	таким образом	14	21
10	не может	9	19
11	то что	9	19
12	потому что	10	18
13	о том	9	16
14	только в	7	16
15	так как	6	15
16	представляет собой	4	14
17	и не	12	13
18	что в	17	13
19	в самом	6	13
20	в нем	4	13
21	в их	5	12
22	того что	3	12
23	в его	19	12
24	в данном	2	11
25	то же	19	11
26	по себе	2	11
27	в ее	3	11
28	не в	3	10
29	прежде всего	10	10
30	но в	11	10
31	между тем	2	10
32	тем не	2	9
33	и как	5	9
34	все же	9	9
35	представляют собой	2	9
36	но не	7	9
37	не менее	8	9
38	в истории	2	9
39	это не	9	8
40	о котором	2	8
41	с другой	4	8
42	именно в	6	8
43	в качестве	2	8
44	самом деле	4	7
45	как и	16	7
46	как бы	26	7
47	этот вопрос	4	7
48	но и	10	7
49	только как	2	7
50	было бы	2	7
51	сказать что	3	6
52	его в	2	6
53	не могут	2	6
54	хотя бы	5	6
55	об этом	4	6
56	и даже	8	6
57	но если	4	6
58	тем что	2	6
59	так например	3	6
60	на этот	3	6
61	и это	2	6
62	а в	10	6
63	уже не	6	6
64	в которых	3	6
65	могут быть	4	6
66	в то	23	6
67	один из	5	6
68	в руки	2	6
69	и что	2	6
70	и его	14	6
71	все это	14	6
72	же время	18	6
73	вовсе не	5	6
74	вместе с	4	6
75	данном случае	2	5
76	дело в	4	5
77	дело не	3	5
78	в виду	3	5
79	и тем	2	5
80	а как	2	5
81	одним из	6	5
82	с этой	4	5
83	что он	11	5
84	так что	4	5
85	т п	4	5
86	что не	5	5
87	как уже	2	5
88	как это	2	5
89	есть не	2	5
90	не есть	2	5
91	другой стороны	2	5
92	уже в	5	5
93	в целом	7	5
94	всяком случае	2	5
95	что и	3	5
96	а не	9	5
97	в первом	3	5
98	хотя и	5	5
99	во всяком	2	5
100	все более	2	4
101	должен был	2	4
102	по отношению	3	4
103	в каждом	4	4
104	только что	2	4
105	связана с	2	4
106	но ведь	2	4
107	еще не	5	4
108	времени и	4	4
109	по мере	2	4
110	по крайней	4	4
111	отношению к	3	4
112	в чем	4	4
113	отличие от	3	4
114	в отличие	3	4
115	с одной	2	4
116	к тому	2	4
117	одной из	7	4
118	не имеет	2	4
119	только с	3	4
120	в котором	8	4
121	в виде	4	4
122	в одном	3	4
123	из них	4	4
124	здесь нет	2	4
125	в прямом	2	4
126	в себе	3	4
127	как она	2	4
128	традиции и	4	4
129	крайней мере	4	4
130	в своей	8	4
131	как раз	2	4
132	можно сказать	2	4
133	той же	4	4
134	никогда не	13	3
135	до конца	2	3
136	одна из	5	3
137	отношений между	2	3
138	известном смысле	2	3
139	в своем	4	3
140	с этим	2	3
141	одновременно и	2	3
142	так же	6	3
143	в начале	2	3
144	что она	5	3
145	к этому	4	3
146	в конце	5	3
147	во второй	3	3
148	и здесь	2	3
149	если бы	4	3
150	в принципе	5	3
151	при помощи	4	3
152	и вот	2	3
153	в этих	2	3
154	только на	2	3
155	в частности	4	3
156	как в	10	3
157	в с	2	3
158	духовной жизни	2	3
159	человеческой культуры	2	3
160	на том	2	3
161	и на	12	3
162	гораздо более	2	3
163	того же	2	3
164	может служить	2	3
165	зависит от	4	3
166	за собой	4	3
167	в известной	4	3
168	времени в	13	3
169	в ней	2	3
170	в конечном	4	3
171	сливается с	4	3
172	однако в	3	3
173	то это	2	3
174	в известном	2	3
175	в в	2	3
176	своего рода	7	3
177	нуждается в	2	3
178	же как	3	3
179	и того	2	3
180	вряд ли	2	3
181	вот почему	3	3
182	говорит о	3	3
183	при этом	14	3
184	он сам	8	3
185	что с	2	3
186	наряду с	6	3
187	все эти	3	3
188	уже после	2	3
189	нет сомнений	2	3
190	связи с	2	3
191	и тогда	2	3
192	и есть	2	3
193	и сам	5	3
194	как будто	5	3
195	в этой	7	3
196	и других	5	3
197	в создании	2	2
198	собой в	2	2
199	это еще	2	2
200	в таких	2	2
201	ничего не	3	2
202	у нас	2	2
203	и потому	4	2
204	его к	2	2
205	во всех	2	2
206	и до	2	2
207	время в	3	2
208	все время	3	2
209	это в	3	2
210	действительности в	2	2
211	время не	2	2
212	не существует	3	2
213	не нужно	2	2
214	мысли и	5	2
215	в этот	3	2
216	что оно	2	2
217	в соответствии	7	2
218	не могли	2	2
219	критики и	2	2
220	в связи	2	2
221	казалось бы	4	2
222	том же	3	2
223	него в	2	2
224	а с	4	2
225	известной мере	2	2
226	свою очередь	2	2
227	и другие	4	2
228	и со	2	2
229	так и	5	2
230	ни к	2	2
231	самой своей	2	2
232	отношении к	2	2
233	от других	2	2
234	и др	2	2
235	и далее	4	2
236	на протяжении	3	2
237	и должно	2	2
238	надо было	2	2
239	значение в	2	2
240	но уже	2	2
241	тому что	2	2
242	д в	3	2
243	это уже	7	2
244	о которой	2	2
245	в своих	8	2
246	и без	2	2
247	в свою	8	2
248	и с	9	2
249	соответствии с	7	2
250	но это	10	2
251	этой книги	4	2
252	не столько	4	2
253	точно так	3	2
254	себя в	3	2
255	для них	2	2
256	влечет за	2	2
257	жизни и	3	2
258	а затем	5	2
259	не было	3	2
260	тогда как	3	2
261	познания и	2	2
262	мы не	3	2
263	что они	3	2
264	романов достоевского	8	2
265	по самой	2	2
266	не мог	3	2
267	например в	3	2
268	в дальнейшем	7	2
269	не к	2	2
270	рядом с	2	2
271	мы уже	2	2
272	но зато	3	2
