N	2gram	Losev_Vlad	Problemy
1	и в	56	106
2	и не	33	90
3	как бы	5	70
4	может быть	12	66
5	в его	18	56
6	в этом	30	52
7	в нем	7	51
8	не может	12	49
9	что он	22	44
10	как и	7	44
11	у достоевского	2	43
12	но и	26	40
13	точки зрения	4	40
14	для него	16	39
15	и его	12	39
16	а не	5	38
17	не только	35	36
18	то же	10	36
19	то что	30	33
20	но в	19	33
21	прежде всего	5	32
22	в то	15	29
23	все это	7	29
24	он не	13	29
25	и все	8	28
26	не в	12	27
27	в одном	2	27
28	к себе	2	26
29	же время	7	26
30	к нему	6	25
31	в сущности	2	25
32	и т	3	25
33	в самом	3	25
34	и с	27	25
35	с самим	2	24
36	вовсе не	8	24
37	и на	7	23
38	таким образом	6	22
39	что я	5	22
40	по себе	3	22
41	как мы	17	21
42	никогда не	15	20
43	все же	11	20
44	потому что	16	20
45	только в	11	20
46	что в	24	19
47	с его	15	19
48	что же	11	19
49	в себе	5	18
50	о нем	9	18
51	все эти	6	18
52	уже не	6	18
53	еще не	2	18
54	но не	5	18
55	это не	3	17
56	в том	26	17
57	так и	11	17
58	а в	20	17
59	и к	10	17
60	с ним	10	17
61	так же	4	16
62	если бы	2	16
63	в своей	7	16
64	этом смысле	4	16
65	до конца	8	15
66	и наконец	2	15
67	и для	4	15
68	у него	28	15
69	в отношении	5	14
70	так как	11	14
71	в своем	10	14
72	в конце	22	14
73	я не	8	14
74	лишь в	3	14
75	и сам	7	14
76	он и	8	14
77	как раз	7	14
78	его в	3	13
79	и это	4	13
80	в целом	3	13
81	на него	3	13
82	но все	3	13
83	том что	22	12
84	даже в	4	12
85	ничего не	4	12
86	так что	13	12
87	к тому	5	12
88	что и	6	12
89	при этом	5	12
90	было бы	7	12
91	во всяком	8	12
92	так сказать	2	12
93	но это	6	12
94	за пределы	3	12
95	и даже	23	12
96	и как	7	12
97	как в	6	12
98	себе и	2	12
99	отношении к	2	12
100	в котором	10	12
101	и что	11	12
102	у меня	3	12
103	не могут	2	11
104	конце концов	6	11
105	она не	3	11
106	ни одного	2	11
107	он сам	3	11
108	тем что	2	11
109	с другой	3	11
110	их в	3	11
111	мы уже	8	11
112	как будто	2	11
113	в произведении	2	10
114	отношение к	7	10
115	для себя	6	10
116	что не	3	10
117	той же	6	10
118	и потому	8	9
119	в них	5	9
120	раз и	4	9
121	хотя и	9	9
122	да и	6	9
123	другой стороны	3	9
124	хотя бы	5	9
125	достоевского но	2	9
126	что у	4	9
127	ни в	4	9
128	всяком случае	8	9
129	в той	2	9
130	но он	7	9
131	мы должны	3	8
132	но как	6	8
133	уже в	9	8
134	наконец в	3	8
135	никак не	6	8
136	как к	4	8
137	одним из	3	8
138	это и	2	8
139	и о	6	8
140	того что	6	8
141	здесь не	6	8
142	несмотря на	7	8
143	а что	3	8
144	нам кажется	2	8
145	с ними	2	8
146	и до	4	8
147	из его	6	8
148	и от	6	8
149	менее всего	2	8
150	что это	2	8
151	и он	7	8
152	мы увидим	4	8
