N	3gram	Losev_Dial	Stilisti
1	в то же	3	9
2	то же время	3	7
3	в зависимости от	3	7
4	и то же	2	5
5	с точки зрения	25	5
6	одно и то	2	5
7	того или иного	3	5
8	одной и той	4	4
9	той или иной	2	4
10	и той же	4	4
11	то что мы	3	4
12	то или иное	4	4
13	тех или иных	2	3
14	и не только	5	2
15	тот или иной	2	2
16	в связи с	3	2
17	что иное как	6	2
18	не должно быть	2	2
19	и как бы	2	2
20	в самом деле	6	2
21	в этом отношении	2	2
22	к тому что	2	2
23	и в то	2	2
24	есть не что	3	2
25	что же такое	3	2
26	о том что	6	2
27	мы не имеем	2	2
28	мы видим что	2	2
29	не что иное	6	2
30	не может быть	12	2
31	равно как и	2	2
