N	2gram	Losev_Prob	Vladivir
1	и в	64	116
2	то что	72	71
3	и не	63	67
4	не только	37	65
5	в этом	30	53
6	в том	19	52
7	том что	26	51
8	что в	21	48
9	но и	23	47
10	в конце	13	41
11	в его	12	40
12	и с	12	39
13	то есть	61	37
14	сказать что	33	36
15	и даже	19	36
16	также и	22	36
17	так что	12	35
18	учение о	5	35
19	потому что	24	33
20	еще и	9	32
21	что он	11	32
22	не может	18	31
23	о том	25	30
24	только в	19	30
25	никогда не	8	29
26	как мы	10	29
27	для него	2	29
28	вовсе не	60	27
29	а в	7	27
30	не было	7	26
31	в то	7	25
32	но в	19	25
33	в себе	16	25
34	и то	15	25
35	и его	3	25
36	даже и	18	24
37	а также	6	24
38	философии и	4	23
39	точки зрения	5	23
40	между прочим	3	23
41	может быть	29	23
42	он не	5	23
43	что же	18	23
44	в виде	20	22
45	так как	16	22
46	он был	2	22
47	кроме того	7	22
48	об этом	10	22
49	ни в	13	22
50	в своей	8	21
51	вместе с	4	21
52	а именно	16	20
53	в своем	7	20
54	прежде всего	17	20
55	для нас	11	20
56	и что	21	20
57	и потому	3	19
58	и вообще	13	19
59	так и	17	19
60	не менее	26	19
61	как раз	20	19
62	в дальнейшем	5	19
63	по поводу	6	19
64	таким образом	9	19
65	тем не	25	19
66	не в	6	18
67	не был	4	18
68	как это	7	18
69	как и	7	18
70	хотя и	8	18
71	с его	3	18
72	м с	2	18
73	едва ли	10	17
74	необходимо сказать	7	17
75	что и	2	17
76	в этой	14	17
77	то это	3	17
78	у нас	31	17
79	а не	21	17
80	и если	9	17
81	уже не	9	16
82	все же	7	16
83	того что	18	16
84	совсем не	9	16
85	было бы	16	16
86	к тому	5	16
87	и все	9	16
88	для себя	9	16
89	в котором	5	16
90	не есть	49	16
91	разного рода	9	15
92	в связи	7	15
93	но это	11	15
94	это было	3	15
95	несмотря на	6	15
96	иной раз	3	15
97	то же	10	15
98	в своих	3	15
99	и к	2	15
100	в москве	2	14
101	того же	3	14
102	уже в	6	14
103	же касается	3	14
104	в с	2	14
105	тут же	3	14
106	все эти	15	14
107	и как	10	14
108	и на	11	14
109	раз и	13	14
110	мы уже	8	14
111	так же	12	13
112	с тем	6	13
113	можно сказать	9	13
114	да и	11	13
115	и от	3	13
116	что это	4	13
117	в результате	6	13
118	дело в	3	13
119	не просто	30	13
120	на этот	3	13
121	то время	2	13
122	есть только	16	12
123	только на	13	12
124	ничего не	20	12
125	в нем	14	12
126	и по	3	12
127	связи с	8	12
128	некоторого рода	9	12
129	во всяком	18	12
130	содержит в	7	12
131	то в	6	12
132	и это	13	12
133	учения о	3	12
134	если не	6	12
135	по себе	20	12
136	всяком случае	11	12
137	в отношении	7	11
138	мы должны	5	11
139	не очень	4	11
140	всякого рода	3	11
141	еще в	2	11
142	или менее	7	11
143	и о	11	11
144	при этом	8	11
145	все это	11	11
146	это есть	10	11
147	никак не	13	11
148	в данном	16	11
149	хотя бы	15	11
150	в которой	2	11
151	и здесь	8	11
152	то он	3	11
153	на то	12	11
154	более или	7	11
155	но что	3	11
156	конце концов	11	11
157	даже в	2	10
158	такого рода	20	10
159	о нем	3	10
160	собственно говоря	4	10
161	к нему	5	10
162	что его	4	10
163	что все	9	10
164	в качестве	3	10
