N	2gram	Losev_Prob	VrazhdaK
1	у тургенева	2	11
2	не только	33	9
3	и что	9	8
4	в этом	25	8
5	и в	62	8
6	что в	11	7
7	но и	20	7
8	и все	13	7
9	то что	42	7
10	но в	17	6
11	как и	15	6
12	в котором	3	6
13	в начале	3	6
14	в нем	13	6
15	и с	11	6
16	о нем	2	6
17	все же	10	6
18	и даже	21	6
19	и не	56	5
20	не было	6	5
21	об этом	7	5
22	то же	23	5
23	в то	18	5
24	для нас	23	4
25	уже в	5	4
26	несмотря на	4	4
27	в своих	2	4
28	это не	10	4
29	в виду	20	4
30	все это	9	4
31	при этом	9	4
32	о том	14	4
33	в ней	12	4
34	как бы	11	4
35	так же	11	4
36	что он	16	4
37	в истории	4	4
38	с ним	11	4
39	может быть	39	4
40	и у	2	3
41	в том	35	3
42	в чем	5	3
43	одним из	2	3
44	его в	4	3
45	что у	3	3
46	и во	5	3
47	в своем	7	3
48	том что	25	3
49	в его	10	3
50	в связи	9	3
51	и о	8	3
52	и его	12	3
53	и как	4	3
54	он не	10	3
55	о себе	2	3
56	связи с	10	3
57	эти слова	2	3
58	к этому	2	3
59	на то	6	3
60	в конце	7	3
61	тем что	8	3
62	никогда не	7	2
63	же не	2	2
64	с нею	2	2
65	и то	17	2
66	в них	6	2
67	уже не	12	2
68	в него	2	2
69	в той	8	2
70	для него	4	2
71	при помощи	13	2
72	и это	11	2
73	на первый	6	2
74	с точки	9	2
75	как же	3	2
76	а в	9	2
77	а также	6	2
78	он сам	7	2
79	в этой	10	2
80	в нашей	4	2
81	в своей	8	2
82	как раз	11	2
83	же в	6	2
84	но как	6	2
85	и он	3	2
86	в себе	23	2
87	еще не	12	2
88	точки зрения	14	2
89	о чем	4	2
90	же как	5	2
91	тем более	8	2
92	это в	2	2
93	таким образом	13	2
94	и ее	7	2
95	во время	3	2
96	отношения к	3	2
97	время и	2	2
98	по мнению	2	2
99	их в	2	2
100	о которой	2	2
101	не может	14	2
102	из них	4	2
103	не менее	24	2
104	но это	13	2
105	отнюдь не	16	2
106	а с	2	2
107	вместе с	3	2
108	в известном	3	2
