N	2gram	Tiupa_Vved	Russkaja
1	не может	14	22
2	и не	24	19
3	в том	21	17
4	в этом	27	17
5	и в	23	14
6	то что	9	13
7	то же	8	11
8	таким образом	6	11
9	в то	5	10
10	но и	31	10
11	же время	4	10
12	не только	32	9
13	том что	16	9
14	может быть	25	9
15	в себе	15	9
16	во всяком	3	9
17	того чтобы	2	8
18	прежде всего	11	8
19	и с	2	7
20	к тому	9	7
21	о том	7	7
22	в данном	22	7
23	отнюдь не	14	7
24	ни к	3	7
25	самом деле	6	7
26	если в	3	6
27	на самом	5	6
28	и для	8	6
29	к которой	2	6
30	в своих	5	6
31	и к	2	6
32	если бы	10	6
33	всяком случае	3	6
34	все это	3	6
35	что он	2	6
36	в своем	9	6
37	для него	5	6
38	или иной	5	5
39	а в	15	5
40	на то	3	5
41	было бы	4	5
42	хотя бы	2	5
43	между собой	2	5
44	и на	5	5
45	потому что	7	5
46	при этом	43	5
47	в нем	9	5
48	жизни в	5	5
49	в своей	10	5
50	только в	9	5
51	никогда не	6	5
52	и только	2	5
53	он не	6	5
54	между тем	3	5
55	во всех	2	5
56	что в	6	4
57	но не	9	4
58	все же	10	4
59	себя в	4	4
60	не в	12	4
61	как и	21	4
62	более или	2	4
63	ли это	2	4
64	в мире	9	4
65	как бы	8	4
66	все что	3	4
67	можно было	2	4
68	а лишь	3	4
69	приводит к	2	4
70	что же	6	4
71	и т.д	6	4
72	жизни и	8	4
73	в его	9	4
74	со стороны	15	4
75	в их	2	4
76	точку зрения	2	4
77	в этой	2	4
78	вместе с	2	4
79	или менее	2	4
80	данном случае	15	3
81	да и	3	3
82	все они	2	3
83	одна из	5	3
84	том чтобы	2	3
85	для этого	2	3
86	о котором	5	3
87	что это	2	3
88	о которых	2	3
89	что для	2	3
90	в сознании	5	3
91	из этих	5	3
92	она может	2	3
93	не есть	2	3
94	и потому	2	3
95	в другом	2	3
96	в значительной	2	3
97	в конце	3	3
98	в самом	6	3
99	и как	2	3
100	несмотря на	2	3
101	для них	3	3
102	что и	6	3
103	или в	3	3
104	сводится к	6	3
105	лишь в	4	3
106	и во	2	3
107	говорить о	5	3
108	той или	5	3
109	и по	3	3
110	связи с	2	3
111	еще не	8	3
112	того что	7	3
113	в качестве	18	3
114	что они	2	3
115	не было	5	3
116	тем что	2	3
117	не о	2	2
118	и о	4	2
119	в течение	2	2
120	и от	3	2
121	не к	4	2
122	но она	2	2
123	тем самым	6	2
124	для себя	2	2
125	тому что	2	2
126	к нему	2	2
127	указывает на	2	2
128	но в	14	2
129	не подлежит	2	2
130	в котором	11	2
131	что такое	23	2
132	так же	2	2
133	их в	3	2
134	на себя	5	2
135	в начале	3	2
136	этого не	2	2
137	от друга	2	2
138	состоит в	23	2
139	ни от	2	2
140	в ней	5	2
141	уже не	7	2
142	в результате	5	2
143	по отношению	11	2
144	с самим	2	2
145	по воле	2	2
146	в силу	2	2
147	этом и	2	2
148	и даже	3	2
149	а не	31	2
150	для нас	4	2
151	представить себе	2	2
152	по себе	2	2
153	мы можем	2	2
154	не можем	2	2
155	целый ряд	2	2
156	речь идет	3	2
157	место в	2	2
158	к себе	2	2
159	зависит от	3	2
160	принадлежат к	4	2
161	и тем	3	2
162	этом направлении	2	2
163	и вот	3	2
164	тогда как	16	2
165	и что	2	2
166	но это	4	2
167	это только	3	2
168	совершенно не	2	2
169	и наконец	2	2
170	а с	4	2
171	не просто	2	2
172	в этих	5	2
173	друг от	2	2
174	только на	2	2
175	в частности	19	2
176	в таком	2	2
177	и есть	2	2
178	во время	3	2
179	как будто	6	2
180	должна быть	3	2
181	в области	5	2
182	или нескольких	3	2
183	с ним	3	2
184	быть и	2	2
185	у него	8	2
186	к данному	2	2
187	не должен	2	2
188	при отсутствии	3	2
189	и более	5	2
190	ясно что	2	2
