N	2gram	Tiupa_Lite	Mirosoze
1	и в	26	97
2	у достоевского	2	94
3	может быть	24	64
4	не только	29	63
5	в этом	19	55
6	но и	25	54
7	он не	4	53
8	а не	28	53
9	в нем	4	49
10	не может	10	49
11	у него	5	47
12	во имя	3	39
13	и не	19	39
14	никогда не	5	38
15	человеческого духа	2	38
16	потому что	5	37
17	в ней	4	37
18	не было	5	36
19	не в	11	34
20	и есть	3	33
21	для него	6	31
22	человека в	5	30
23	есть лишь	2	30
24	не есть	2	30
25	прежде всего	14	29
26	как и	13	29
27	но в	5	27
28	и он	3	27
29	в мире	9	27
30	человека и	2	26
31	в своей	5	25
32	у нас	5	24
33	в своем	12	23
34	ведет к	5	23
35	что в	7	23
36	что он	8	22
37	в самом	4	21
38	в себе	8	20
39	до конца	3	19
40	в россии	2	19
41	как бы	8	19
42	в его	9	18
43	того что	7	17
44	в том	22	16
45	том что	19	16
46	то что	14	16
47	было бы	4	16
48	и его	7	16
49	быть может	2	15
50	в этой	7	15
51	не знает	3	15
52	нет ничего	2	14
53	в конце	6	14
54	так как	2	14
55	в творчестве	2	14
56	человек в	2	14
57	та же	2	13
58	и вот	2	13
59	друг друга	5	13
60	и на	5	13
61	это не	4	12
62	но не	8	12
63	он сам	2	12
64	с тем	2	11
65	но это	2	11
66	хотя бы	3	11
67	только в	8	11
68	как в	5	11
69	в русской	13	11
70	уже не	9	11
71	жизни и	6	11
72	есть не	2	10
73	один из	7	10
74	должна быть	3	10
75	то же	13	10
76	всю жизнь	2	10
77	не имеет	2	10
78	xix века	6	9
79	а в	5	9
80	к тому	3	9
81	что и	3	9
82	я не	8	9
83	х годов	5	9
84	то есть	11	9
85	все что	3	9
86	в свою	2	9
87	с ним	2	9
88	лишь в	4	9
89	не мог	3	9
90	вместе с	5	9
91	бунт против	2	8
92	ничего не	3	8
93	от него	2	8
94	в этих	2	8
95	что не	3	8
96	в отношении	2	8
97	есть путь	2	8
98	нет в	2	8
99	с его	5	8
100	себя в	7	8
101	за пределы	3	8
102	тем что	6	8
103	для того	2	8
104	отношении к	2	8
105	что есть	2	8
106	о том	3	8
107	и с	4	8
108	еще в	7	8
109	уже в	7	8
110	как он	2	7
111	более чем	4	7
112	должен быть	2	7
113	точки зрения	8	7
114	себя и	3	7
115	все еще	2	7
116	на этом	3	7
117	жизни в	5	7
118	в жизни	7	7
119	также и	3	7
120	в нашем	2	7
121	чтобы не	2	6
122	его в	4	6
123	не как	4	6
124	всего в	4	6
125	самого себя	3	6
126	и нет	4	6
127	можно было	3	6
128	бы не	3	6
129	с этой	6	6
130	же и	3	6
131	по своей	3	6
132	русской литературы	3	6
133	на то	2	6
134	есть свобода	2	6
135	не к	3	6
136	с собой	4	5
137	в то	12	5
138	в их	3	5
139	так и	7	5
140	не для	2	5
141	и я	7	5
142	во всяком	3	5
143	в основе	5	5
144	да и	3	5
145	одно из	3	5
146	и мы	2	5
147	по преимуществу	6	5
148	xx века	2	5
149	и как	2	5
150	для этого	5	5
151	еще не	4	5
152	как будто	2	5
153	культуры и	2	5
154	то он	3	5
155	он же	2	5
156	личности в	4	5
157	перед ним	2	5
158	вл соловьева	2	5
159	той же	5	5
160	к свету	2	4
161	по отношению	6	4
162	в каждом	2	4
163	к себе	3	4
164	в пути	3	4
165	не знали	3	4
166	как к	4	4
167	так что	4	4
168	духовной жизни	4	4
169	а с	2	4
170	в чем	2	4
171	а для	3	4
172	к этой	2	4
173	себе и	2	4
174	могут быть	4	4
175	для них	2	4
176	в начале	4	4
177	все эти	2	4
178	мир в	5	4
179	себе в	3	4
180	человека а	2	4
181	и даже	9	4
182	века в	3	4
183	и только	4	4
184	его личности	2	4
185	мы не	5	4
186	отношению к	4	4
187	не случайно	5	4
188	путь к	2	4
189	культуры в	5	4
190	в своих	5	4
191	и что	2	4
192	жизни не	2	3
193	можно и	2	3
194	не остается	2	3
195	для себя	6	3
196	на смену	6	3
197	этот путь	3	3
198	одним из	8	3
199	эта мысль	2	3
200	и тем	4	3
201	все же	6	3
202	не бывает	2	3
203	и будет	2	3
204	в духовной	2	3
205	это уже	2	3
206	на том	3	3
207	даже и	2	3
208	между тем	2	3
209	в виду	4	3
210	ту же	4	3
211	же как	3	3
212	от всякой	2	3
213	эти слова	2	3
214	и то	3	3
215	личной ответственности	2	3
216	а к	2	3
217	то это	2	3
218	в противоположность	2	3
219	в душе	3	3
220	к этому	2	3
221	и самого	2	3
222	мысль о	2	3
223	я и	10	3
224	превращается в	2	3
225	от всех	2	3
226	него в	2	3
227	ничего кроме	2	3
228	для нас	3	3
229	со всеми	2	3
230	в пределах	4	3
231	во всех	4	3
232	не с	2	3
233	мир и	2	3
234	на почве	2	3
235	о себе	7	3
236	приводит к	4	3
237	в одном	2	3
238	со своей	3	3
239	тому как	4	3
240	всяком случае	2	3
241	и всегда	2	3
242	роль в	2	3
243	но с	3	3
244	и за	2	3
245	самому себе	2	2
246	все более	3	2
247	или иной	3	2
248	в действительности	2	2
249	если в	2	2
250	различие между	3	2
251	не видит	2	2
252	не раз	2	2
253	и каждый	2	2
254	за собой	2	2
255	со своим	2	2
256	этого не	2	2
257	а как	2	2
258	и других	4	2
259	от своего	3	2
260	такого рода	18	2
261	жизнь есть	2	2
262	не надо	2	2
263	к своему	2	2
264	во многих	3	2
265	самом деле	2	2
266	а во	2	2
267	другого в	4	2
268	е годы	3	2
269	не менее	11	2
270	друг для	2	2
271	того же	5	2
272	тем самым	8	2
273	он готов	2	2
274	своей собственной	2	2
275	ему в	2	2
276	а потому	4	2
277	и сам	6	2
278	во мне	2	2
279	не столько	8	2
280	у кого	2	2
281	не сам	2	2
282	к жизни	2	2
283	связи с	7	2
284	в сущности	5	2
285	столь же	5	2
286	нового человека	2	2
287	до последнего	2	2
288	направленной на	3	2
289	относится к	3	2
290	самим собою	2	2
291	свободы от	4	2
292	имел в	2	2
293	то в	3	2
294	на два	2	2
295	своем я	2	2
296	лишь его	2	2
297	с их	3	2
298	этом отношении	5	2
299	которая не	2	2
300	он один	3	2
301	мира в	4	2
302	подобно тому	4	2
303	сознания в	14	2
304	в уме	4	2
305	бытия не	2	2
306	не по	2	2
307	в какой	2	2
308	быть не	2	2
309	в е	3	2
310	а за	3	2
311	вокруг которого	2	2
312	так называемый	3	2
313	новых и	2	2
314	с другой	11	2
315	всем и	2	2
316	отказ от	7	2
317	их не	2	2
318	в сфере	7	2
319	потребности в	2	2
320	для многих	3	2
321	что такое	2	2
322	освободиться от	2	2
323	что я	4	2
324	не оставляет	3	2
325	во втором	3	2
326	жизни как	3	2
327	он и	5	2
328	ко всему	4	2
329	он на	2	2
330	и п	2	2
331	для друга	2	2
332	на свою	3	2
