N	2gram	Medvedev_F	Problema
1	и в	54	182
2	и не	34	152
3	вовсе не	18	145
4	то что	14	144
5	не есть	4	113
6	не только	14	104
7	потому что	2	89
8	в этом	39	88
9	может быть	30	82
10	том что	3	81
11	в том	17	81
12	только в	6	73
13	сказать что	3	72
14	но и	18	70
15	в виде	2	69
16	у нас	6	68
17	и даже	7	66
18	по себе	10	64
19	даже и	5	63
20	не менее	12	58
21	так и	24	56
22	тем не	2	56
23	а не	11	56
24	но в	9	55
25	так что	2	52
26	ни в	3	51
27	отнюдь не	13	48
28	в себе	4	48
29	при помощи	2	47
30	было бы	10	46
31	в своей	16	45
32	прежде всего	34	45
33	что в	10	44
34	в его	30	44
35	все эти	12	43
36	не в	16	43
37	таким образом	28	42
38	как раз	8	42
39	то же	16	42
40	а именно	3	42
41	если мы	5	42
42	так как	4	40
43	что он	8	40
44	и что	2	40
45	не может	26	39
46	в этой	10	39
47	и тем	3	39
48	во всяком	6	39
49	как бы	10	39
50	в данном	2	38
51	хотя бы	10	37
52	того что	7	37
53	в нем	25	37
54	еще не	6	36
55	точки зрения	21	36
56	и все	9	36
57	и т	22	35
58	в виду	2	34
59	и с	17	34
60	как и	18	34
61	уже не	9	34
62	не является	3	33
63	в таком	2	33
64	т д	11	33
65	в то	14	32
66	здесь не	5	32
67	едва ли	3	32
68	но не	5	32
69	в своем	12	31
70	в конце	2	31
71	связи с	12	31
72	все это	11	31
73	что такое	2	31
74	так же	5	31
75	но это	4	31
76	ясно что	3	30
77	с другой	8	30
78	и для	5	30
79	в настоящее	11	30
80	настоящее время	11	30
81	как мы	10	29
82	перед нами	3	29
83	все же	8	29
84	в связи	11	29
85	можно сказать	2	29
86	данном случае	2	28
87	и о	3	28
88	что же	6	28
89	есть только	3	28
90	мы не	6	28
91	а в	11	28
92	и как	6	27
93	ничего не	5	27
94	и это	4	27
95	хотя и	3	27
96	ничего общего	2	27
97	в результате	8	26
98	вместе с	8	26
99	это не	4	26
100	другой стороны	5	26
101	и его	27	26
102	тем самым	5	25
103	с точки	17	25
104	и на	10	25
105	всяком случае	6	25
106	на самом	8	24
107	не имеет	2	24
108	с тем	11	24
109	в нашем	2	24
110	и притом	2	23
111	а только	4	23
112	только и	7	23
113	на то	2	23
114	при этом	14	23
115	конце концов	2	23
116	в качестве	2	23
117	то и	2	23
118	никогда не	6	22
119	и если	2	22
120	и является	3	22
121	сам по	2	22
122	его в	5	22
123	только на	8	22
124	что и	10	22
125	и от	9	22
126	раз и	6	22
127	всех этих	6	22
128	и к	7	22
129	и ее	15	21
130	сама по	2	21
131	в самом	17	21
132	говорить о	4	21
133	и только	5	21
134	и потому	9	20
135	как о	8	20
136	но как	2	20
137	для того	3	20
138	именно в	12	20
139	несмотря на	2	20
140	или в	2	20
141	тем что	6	20
142	в отношении	3	19
143	того или	6	19
144	то в	3	19
145	если бы	8	19
146	кроме того	3	19
147	он не	8	19
148	с ним	3	19
149	самом деле	12	19
150	в них	4	19
151	как в	12	19
152	этом смысле	3	19
153	жизни и	10	19
154	не будет	2	18
155	того чтобы	4	18
156	в ее	10	18
157	в этих	3	18
158	и ни	2	18
159	не было	7	18
160	в ней	15	18
161	ни о	3	17
162	значение и	4	17
163	и здесь	8	17
164	в языке	5	17
165	это и	7	17
166	совсем не	2	17
167	что они	4	17
168	совершенно не	5	17
169	во всех	9	17
170	но даже	2	16
171	к тому	6	16
172	но все	4	16
173	художественного произведения	27	16
174	же в	4	16
175	далеко не	2	16
176	для этого	6	16
177	как это	8	16
178	он и	3	16
179	в чем	2	15
180	общего с	2	15
181	здесь в	2	15
182	и более	4	15
183	в частности	4	15
184	что не	4	15
185	с этим	6	15
186	в той	3	15
187	не так	4	14
188	за пределы	2	14
189	в дальнейшем	3	14
190	сих пор	7	14
191	искусства и	5	14
192	в котором	2	14
193	нас не	3	14
194	этого термина	2	14
195	с другими	11	14
196	то ни	5	14
197	до сих	7	14
198	только при	2	13
199	иной раз	2	13
200	в целях	2	13
201	или другой	2	13
202	в других	5	13
203	или даже	3	13
204	из этого	2	13
205	в их	16	13
206	действительности и	3	13
207	тому что	3	13
208	в области	6	13
209	или иного	8	13
210	мы в	2	13
211	же и	2	13
212	сами по	4	13
213	ни на	5	13
214	из них	5	13
215	учение о	4	13
216	нисколько не	2	12
217	но именно	2	12
218	в которой	5	12
219	в другом	2	12
220	с одной	5	12
221	в самой	2	12
222	значения и	4	12
223	в целом	7	12
224	для них	4	12
225	в литературе	6	12
226	в смысле	2	12
227	или иначе	2	12
228	не о	7	11
229	и во	2	11
230	в истории	10	11
231	мы говорим	4	11
232	только не	2	11
233	не могут	8	11
234	одной стороны	5	11
235	по этому	2	11
236	бы то	4	11
237	жизни в	2	11
238	и их	13	11
239	без всякой	3	11
240	к нему	3	11
241	в искусстве	6	11
242	не то	3	10
243	один из	4	10
244	быть и	5	10
245	все время	7	10
246	отличается от	4	10
247	слова и	5	10
248	что для	3	10
249	в одном	2	10
250	и всякий	2	10
251	или менее	7	10
252	он в	3	10
253	что оно	4	10
254	представление о	2	10
255	художественное произведение	8	10
256	со всеми	3	10
257	более или	7	10
258	в году	2	10
259	но он	2	10
260	вопрос о	3	9
261	она не	8	9
262	в художественном	5	9
263	языка и	13	9
264	был бы	2	9
265	и до	8	9
266	и наконец	7	9
267	чем же	3	9
268	в своих	3	9
269	их в	2	9
270	правда в	3	9
271	но эта	2	9
272	однако не	5	9
273	нет и	2	9
274	именно как	14	9
275	литературы и	6	9
276	что если	2	9
277	бы в	6	9
278	это было	3	9
279	и другие	3	9
280	жизнь и	3	9
281	в жизни	3	9
282	как он	2	8
283	от этого	3	8
284	говорим о	2	8
285	является для	2	8
286	на его	2	8
287	и по	3	8
288	никто не	2	8
289	для него	9	8
290	если в	3	8
291	значение в	4	8
292	с этой	4	8
293	а наоборот	3	8
294	входит в	8	8
295	еще в	2	8
296	и особенно	3	8
297	если же	4	8
298	тем же	3	8
299	к его	3	8
300	для всех	2	8
301	является в	2	8
302	тот или	2	8
303	к сожалению	2	8
304	из этих	4	8
305	и самый	3	8
306	во всей	4	8
