N	3gram	Potebnia_M	KulturaY
1	и т п	7	93
2	и т д	5	42
3	для того чтобы	5	38
4	с точки зрения	2	36
5	в том что	22	33
6	во всяком случае	3	19
7	тем не менее	7	19
8	с другой стороны	4	17
9	до сих пор	4	14
10	в том чтобы	4	14
11	по крайней мере	8	13
12	только потому что	5	13
13	по отношению к	10	13
14	в этом отношении	2	11
15	и в самом	3	11
16	не может быть	7	11
17	о том что	5	10
18	в этом смысле	2	10
19	вместе с тем	5	9
20	на самом деле	4	8
21	не в том	6	8
22	не только в	4	8
23	в этом случае	2	8
24	само по себе	6	8
25	в том случае	2	7
26	только в том	5	7
27	после того как	2	7
28	тех пор пока	2	7
29	с одной стороны	4	7
30	до тех пор	5	7
31	в свою очередь	6	7
32	в то же	8	6
33	только тогда когда	11	6
34	то же время	8	6
35	более или менее	6	5
36	потому что он	3	5
37	так и в	2	5
38	в данном случае	3	5
39	сам по себе	9	4
40	в первом случае	2	4
41	одного и того	2	4
42	том что он	2	4
43	к тому что	3	4
44	на то что	3	4
45	смысле этого слова	9	4
46	и того же	2	4
47	а в том	5	4
48	именно в том	3	4
49	в таких случаях	2	3
50	от того что	7	3
51	по мере того	8	3
52	в таком случае	2	3
53	потому что не	4	3
54	в силу того	2	3
55	не могут быть	3	3
56	в то время	7	3
57	состоит не в	2	3
58	силу того что	2	3
59	в этом слове	2	3
60	мере того как	8	3
61	то тем самым	3	3
62	не то что	2	3
63	что и в	4	3
64	в том смысле	6	3
65	сама по себе	3	3
66	что язык есть	2	3
67	между тем как	4	2
68	что он не	3	2
69	с течением времени	2	2
70	и то же	7	2
71	если бы например	2	2
72	и той же	4	2
73	потому что в	4	2
74	и тем же	4	2
75	в буквальном смысле	2	2
76	друг от друга	2	2
77	то же слово	2	2
78	в большинстве случаев	2	2
79	это потому что	2	2
80	и тот же	2	2
81	что в ней	2	2
82	что если бы	3	2
83	в собственном смысле	2	2
84	мы не знаем	3	2
85	том смысле что	2	2
86	то что мы	3	2
87	внутренняя форма слова	2	2
88	одной и той	4	2
89	потому что оно	2	2
90	может быть только	4	2
91	один и тот	2	2
92	этого слова и	2	2
93	рано или поздно	2	2
94	том что оно	2	2
95	и в том	3	2
96	может быть не	2	2
97	одним и тем	4	2
98	а может быть	2	2
99	можно сказать что	3	2
100	сами по себе	3	2
101	быть не может	2	2
102	по себе не	2	2
103	из этих слов	2	2
104	на первых порах	2	2
105	лишь тогда когда	4	2
106	но язык не	2	2
