N	2gram	Propp_Isto	Myshleni
1	в том	13	195
2	в этом	25	167
3	то что	20	166
4	и в	43	162
5	том что	12	161
6	таким образом	15	147
7	точки зрения	3	143
8	что в	29	119
9	не только	28	116
10	того что	8	109
11	так же	16	100
12	потому что	8	95
13	может быть	22	89
14	что он	17	86
15	не может	8	81
16	как и	9	79
17	так как	13	78
18	и не	16	78
19	только в	8	75
20	в целом	4	74
21	как мы	11	72
22	но и	24	70
23	в его	7	67
24	сказать что	5	65
25	как бы	5	64
26	вместе с	12	62
27	в качестве	4	60
28	и что	6	60
29	было бы	5	60
30	представляет собой	6	60
31	то же	11	58
32	что мы	5	53
33	в силу	2	53
34	между собой	2	53
35	по сравнению	2	51
36	мы должны	9	50
37	к тому	9	49
38	ребенка в	3	49
39	что они	14	48
40	мы можем	10	48
41	тем что	8	48
42	мы не	3	47
43	сравнению с	2	46
44	если бы	7	46
45	но не	10	45
46	с другой	10	45
47	по отношению	2	45
48	с тем	3	43
49	же как	8	43
50	как это	5	42
51	отношению к	2	42
52	одной стороны	2	40
53	о том	4	40
54	так и	6	39
55	никогда не	9	39
56	с одной	2	39
57	мы видели	18	38
58	вопрос о	4	37
59	не в	9	37
60	в этой	7	37
61	и к	4	37
62	мы видим	15	37
63	в своем	2	36
64	все эти	8	36
65	и его	10	36
66	как в	6	36
67	а не	13	36
68	друг с	2	35
69	с другом	2	35
70	можно было	3	35
71	он не	11	35
72	в себе	2	35
73	и как	6	34
74	связи с	9	34
75	при этом	4	33
76	прежде всего	3	33
77	по себе	3	33
78	что и	17	32
79	но в	15	32
80	той же	3	32
81	и тем	2	32
82	и на	7	32
83	и то	4	31
84	из того	2	31
85	все же	13	31
86	на то	4	30
87	между тем	2	29
88	могут быть	9	29
89	показывает что	13	29
90	этого слова	3	29
91	от того	3	29
92	с этим	13	28
93	в своей	4	27
94	только что	3	27
95	с этой	3	27
96	в то	2	27
97	перед нами	4	27
98	связь между	2	27
99	этом случае	8	27
100	другой стороны	10	27
101	и с	10	27
102	в частности	6	26
103	что это	4	26
104	все это	4	25
105	по мере	2	25
106	еще не	15	25
107	что она	8	25
108	это не	10	25
109	только не	2	25
110	в чем	4	25
111	можно сказать	3	25
112	мы уже	9	25
113	так что	8	24
114	мы знаем	11	24
115	тот же	2	24
116	целый ряд	3	24
117	что эта	2	24
118	в нем	11	24
119	того как	3	24
120	состоит в	4	23
121	друг друга	6	23
122	ни в	2	23
123	этот вопрос	3	23
124	смысле этого	3	22
125	во всяком	2	22
126	то время	2	22
127	отношение к	4	21
128	все время	2	21
129	и более	3	21
130	его в	7	21
131	представление о	3	21
132	там где	8	21
133	к этому	10	21
134	и все	4	21
135	ее в	3	21
136	и ее	3	21
137	не имеет	3	21
138	в свете	6	21
139	в котором	5	20
140	в виду	2	20
141	по существу	3	20
142	а в	13	20
143	время как	2	20
144	к которому	6	20
145	из них	7	20
146	в другом	11	20
147	и их	4	20
148	на этом	5	20
149	не менее	6	20
150	говорит что	4	20
151	из этих	5	20
152	в наших	2	20
153	в данном	7	19
154	в себя	3	19
155	но если	2	19
156	и по	6	19
157	один из	7	19
158	в связи	5	19
159	независимо от	3	19
160	во всем	3	18
161	всяком случае	2	18
162	но это	5	18
163	сих пор	7	17
164	и для	3	17
165	все что	4	17
166	в свою	5	17
167	в одном	9	17
168	и от	3	17
169	казалось бы	2	17
170	то и	7	17
171	и есть	3	17
172	и только	6	17
173	ту же	2	17
174	не есть	3	17
175	в этих	18	17
176	их в	6	17
177	я не	3	17
178	и той	2	17
179	у него	4	17
180	до сих	7	17
181	раньше чем	6	16
182	на этой	2	16
183	вовсе не	3	16
184	тому как	3	16
185	одной и	2	16
186	и другие	6	16
187	для нас	6	16
188	такой же	3	16
189	между двумя	6	16
190	и даже	4	16
191	видели что	8	16
192	в которых	7	16
193	мы имеем	24	16
194	таким же	5	16
195	данном случае	6	15
196	когда он	2	15
197	те же	2	15
198	но как	2	15
199	является в	2	15
