N	3gram	Savitsky_E	Istorich
1	с другой стороны	2	46
2	с одной стороны	8	28
3	так же как	5	27
4	в том что	6	25
5	не может быть	2	24
6	не только в	4	19
7	в данном случае	2	15
8	на то что	2	14
9	как мы видели	2	12
10	можно было бы	3	10
11	же как и	3	9
12	друг с другом	3	9
13	приводит нас к	2	8
14	в северной америке	2	8
15	во всяком случае	3	7
16	в большинстве случаев	2	7
17	то что в	2	7
18	этой точки зрения	5	6
19	с этой точки	5	6
20	для того чтобы	5	5
21	так и в	2	5
22	нам кажется что	2	4
23	между прочим и	2	4
24	можно сказать что	3	4
25	с точки зрения	16	4
26	по себе не	2	4
27	бы то ни	4	3
28	то ни было	4	3
29	в одном из	2	3
30	одной стороны и	6	3
31	само по себе	4	3
32	по сравнению с	2	3
33	хотя бы в	2	2
34	во всех случаях	3	2
35	друг от друга	2	2
36	к тому чтобы	2	2
37	сказать что в	2	2
38	и прежде всего	3	2
39	из того что	2	2
40	только в том	2	2
41	иначе обстоит дело	2	2
42	в частности в	2	2
43	в свою очередь	2	2
