N	3gram	Tiupa_Vved	formyVre
1	то же время	4	21
2	в то же	5	18
3	но и в	3	12
4	не только в	3	11
5	в этом отношении	7	7
6	в отличие от	11	7
7	не может быть	6	7
8	с одной стороны	9	6
9	друг от друга	2	6
10	а также и	2	6
11	в том что	10	5
12	героя и героини	2	5
13	как и в	2	5
14	той или иной	4	5
15	одной стороны и	3	5
16	в этом ряду	2	4
17	друг на друга	2	4
18	с другой стороны	2	4
19	во всяком случае	3	4
20	по отношению к	11	4
21	но при этом	3	3
22	то же самое	2	3
23	о том что	6	3
24	по природе своей	2	2
25	начало и конец	2	2
26	не было и	2	2
27	по своей природе	2	2
28	в основе своей	2	2
29	как и для	3	2
30	в нашем случае	3	2
31	в частности в	2	2
32	в соответствии с	8	2
33	в данном случае	15	2
34	к тому же	6	2
35	в свою очередь	5	2
