N	2gram	Tiupa_Teor	Poddanst
1	не только	24	17
2	и в	24	14
3	и не	17	12
4	в области	7	11
5	в этом	12	10
6	в отношении	4	10
7	но в	12	9
8	то же	12	9
9	в том	20	9
10	в качестве	33	9
11	в пределах	5	8
12	в то	9	7
13	только в	9	7
14	же время	8	7
15	но и	14	6
16	xix века	2	6
17	с другой	9	5
18	не в	9	5
19	и о	5	5
20	отношении к	4	5
21	о в	2	5
22	может быть	22	5
23	по себе	2	4
24	что в	10	4
25	и политического	2	4
26	если бы	3	4
27	и потому	3	4
28	в своем	7	4
29	том что	11	4
30	а также	7	4
31	в русской	6	4
32	и к	3	4
33	как бы	8	4
34	то что	6	4
35	не может	8	4
36	а в	15	4
37	и как	3	3
38	в порядке	3	3
39	но не	13	3
40	тем самым	6	3
41	это не	4	3
42	с точки	3	3
43	сводится к	12	3
44	столь же	3	3
45	я и	2	3
46	для того	5	3
47	в себе	14	3
48	точки зрения	11	3
49	потому что	3	3
50	одной стороны	3	3
51	в нем	7	3
52	между тем	5	3
53	вслед за	3	3
54	могут быть	5	3
55	прежде всего	3	3
56	хотя и	4	3
57	с одной	3	3
58	с ними	2	3
59	заключается в	2	3
60	в них	2	2
61	мира с	2	2
62	в сочетании	2	2
63	в жизни	3	2
64	в мире	26	2
65	если в	2	2
66	отношения к	4	2
67	и весьма	2	2
68	и это	2	2
69	и тем	5	2
70	в его	12	2
71	и вот	3	2
72	не менее	6	2
73	говорить о	4	2
74	о и	2	2
75	со стороны	6	2
76	культуры в	3	2
77	именно в	3	2
78	тем более	2	2
79	все это	2	2
80	в частности	23	2
81	том числе	3	2
82	а не	14	2
83	во всей	3	2
84	например в	3	2
85	может и	2	2
86	во всех	3	2
87	в ее	6	2
88	как раз	3	2
89	есть в	3	2
90	хх века	4	2
91	к чему	2	2
92	в значительной	2	2
93	того что	5	2
94	в силу	4	2
95	не столько	7	2
96	отнюдь не	3	2
