N	3gram	Tiupa_Disk	Formalny
1	с точки зрения	3	40
2	не может быть	5	29
3	то же время	9	20
4	в то же	7	20
5	во всяком случае	2	16
6	по отношению к	13	12
7	так и в	4	11
8	в этом отношении	4	11
9	в большинстве случаев	2	9
10	и не может	3	9
11	с другой стороны	4	9
12	с одной стороны	12	8
13	более или менее	2	7
14	сами по себе	2	7
15	в свою очередь	3	7
16	того или иного	2	7
17	в данном случае	6	6
18	и в то	2	6
19	в том что	18	6
20	до известной степени	2	5
21	прежде всего в	2	5
22	в значительной степени	3	5
23	одной стороны и	3	5
24	в отличие от	12	5
25	а не в	2	4
26	с самого начала	2	4
27	подобно тому как	4	4
28	не в том	3	4
29	по аналогии с	2	4
30	то же самое	2	3
31	что же касается	4	3
32	в том числе	3	3
33	только то что	2	3
34	из виду что	2	3
35	как и всякое	2	3
36	не сводится к	4	3
37	а не как	2	3
38	том числе и	3	3
39	в том чтобы	2	3
40	но при этом	3	2
41	и прежде всего	2	2
42	тот или иной	2	2
43	но отнюдь не	2	2
44	говоря уже о	2	2
45	же время и	2	2
46	как и в	3	2
47	не говоря уже	2	2
48	речевого общения в	2	2
49	не только в	2	2
50	и все же	3	2
51	в одной из	2	2
52	в этом случае	3	2
53	дело в том	3	2
