N	3gram	Bakhtin_Pr	Stilisti
1	в то же	3	9
2	то же время	3	7
3	для того чтобы	2	7
4	с точки зрения	6	5
5	того или иного	2	5
6	то же самое	2	4
7	той или иной	2	4
8	то или иное	2	4
9	на самом деле	3	3
10	не только в	2	3
11	и тем самым	2	3
12	но и в	2	3
13	во всех своих	2	3
14	все то что	3	2
15	к миру и	2	2
16	художественное творчество и	3	2
17	приходится иметь дело	2	2
18	и в области	2	2
19	в самом деле	3	2
20	в этом отношении	2	2
21	можно сказать что	2	2
22	и в то	2	2
23	как мы увидим	3	2
24	по отношению к	19	2
25	не может быть	11	2
