N	2gram	Propp_Morf	VLabPisa
1	таким образом	26	32
2	в этом	18	29
3	не только	8	26
4	и в	17	26
5	и т	62	25
6	может быть	61	23
7	во сне	2	21
8	хотя бы	5	20
9	и не	16	20
10	т е	25	18
11	не может	19	17
12	т д	60	16
13	в том	10	15
14	этом отношении	2	14
15	прежде всего	14	13
16	все это	2	13
17	в частности	2	12
18	как это	7	12
19	в качестве	8	12
20	представляет собою	8	11
21	что в	10	11
22	с другой	9	11
23	из них	4	11
24	то же	10	10
25	не могут	7	10
26	но и	9	10
27	и др	12	10
28	о том	6	10
29	к этому	4	9
30	об этом	5	9
31	для него	2	9
32	том что	7	8
33	могут быть	21	8
34	другой стороны	5	8
35	все эти	5	8
36	было бы	5	8
37	только в	3	8
38	это не	6	7
39	из этих	2	7
40	во всех	6	7
41	по отношению	7	7
42	то что	10	7
43	отношению к	7	7
44	тому что	5	7
45	как и	4	7
46	их в	2	7
47	главным образом	5	7
48	же в	3	7
49	а не	11	7
50	не в	3	6
51	в то	4	6
52	или менее	2	6
53	это и	3	6
54	все же	9	6
55	у него	2	6
56	так и	10	6
57	более или	2	6
58	приводит к	3	6
59	один из	7	6
60	и его	3	6
61	между тем	5	6
62	сказать что	4	5
63	в одном	2	5
64	перед нами	14	5
65	в результате	8	5
66	в пределах	3	5
67	не является	4	5
68	одним из	2	5
69	и при	3	5
70	действующих лиц	22	5
71	к тому	5	5
72	как бы	6	5
73	утверждать что	3	5
74	в целом	5	5
75	связи с	12	5
76	и есть	3	5
77	одна из	5	4
78	и ее	5	4
79	только что	3	4
80	роль в	2	4
81	вот как	2	4
82	ее в	3	4
83	что он	5	4
84	по существу	13	4
85	с тем	2	4
86	следующим образом	4	4
87	в связи	10	4
88	во время	6	4
89	можно сказать	2	4
90	в этой	3	4
91	из его	2	4
92	с его	3	4
93	некоторые из	3	3
94	например в	2	3
95	при помощи	12	3
96	и к	4	3
97	с этим	14	3
98	мы имеем	19	3
99	так же	4	3
100	но как	3	3
101	том как	2	3
102	вслед за	5	3
103	бы в	2	3
104	в форме	6	3
105	его в	4	3
106	и как	6	3
107	тому как	5	3
108	если бы	3	3
109	подобно тому	6	3
110	для того	3	3
111	и их	3	3
112	у нас	3	3
113	в другую	2	3
114	всех других	2	3
115	того что	3	3
116	из приведенных	3	3
117	далеко не	5	3
118	этот вопрос	4	3
119	она не	2	3
120	а в	8	3
121	точки зрения	7	3
122	в которых	2	3
123	того чтобы	4	3
124	что и	10	3
125	и по	3	3
126	или в	6	3
127	что они	5	3
128	момент в	2	3
129	это мы	2	3
130	вовсе не	6	3
131	можно указать	3	2
132	если в	7	2
133	самого себя	2	2
134	если они	2	2
135	как например	2	2
136	с другими	2	2
137	три года	4	2
138	то это	5	2
139	одной стороны	2	2
140	что многие	2	2
141	можно было	4	2
142	что она	2	2
143	даже не	3	2
144	в последнем	3	2
145	в другом	2	2
146	и даже	2	2
147	от того	4	2
148	и у	3	2
149	в самых	2	2
150	связана с	3	2
151	сюжетов и	2	2
152	не всегда	10	2
153	только для	2	2
154	еще не	4	2
155	начинается с	5	2
156	в которой	3	2
157	между собою	2	2
158	не по	2	2
159	что ни	2	2
160	в чем	2	2
161	с одной	2	2
162	но вот	2	2
163	не с	2	2
164	одной из	2	2
165	так например	3	2
166	что его	4	2
167	они и	5	2
168	но не	8	2
169	и для	4	2
170	и этот	2	2
171	также и	6	2
172	не менее	7	2
173	на него	4	2
174	но в	4	2
175	они не	3	2
176	на то	3	2
177	он может	2	2
178	что такое	3	2
179	в своих	2	2
180	ни одна	4	2
181	на вопрос	2	2
182	но для	3	2
183	на этом	4	2
184	получает в	4	2
185	из которых	5	2
186	в образе	6	2
187	значит что	4	2
188	что мы	2	2
189	смысле слова	4	2
190	всяком случае	2	2
191	может не	2	2
192	а затем	10	2
193	должны быть	2	2
194	о его	4	2
195	говорить о	4	2
196	он не	5	2
197	должна быть	2	2
198	в различных	2	2
199	ту же	2	2
200	но с	2	2
201	что при	3	2
202	который в	2	2
203	представляют собою	2	2
204	хотя и	5	2
205	во всяком	2	2
206	того как	2	2
