N	2gram	Bakhtin_Pr	SlovoVZh
1	не может	31	16
2	точки зрения	36	14
3	может быть	38	14
4	и его	21	13
5	как бы	40	13
6	и в	59	12
7	таким образом	22	12
8	в нашем	3	11
9	отношению к	17	11
10	по отношению	17	11
11	и не	66	10
12	так как	11	9
13	если бы	12	9
14	прежде всего	17	8
15	для нас	3	7
16	сказать что	9	7
17	слова и	2	6
18	все время	4	6
19	при этом	5	6
20	в том	17	6
21	в нем	38	6
22	только в	15	6
23	в процессе	4	6
24	в ней	8	6
25	никогда не	19	5
26	как в	10	5
27	что мы	2	5
28	в жизни	7	5
29	в виду	2	5
30	можно сказать	3	5
31	но в	7	5
32	том что	15	5
33	то же	15	5
34	как и	21	5
35	и следовательно	7	5
36	героя и	11	5
37	художественной формы	6	5
38	должна быть	4	5
39	хотя бы	5	5
40	а не	30	5
41	то что	21	5
42	в самом	19	4
43	в этом	40	4
44	не только	26	4
45	в литературе	7	4
46	на самом	5	4
47	что не	6	4
48	его в	6	4
49	зависимости от	5	4
50	жизни и	21	4
51	не в	10	4
52	ни было	4	4
53	с другой	3	4
54	все же	9	4
55	к нему	13	4
56	за пределы	10	4
57	и к	5	4
58	так и	13	4
59	и на	15	4
60	уже не	14	4
61	от того	4	4
62	отношение к	4	4
63	как к	3	3
64	в них	5	3
65	по себе	13	3
66	в каком	2	3
67	о том	5	3
68	и для	5	3
69	слово в	3	3
70	или не	2	3
71	ее и	2	3
72	и герой	2	3
73	да и	3	3
74	и уже	3	3
75	ни в	5	3
76	все эти	12	3
77	в котором	6	3
78	к герою	6	3
79	бы то	3	3
80	и наконец	5	3
81	то ни	3	3
82	так же	10	3
83	в своей	17	3
84	мы не	3	3
85	конечно не	7	3
86	точка зрения	14	3
87	в себе	9	3
88	еще не	11	3
89	здесь не	2	3
90	это как	2	3
91	все это	12	3
92	и ее	5	3
93	между тем	5	3
94	и с	10	3
95	этой точки	3	3
96	но для	2	3
97	в творчестве	6	3
98	точек зрения	5	3
99	не менее	3	3
100	сих пор	3	3
101	с ним	13	3
102	до сих	3	3
103	отношении к	3	3
104	в пределах	13	3
105	произведения и	2	3
106	и по	4	3
107	в художественном	5	3
108	находит свое	2	3
109	самом деле	9	3
110	и пр	3	3
111	того что	4	3
112	с героем	2	3
113	художественного творчества	3	3
114	и более	2	3
115	но и	22	3
116	для него	23	3
117	в особенности	2	2
118	конечно в	2	2
119	тем как	4	2
120	в его	44	2
121	данном случае	3	2
122	я ты	2	2
123	до конца	11	2
124	и здесь	5	2
125	что в	14	2
126	к ним	3	2
127	социальной жизни	2	2
128	не так	3	2
129	в отношении	3	2
130	не есть	2	2
131	и притом	3	2
132	место в	2	2
133	для других	2	2
134	ничего не	8	2
135	словом и	2	2
136	с его	14	2
137	как не	9	2
138	но конечно	3	2
139	идеологического творчества	2	2
140	что и	10	2
141	это не	13	2
142	более того	5	2
143	и все	4	2
144	можно найти	3	2
145	кроме того	3	2
146	там где	12	2
147	слова но	2	2
148	с точки	21	2
149	она не	9	2
150	но все	8	2
151	в своем	12	2
152	бы не	3	2
153	и вполне	2	2
154	все они	4	2
155	в зависимости	5	2
156	в данном	3	2
157	его к	4	2
158	с другими	11	2
159	ко всем	2	2
160	мы имеем	2	2
161	и что	2	2
162	можем сказать	2	2
163	в то	15	2
164	себя и	4	2
165	перестает быть	4	2
166	те же	3	2
167	уже в	9	2
168	по природе	4	2
169	смысл и	2	2
170	в этих	5	2
171	форму и	2	2
172	еще раз	3	2
173	в основном	2	2
174	и другие	4	2
175	но это	7	2
176	в условиях	4	2
177	на материале	6	2
178	он не	11	2
179	в какой	2	2
180	героев и	7	2
181	подчеркнуть что	4	2
182	оценки и	2	2
183	как же	5	2
184	как только	2	2
185	в момент	4	2
186	точку зрения	9	2
187	как на	4	2
188	и потому	9	2
189	несколько подробнее	2	2
190	его как	6	2
191	свое своеобразие	2	2
192	оно не	2	2
193	имеем в	2	2
194	но не	13	2
195	как это	2	2
196	на это	2	2
197	автора и	7	2
198	если же	3	2
199	в себя	3	2
200	мы можем	3	2
201	была бы	5	2
202	ни на	2	2
203	могут быть	5	2
204	сливается с	6	2
205	они ни	2	2
206	совпадает с	3	2
207	в чем	2	2
208	в форме	8	2
209	быть только	3	2
210	является для	2	2
211	выражение в	6	2
212	и самое	4	2
213	и оценки	2	2
214	относится к	2	2
215	к этому	6	2
216	между ними	4	2
217	тогда когда	2	2
218	и слово	6	2
219	другой стороны	3	2
220	самое слово	2	2
221	вместе с	2	2
222	со всех	2	2
223	на него	4	2
