N	2gram	Tiupa_Teor	Narrotol
1	не только	24	62
2	и не	17	50
3	при этом	20	47
4	но и	14	45
5	а не	14	38
6	в качестве	33	35
7	в частности	23	31
8	может быть	22	30
9	и в	24	30
10	в том	20	29
11	своего рода	11	28
12	том что	11	28
13	тогда как	18	28
14	в этом	12	28
15	а в	15	27
16	такого рода	13	26
17	состоит в	22	25
18	представляет собой	13	25
19	только в	9	25
20	в данном	9	24
21	как и	6	24
22	не в	9	23
23	то что	6	23
24	то есть	22	22
25	в тексте	19	22
26	не может	8	20
27	в рассказе	2	18
28	данном случае	5	17
29	в себе	14	17
30	так и	14	17
31	а также	7	17
32	со стороны	6	16
33	в его	12	16
34	но в	12	15
35	можно сказать	5	15
36	иначе говоря	5	15
37	к тому	4	15
38	и т.п	7	15
39	картина мира	6	14
40	в жизни	3	14
41	и его	11	14
42	в своем	7	13
43	в своей	8	13
44	то же	12	13
45	времени и	2	13
46	у него	2	13
47	о том	2	13
48	уже не	6	13
49	перед нами	3	12
50	картины мира	3	12
51	прежде всего	3	12
52	как в	5	12
53	как бы	8	12
54	сводится к	12	12
55	тем самым	6	11
56	по отношению	10	11
57	и тем	5	11
58	отличие от	7	11
59	об этом	2	11
60	в нем	7	11
61	в этой	3	11
62	если бы	3	11
63	жизни в	2	11
64	отношению к	10	11
65	в отличие	7	11
66	в мире	26	11
67	хотя и	4	11
68	никогда не	4	10
69	всего лишь	8	10
70	в то	9	10
71	и т.д	4	10
72	как это	10	10
73	один из	2	10
74	точки зрения	11	10
75	того что	5	10
76	как правило	5	10
77	не является	5	10
78	но не	13	10
79	коммуникативного события	10	10
80	между тем	5	10
81	с его	6	10
82	во времени	4	9
83	в соответствии	3	9
84	еще не	6	9
85	что он	4	9
86	коммуникативное событие	2	9
87	что в	10	9
88	отнюдь не	3	9
89	не сводится	9	9
90	в рамках	13	9
91	тем не	3	9
92	той или	3	9
93	для него	5	9
94	далеко не	4	9
95	столь же	3	9
96	я в	18	9
97	потому что	3	9
98	как раз	3	9
99	или иной	7	8
100	о чем	3	8
101	самом деле	2	8
102	не менее	6	8
103	того чтобы	5	8
104	большей части	2	8
105	по большей	2	8
106	мы имеем	7	8
107	мира в	3	8
108	по мысли	3	8
109	у нас	2	8
110	в литературе	4	8
111	и для	3	8
112	в самом	7	8
113	и к	3	8
114	соответствии с	2	8
115	в той	2	8
116	же время	8	8
117	в таком	3	8
118	он не	5	8
119	в свою	4	7
120	это не	4	7
121	вслед за	3	7
122	при всей	2	7
123	в конце	2	7
124	в принципе	7	7
125	в чем	2	7
126	на себя	2	7
127	в целом	4	7
128	в ее	6	7
129	человеческого я	3	7
130	имеет место	3	7
131	и состоит	2	7
132	в силу	4	7
133	в финале	3	7
134	с другой	9	7
135	и на	2	7
136	или в	3	7
137	в форме	4	7
138	одной стороны	3	6
139	в состав	6	6
140	во втором	3	6
141	однако в	7	6
142	в известном	2	6
143	между двумя	3	6
144	что и	2	6
145	о ней	3	6
146	например в	3	6
147	сказать что	4	6
148	известном смысле	2	6
149	то в	2	6
150	из этих	3	6
151	здесь не	2	6
152	уже говорилось	2	6
153	героя и	6	6
154	с одной	3	6
155	в нашем	4	6
156	слова в	4	6
157	в конечном	6	6
158	к его	3	6
159	присутствия в	8	6
160	в случае	2	6
161	таким образом	3	6
162	человеческих отношений	2	6
163	в слове	4	6
164	имеем дело	2	6
165	о жизни	2	5
166	в другом	4	5
167	не всегда	2	5
168	а именно	3	5
169	или напротив	2	5
170	художественного письма	7	5
171	и о	5	5
172	а для	2	5
173	к нему	2	5
174	может служить	2	5
175	высказывания в	5	5
176	место в	7	5
177	мира и	4	5
178	являет собой	3	5
179	человеческой жизни	3	5
180	между собой	3	5
181	не столько	7	5
182	свою очередь	3	5
183	я не	2	5
184	и здесь	2	5
185	и то	3	5
186	читателя в	4	5
187	с ними	2	5
188	тем более	2	5
189	в равной	3	5
190	себя в	7	5
191	с ее	4	5
192	и даже	2	5
193	подобно тому	3	5
194	для того	5	5
195	вследствие этого	2	5
196	в пределах	5	5
197	в какой	2	5
198	не случайно	5	5
199	за пределами	5	5
200	их в	3	5
201	именно в	3	5
202	в русской	6	5
203	следует признать	2	5
204	тому как	3	5
205	в одном	3	5
206	и того	4	5
207	и сам	4	5
208	как будто	2	5
209	даже в	3	4
210	и ее	4	4
211	в произведениях	2	4
212	роль в	3	4
213	а на	3	4
214	в виду	5	4
215	по сути	5	4
216	в ходе	5	4
217	в области	7	4
218	только на	2	4
219	в аспекте	2	4
220	по своему	4	4
221	поскольку не	2	4
222	в душе	9	4
223	следует подчеркнуть	3	4
224	в них	2	4
225	тому что	2	4
226	так в	4	4
227	не будет	3	4
228	не все	3	4
229	классического реализма	3	4
230	и по	3	4
231	равной степени	3	4
232	не на	4	4
233	что они	2	4
234	в первом	2	4
235	который в	2	4
236	в основе	6	4
237	быть и	2	4
238	могла бы	2	4
239	конечном счете	6	4
240	сводятся к	3	4
241	это было	2	4
242	и адресата	3	4
243	и как	3	4
244	в эпизоде	3	4
245	ведет к	2	4
246	не могло	2	4
247	не с	3	4
248	внутренней речи	13	4
249	для себя	3	4
250	строго говоря	2	4
251	не вполне	2	4
252	и мира	2	4
253	и притом	3	4
254	оно не	2	4
255	в прозе	2	4
256	жизни а	2	4
257	в итоге	3	4
258	по себе	2	4
259	мог бы	3	4
260	несмотря на	2	4
261	по своей	8	4
262	к жизни	2	4
263	или даже	4	4
264	нового времени	3	4
265	в себя	5	4
266	текста в	3	4
267	вместе с	2	4
268	еще и	2	3
269	и потому	3	3
270	свою жизнь	2	3
271	идет о	2	3
272	так же	2	3
273	сознания в	2	3
