N	2gram	Tiupa_Lite	Tragedij
1	и в	26	18
2	в году	18	9
3	в этом	19	9
4	не только	29	8
5	и не	19	7
6	он сам	2	7
7	и на	5	7
8	как бы	8	7
9	и с	4	7
10	может быть	24	7
11	же время	12	6
12	что он	8	6
13	но в	5	6
14	и его	7	6
15	у него	5	6
16	несмотря на	3	5
17	у достоевского	2	5
18	к жизни	2	5
19	все же	6	5
20	это не	4	5
21	то же	13	5
22	как и	13	5
23	так и	7	5
24	не может	10	5
25	а я	2	5
26	в то	12	5
27	что в	7	4
28	еще не	4	4
29	в целом	10	4
30	но и	25	4
31	прежде всего	14	4
32	том что	19	4
33	в этой	7	4
34	и что	2	4
35	я люблю	3	4
36	в нем	4	4
37	что я	4	4
38	то что	14	4
39	но это	2	4
40	я не	8	4
41	и даже	9	4
42	в себе	8	4
43	один из	7	3
44	своего рода	22	3
45	и как	2	3
46	в мире	9	3
47	уже в	7	3
48	тем самым	8	3
49	в своем	12	3
50	при этом	23	3
51	в его	9	3
52	все эти	2	3
53	в поле	2	3
54	и он	3	3
55	отнюдь не	4	3
56	с ее	3	3
57	и сам	6	3
58	как будто	2	3
59	как в	5	3
60	как это	9	3
61	для него	6	3
62	то есть	11	3
63	в конце	6	3
64	с ним	2	3
65	никогда не	5	2
66	в самом	4	2
67	и то	3	2
68	данном случае	6	2
69	по поводу	2	2
70	до конца	3	2
71	с тем	2	2
72	одна из	8	2
73	друг друга	5	2
74	тем что	6	2
75	в душе	3	2
76	в одном	2	2
77	его в	4	2
78	не имеет	2	2
79	раз и	2	2
80	ничего не	3	2
81	то и	5	2
82	нет в	2	2
83	в данном	7	2
84	к тому	3	2
85	а как	2	2
86	о том	3	2
87	в ходе	2	2
88	что и	3	2
89	не в	11	2
90	столь же	5	2
91	это уже	2	2
92	потому что	5	2
93	я все	3	2
94	одном из	3	2
95	не просто	2	2
96	и я	7	2
97	в частности	18	2
98	так что	4	2
99	он не	4	2
100	и за	2	2
101	уже не	9	2
102	если б	2	2
103	со мной	2	2
104	права на	4	2
105	русской литературы	3	2
106	отличие от	6	2
107	из своих	2	2
108	в том	22	2
109	в глазах	4	2
110	но при	2	2
111	который в	2	2
112	не случайно	5	2
113	в отличие	6	2
114	не мог	3	2
115	еще в	7	2
116	он и	5	2
117	с его	5	2
