N	3gram	Nazirov_Tv	Marksizm
1	не может быть	2	25
2	в самом деле	2	19
3	в то же	19	15
4	по отношению к	3	15
5	то же время	18	15
6	в связи с	2	14
7	в том что	8	14
8	и не может	2	12
9	с самого начала	3	10
10	в отличие от	2	10
11	но в то	5	9
12	с другой стороны	2	7
13	в свою очередь	2	7
14	во всяком случае	2	6
15	на самом деле	2	6
16	в таком случае	2	5
17	можно сказать что	2	4
18	о том что	6	4
19	тем не менее	2	3
20	не могут быть	2	3
21	на этот вопрос	2	3
22	не только в	2	3
23	и та же	2	2
24	по крайней мере	4	2
25	так и в	2	2
26	в данном случае	2	2
27	как и в	2	2
28	сами по себе	2	2
29	является одним из	3	2
