N	2gram	Vygotskiy_	Tragedij
1	и в	55	18
2	в этом	21	9
3	не только	25	8
4	и не	24	7
5	и на	6	7
6	как бы	11	7
7	и с	5	7
8	может быть	35	7
9	же время	2	6
10	что он	17	6
11	но в	5	6
12	и его	14	6
13	у него	4	6
14	несмотря на	8	5
15	что это	12	5
16	к жизни	2	5
17	все же	9	5
18	то же	17	5
19	как и	25	5
20	так и	6	5
21	не может	30	5
22	в то	8	5
23	что в	39	4
24	еще не	2	4
25	в целом	8	4
26	но и	12	4
27	прежде всего	5	4
28	об этом	3	4
29	том что	30	4
30	в этой	5	4
31	и что	28	4
32	так же	29	4
33	и все	8	4
34	все это	11	4
35	в нем	5	4
36	что я	4	4
37	то что	47	4
38	но это	3	4
39	и даже	11	4
40	в себе	6	4
41	один из	6	3
42	и как	9	3
43	уже в	3	3
44	тем самым	2	3
45	что образ	2	3
46	к нему	3	3
47	в своем	3	3
48	при этом	28	3
49	в его	8	3
50	что с	5	3
51	все эти	7	3
52	отнюдь не	11	3
53	о чем	2	3
54	с ее	3	3
55	и сам	3	3
56	как будто	10	3
57	должно быть	2	3
58	как в	17	3
59	как это	8	3
60	жизнь и	3	3
61	то есть	44	3
62	в конце	6	3
63	с ним	2	3
64	никогда не	13	2
65	в самом	18	2
66	и то	4	2
67	по поводу	3	2
68	до конца	9	2
69	с тем	11	2
70	одна из	5	2
71	точно так	6	2
72	тем что	7	2
73	она должна	2	2
74	вопрос о	3	2
75	в одном	4	2
76	его в	3	2
77	в русском	4	2
78	не имеет	3	2
79	ничего не	4	2
80	то и	2	2
81	состоит из	2	2
82	имеет в	3	2
83	не могут	6	2
84	в ее	7	2
85	что все	10	2
86	к тому	8	2
87	а как	2	2
88	говорит о	4	2
89	о том	11	2
90	о его	2	2
91	она как	2	2
92	что и	27	2
93	ни в	9	2
94	не в	19	2
95	столь же	6	2
96	и здесь	3	2
97	потому что	27	2
98	одном из	2	2
99	что этот	3	2
100	в частности	6	2
101	к области	3	2
102	только о	3	2
103	в таком	5	2
104	так что	8	2
105	он не	8	2
106	и ее	4	2
107	под влиянием	4	2
108	бы и	5	2
109	впечатление что	2	2
110	уже не	3	2
111	из самых	2	2
112	что она	11	2
113	по мнению	2	2
114	что эти	3	2
115	и это	6	2
116	говорит что	10	2
117	не так	2	2
118	отличие от	6	2
119	в том	55	2
120	в глаза	2	2
121	и до	2	2
122	который в	3	2
123	в отличие	4	2
124	как говорит	5	2
125	с его	3	2
126	во сне	2	2
127	отношение к	3	2
