N	2gram	Potebnia_M	Poddanst
1	не только	32	17
2	и в	58	14
3	и не	34	12
4	в этом	18	10
5	но в	12	9
6	то же	13	9
7	в том	38	9
8	хотя бы	4	8
9	в то	6	7
10	только в	36	7
11	же время	4	7
12	быть может	6	6
13	но и	26	6
14	было бы	21	6
15	в смысле	4	6
16	в ней	9	6
17	с другой	13	5
18	не в	23	5
19	и о	3	5
20	в которых	2	5
21	может быть	47	5
22	по себе	24	4
23	что в	34	4
24	если бы	23	4
25	и потому	7	4
26	в своем	3	4
27	том что	21	4
28	мы должны	4	4
29	в котором	5	4
30	как бы	12	4
31	и если	6	4
32	то что	24	4
33	не может	30	4
34	а в	11	4
35	же в	7	4
36	что мы	11	3
37	и как	11	3
38	с тем	9	3
39	в сравнении	5	3
40	но не	19	3
41	тем самым	6	3
42	сравнении с	4	3
43	это не	10	3
44	с точки	4	3
45	сами по	8	3
46	столь же	6	3
47	мы не	17	3
48	для того	8	3
49	в себе	22	3
50	точки зрения	8	3
51	потому что	89	3
52	одной стороны	6	3
53	в нем	26	3
54	между тем	7	3
55	вслед за	2	3
56	и без	4	3
57	она есть	3	3
58	могут быть	17	3
59	прежде всего	8	3
60	и т	10	3
61	хотя и	6	3
62	тот же	5	3
63	с одной	7	3
64	с ними	2	3
65	заключается в	3	3
66	для нас	29	2
67	должно быть	9	2
68	переход от	2	2
69	взгляда на	2	2
70	что из	2	2
71	в них	7	2
72	в жизни	5	2
73	в мире	3	2
74	если в	3	2
75	одна из	4	2
76	есть не	7	2
77	отношения к	2	2
78	для них	2	2
79	никак не	3	2
80	в эту	2	2
81	стороны и	3	2
82	и это	3	2
83	есть нечто	7	2
84	слова но	4	2
85	помнить что	6	2
86	духа и	8	2
87	и тем	5	2
88	и других	6	2
89	в его	7	2
90	с этим	11	2
91	в ряду	6	2
92	не менее	10	2
93	бы ни	8	2
94	со стороны	11	2
95	именно в	2	2
96	знать что	2	2
97	в начале	2	2
98	еще более	2	2
99	тем более	2	2
100	все это	3	2
101	как на	5	2
102	друг другу	4	2
103	а не	38	2
104	не было	7	2
105	мысль о	8	2
106	и есть	4	2
107	например в	4	2
108	и с	3	2
109	во всех	12	2
110	в ее	2	2
111	между прочим	5	2
112	заключает в	6	2
113	есть в	4	2
114	нужно было	3	2
115	того что	15	2
116	думать что	6	2
117	главным образом	4	2
118	из них	2	2
119	не столько	3	2
