N	2gram	Vygotskiy_	Myslijsy
1	потому что	40	182
2	и в	33	121
3	может быть	15	107
4	в том	44	103
5	то что	48	83
6	что в	33	73
7	и не	18	73
8	только в	21	72
9	не только	28	67
10	а не	14	67
11	таким образом	30	64
12	том что	41	59
13	так как	20	59
14	в этом	43	59
15	но и	14	59
16	то же	12	56
17	не в	10	54
18	если бы	13	53
19	в себе	4	53
20	не может	31	52
21	по себе	8	52
22	того что	34	47
23	в сознании	5	46
24	в нем	10	45
25	было бы	18	45
26	не есть	4	42
27	как и	13	42
28	так что	8	39
29	вместе с	9	39
30	мы не	6	38
31	что и	11	38
32	так и	8	37
33	при этом	9	37
34	как в	7	37
35	тогда когда	10	36
36	что мы	11	36
37	тем что	12	33
38	и что	18	32
39	по отношению	19	30
40	а в	5	30
41	но не	13	29
42	что не	2	29
43	между тем	5	29
44	вовсе не	2	28
45	мы можем	15	28
46	для него	9	28
47	могут быть	7	27
48	с этим	9	27
49	то и	2	26
50	независимо от	3	26
51	отношению к	19	26
52	языка и	6	25
53	этого слова	3	25
54	в то	5	24
55	с тем	9	23
56	от того	8	23
57	того как	6	23
58	как бы	11	23
59	только тогда	5	22
60	но в	9	22
61	а потому	3	22
62	по мере	6	22
63	не имеет	7	22
64	с другой	11	22
65	то это	2	22
66	и потому	3	21
67	не менее	4	21
68	в ней	2	20
69	в одном	3	20
70	это не	8	20
71	тем самым	13	19
72	мысли и	7	19
73	и как	7	19
74	с ним	6	19
75	есть не	3	19
76	и то	9	19
77	сказать что	18	19
78	из этих	2	19
79	но это	4	19
80	должно быть	10	19
81	о том	13	19
82	того же	13	19
83	в каком	2	18
84	очевидно что	2	18
85	для того	20	18
86	еще не	11	18
87	не могут	7	18
88	тогда как	3	18
89	по поводу	3	18
90	в мысли	8	18
91	в самом	10	18
92	что я	4	18
93	в его	15	17
94	слова и	3	17
95	со стороны	3	17
96	точки зрения	27	17
97	что оно	9	17
98	во всяком	4	17
99	не можем	2	17
100	уже в	4	17
101	слова в	3	17
102	в своем	11	16
103	к тому	14	16
104	а только	8	16
105	в которой	8	16
106	только что	6	16
107	так же	22	16
108	в них	3	16
109	что если	6	16
110	на то	6	16
111	и на	11	16
112	и по	5	15
113	в этих	7	15
114	с одной	10	15
115	тому как	6	15
116	и тем	5	15
117	что он	40	15
118	прежде всего	5	15
119	в свою	5	15
120	мы должны	13	14
121	свою очередь	4	14
122	в действительности	6	14
123	должны быть	2	14
124	связи с	9	14
125	в истории	3	14
126	там где	2	14
127	само по	2	14
128	то в	7	14
129	мысли в	5	14
130	столь же	5	14
131	в котором	2	14
132	все же	5	14
133	когда мы	4	14
134	во всех	3	14
135	смысле этого	2	13
136	что все	9	13
137	и все	2	13
138	те же	6	13
139	зависит от	4	13
140	образом в	2	13
141	и может	4	13
142	в смысле	3	13
143	из них	6	13
144	и его	6	13
145	как на	4	13
146	значение слова	4	13
147	никогда не	10	12
148	от него	3	12
149	и при	4	12
150	что же	2	12
151	что на	2	12
152	не то	5	12
153	все это	2	12
154	под влиянием	4	12
155	как мы	20	12
156	есть в	2	12
157	тем более	5	12
158	сих пор	3	12
159	что такое	6	12
160	оно не	2	12
161	в чем	10	12
162	относится к	3	12
163	другой стороны	9	12
164	возможно только	2	12
165	всяком случае	2	12
166	до сих	3	12
167	к одному	4	11
168	и притом	2	11
169	в силу	14	11
170	той же	7	11
171	того чтобы	26	11
172	в первом	4	11
173	только на	3	11
174	в состоянии	6	11
175	только для	2	11
176	которые мы	2	11
177	что для	2	11
178	все что	2	11
179	и их	4	11
180	его в	6	11
181	указывает на	3	11
182	если не	3	11
183	мы видели	10	11
184	к нему	4	11
185	речи и	8	11
186	же в	2	11
187	подобно тому	6	11
188	и это	3	11
189	и только	4	11
190	и следовательно	7	10
191	одной стороны	10	10
192	представить себе	2	10
193	том как	3	10
194	что только	3	10
195	что мысль	3	10
196	и для	3	10
197	мысль что	6	10
198	мы говорим	4	10
199	хотя бы	5	10
200	в других	2	10
201	тем и	2	10
202	слово в	3	10
203	одной и	3	10
204	тому что	14	10
205	находится в	2	10
206	мы видим	6	10
207	это слово	3	10
208	и от	2	10
209	только по	4	10
210	бы в	6	10
211	и другое	5	10
212	он не	13	10
213	если мы	9	10
214	и с	7	10
215	то время	4	10
216	и есть	8	10
217	что при	4	10
218	вопрос о	15	9
219	об отношении	2	9
220	и других	7	9
221	нам кажется	2	9
222	могли бы	15	9
223	но вместе	3	9
224	до того	4	9
225	никто не	2	9
226	и даже	3	9
227	известно что	2	9
228	с точки	12	9
229	и того	8	9
230	самом деле	9	9
231	один из	4	9
232	в целом	8	9
233	можно сказать	7	9
234	что она	3	9
235	одного и	9	9
236	таким же	3	9
237	на самом	3	8
238	на вопрос	7	8
239	в более	2	8
