N	3gram	Trubetskoy	TeoriaLi
1	в том что	16	10
2	по отношению к	11	10
3	в то же	2	8
4	то же время	2	8
5	с другой стороны	4	6
6	более или менее	8	6
7	так или иначе	5	5
8	в данном случае	3	5
9	для того чтобы	7	5
10	не может быть	4	5
11	и того же	3	4
12	одного и того	3	4
13	с точки зрения	8	3
14	с одной стороны	2	3
15	тем не менее	4	3
16	в связи с	3	3
17	в свою очередь	2	3
18	то ни было	3	2
19	бы то ни	3	2
20	при этом что	2	2
21	в самом деле	5	2
22	в нашем случае	2	2
23	а с другой	2	2
24	том что он	2	2
25	как и в	2	2
26	может быть и	4	2
