N	3gram	Bakhtin_KF	Dialekti
1	с точки зрения	10	46
2	в том что	2	25
3	ни в каком	2	18
4	не может быть	11	18
5	тем не менее	2	16
6	то же время	2	15
7	в то же	2	14
8	вовсе не есть	2	9
9	то или иное	2	9
10	и в этом	3	9
11	одна и та	2	8
12	и та же	2	8
13	в этом смысле	3	8
14	той или иной	2	7
15	на самом деле	3	5
16	это не есть	3	5
17	может быть в	3	4
18	может быть только	7	4
19	и может быть	2	4
20	и ни в	2	4
21	ни в чем	4	4
22	бы то ни	2	3
23	ничего общего не	2	3
24	то что я	2	3
25	и в нем	2	3
26	не было бы	3	3
27	в данный момент	3	3
28	того или иного	3	3
29	на своем месте	2	2
30	вопрос о том	2	2
31	к чему не	2	2
32	в чем не	4	2
33	бы и не	2	2
34	и не быть	2	2
35	ни к чему	2	2
36	но все эти	3	2
37	в этом его	2	2
38	в нем и	3	2
39	это значило бы	2	2
