N	2gram	Vygotskiy_	Otkroven
1	у него	3	22
2	и в	38	19
3	но и	9	13
4	и не	16	13
5	в этом	35	12
6	не только	16	11
7	не в	10	11
8	а не	7	11
9	может быть	25	11
10	и все	5	10
11	человека и	6	10
12	в нем	4	10
13	вопрос о	2	10
14	никогда не	11	9
15	потому что	14	9
16	прежде всего	6	9
17	в его	22	7
18	до конца	2	7
19	он не	6	7
20	как и	20	6
21	все это	8	6
22	для него	6	5
23	а в	7	5
24	в том	59	5
25	в самом	8	5
26	то что	27	5
27	в этой	7	5
28	и его	5	4
29	что в	31	4
30	только и	2	4
31	того чтобы	15	4
32	все эти	9	4
33	не может	11	4
34	с его	3	4
35	в себе	9	3
36	и от	5	3
37	о том	6	3
38	это не	5	3
39	не могут	5	3
40	что он	13	3
41	было бы	15	3
42	различие между	2	3
43	для того	14	3
44	еще не	6	3
45	все что	4	3
46	в этих	4	3
47	в своих	3	3
48	когда он	5	3
49	как бы	17	3
50	хотя бы	2	3
51	могут быть	9	3
52	с ним	4	3
53	быть может	2	3
54	того что	17	3
55	одно из	2	2
56	и то	9	2
57	сказать что	10	2
58	можно ли	2	2
59	и на	9	2
60	с тем	18	2
61	уже в	10	2
62	и для	4	2
63	что все	2	2
64	не имеет	3	2
65	не могли	3	2
66	в человеческом	2	2
67	и с	5	2
68	что и	14	2
69	ее в	2	2
70	и потому	2	2
71	в других	2	2
72	в своем	9	2
73	тем что	12	2
74	но в	4	2
75	том что	44	2
76	для человека	2	2
77	все же	11	2
78	ко всем	2	2
79	в своей	9	2
80	так как	19	2
81	по себе	11	2
82	что у	3	2
83	должен был	2	2
84	что они	23	2
85	в истории	9	2
86	так что	3	2
87	должно быть	3	2
88	не есть	5	2
89	к этому	5	2
90	все еще	2	2
91	и к	9	2
92	так и	11	2
93	в которой	4	2
94	которую он	2	2
95	к ней	2	2
96	хотя и	2	2
97	много раз	2	2
98	в другом	3	2
99	чем в	4	2
100	его в	8	2
