N	2gram	Nazirov_Tv	Literetu
1	а не	9	50
2	и не	12	47
3	не только	16	46
4	и в	40	44
5	может быть	11	43
6	при этом	14	41
7	но и	10	41
8	тогда как	3	40
9	в том	13	39
10	в этом	11	38
11	своего рода	7	37
12	том что	14	32
13	в частности	4	30
14	то что	9	29
15	в мире	8	28
16	в качестве	2	27
17	в году	22	26
18	то же	19	26
19	как и	16	23
20	в то	23	23
21	не в	3	22
22	так и	5	22
23	того что	3	22
24	себя в	3	22
25	не может	9	22
26	х годов	3	21
27	я и	3	21
28	же время	18	21
29	в себе	3	20
30	прежде всего	10	19
31	как бы	26	18
32	то есть	16	17
33	в его	19	17
34	с другой	4	17
35	в этой	7	16
36	в жизни	3	16
37	тем самым	10	15
38	не менее	8	15
39	в целом	7	15
40	я не	5	15
41	в стихах	2	15
42	в русской	5	15
43	только в	7	15
44	по отношению	3	14
45	что он	11	14
46	однако в	3	14
47	и даже	8	14
48	в своем	4	13
49	как это	2	13
50	с одной	2	13
51	но не	7	13
52	уже не	6	13
53	и его	14	13
54	в данном	2	12
55	в своей	8	12
56	еще не	5	12
57	одним из	6	12
58	отношению к	3	12
59	о том	9	12
60	никогда не	13	11
61	данном случае	2	11
62	это не	9	11
63	еще в	3	11
64	отличие от	3	11
65	с его	12	11
66	и сам	5	11
67	не столько	4	11
68	как в	10	11
69	в отличие	3	11
70	а в	10	11
71	в конечном	4	11
72	столь же	2	11
73	в основе	3	11
74	вместе с	4	11
75	даже в	4	10
76	в принципе	5	10
77	что в	17	10
78	отнюдь не	9	10
79	в ее	3	10
80	конечном счете	4	10
81	жизни в	9	10
82	из них	4	10
83	и на	12	10
84	потому что	10	10
85	не случайно	6	10
86	жизни и	3	10
87	к тому	2	9
88	один из	5	9
89	связи с	2	9
90	в начале	2	9
91	с этой	4	9
92	на смену	2	9
93	что я	4	9
94	представляет собой	4	9
95	вплоть до	2	8
96	одна из	5	8
97	в конце	5	8
98	едва ли	2	8
99	ли не	3	8
100	быть может	3	8
101	все же	9	8
102	в искусстве	3	8
103	xix века	13	8
104	но в	11	8
105	того же	2	8
106	уже в	5	8
107	на себя	2	8
108	что не	5	8
109	в глазах	2	8
110	для него	9	8
111	и я	2	8
112	и как	5	8
113	мира в	2	8
114	тем что	2	8
115	в своих	8	8
116	соответствии с	7	8
117	той же	4	8
118	как раз	2	8
119	до конца	2	7
120	в их	5	7
121	друг друга	2	7
122	и тем	2	7
123	и других	5	7
124	это как	4	7
125	русской литературе	4	7
126	другой стороны	2	7
127	по преимуществу	4	7
128	как правило	3	7
129	человека в	9	7
130	у нас	2	7
131	ведет к	3	7
132	именно в	6	7
133	в самом	6	7
134	и с	9	7
135	в одном	3	7
136	личности в	3	7
137	в нем	4	7
138	он не	10	7
139	тому же	2	7
140	в сфере	2	7
141	его в	2	6
142	в виду	3	6
143	казалось бы	4	6
144	самом деле	4	6
145	самим собой	4	6
146	одного из	3	6
147	и он	4	6
148	и др	2	6
149	а затем	5	6
150	было бы	2	6
151	не было	3	6
152	например в	3	6
153	то в	2	6
154	во всех	2	6
155	в каждом	4	6
156	с ее	3	6
157	и наконец	3	6
158	в жизнь	2	6
159	далеко не	3	6
160	в ней	2	6
161	и только	2	6
162	у него	11	6
163	как будто	5	6
164	все более	2	5
165	в соответствии	7	5
166	вслед за	2	5
167	в литературе	4	5
168	так как	6	5
169	одном из	2	5
170	так что	4	5
171	он сам	8	5
172	в романе	24	5
173	не знает	2	5
174	более того	2	5
175	между тем	2	5
176	что и	3	5
177	в связи	2	5
