N	3gram	Vygotskiy_	Analitik
1	в том что	30	25
2	не может быть	4	19
3	по отношению к	2	18
4	о том что	15	15
5	той или иной	2	14
6	в данном случае	3	14
7	в отличие от	3	14
8	в конечном счете	2	11
9	с одной стороны	15	9
10	с другой стороны	8	9
11	в том чтобы	6	9
12	в этом отношении	3	8
13	не только в	5	8
14	с точки зрения	5	8
15	состоит в том	2	8
16	что иное как	2	7
17	одного и того	2	6
18	не что иное	2	6
19	и того же	2	6
20	в этом случае	2	5
21	не только не	4	5
22	в самом деле	8	4
23	том что он	4	4
24	для того чтобы	41	4
25	из того что	3	4
26	и в этом	2	4
27	в этом смысле	3	4
28	сама по себе	3	4
29	и т п	5	3
30	то же самое	8	3
31	и как бы	4	3
32	сам по себе	4	3
33	именно в этом	2	3
34	и тот же	2	3
35	одной и той	4	3
36	можно сказать что	3	3
37	сами по себе	2	3
38	и той же	4	3
39	и в самом	3	3
40	дело в том	2	3
41	в зависимости от	7	3
42	и то что	4	3
43	одно и то	3	2
44	что он не	3	2
45	и то же	4	2
46	на этот вопрос	5	2
47	а с другой	5	2
48	что в конце	2	2
49	можно было бы	4	2
50	не в состоянии	3	2
51	в качестве своего	2	2
52	к тому что	8	2
53	друг с другом	6	2
54	в том и	3	2
55	совершенно очевидно что	2	2
56	заключается в том	9	2
57	этой точки зрения	3	2
58	до тех пор	2	2
59	с этой точки	3	2
60	до сих пор	9	2
61	на то что	25	2
62	в сущности говоря	8	2
