N	2gram	Vygotskiy_	UchenyiS
1	и в	55	14
2	не только	25	10
3	а не	18	10
4	и не	24	8
5	прежде всего	5	8
6	то что	47	7
7	не может	30	7
8	в этом	21	7
9	эстетического объекта	2	6
10	в искусстве	24	6
11	может быть	35	6
12	и только	5	5
13	то же	17	5
14	художественного творчества	6	5
15	хотя бы	4	5
16	все это	11	5
17	в художественном	9	5
18	художественное произведение	16	5
19	в конечном	6	4
20	но и	12	4
21	в этой	5	4
22	конечном счете	6	4
23	что такое	2	4
24	с другой	7	4
25	в их	4	4
26	конечно не	2	4
27	у нас	4	3
28	в частности	6	3
29	формы в	6	3
30	очевидно что	7	3
31	и то	4	3
32	в своей	6	3
33	все же	9	3
34	не как	3	3
35	как и	25	3
36	в то	8	3
37	но в	5	3
38	этой области	4	3
39	же время	2	3
40	произведения искусства	4	3
41	ни было	2	3
42	было бы	14	3
43	в области	12	3
44	бы то	3	3
45	то ни	2	3
46	другой стороны	7	3
47	в самом	18	2
48	в себе	6	2
49	что мы	9	2
50	и у	6	2
51	материала и	2	2
52	о чем	2	2
53	нас в	2	2
54	как прием	5	2
55	форму и	4	2
56	же самое	8	2
57	что он	17	2
58	к области	3	2
59	таким образом	38	2
60	художественной формы	17	2
61	формы и	11	2
62	но не	5	2
63	материал не	3	2
64	и для	9	2
65	если бы	10	2
66	между тем	6	2
67	самом деле	19	2
68	только в	18	2
69	этом смысле	3	2
70	не есть	4	2
71	что она	11	2
72	ничего не	4	2
73	и с	5	2
74	должна была	3	2
75	тех или	2	2
76	что и	27	2
77	искусства как	6	2
78	или иных	2	2
79	при таком	5	2
80	могут быть	15	2
81	но даже	4	2
82	не могут	6	2
83	смысле этого	2	2
84	сих пор	8	2
85	по себе	21	2
86	тем что	7	2
87	том что	30	2
88	а как	2	2
89	материал для	4	2
90	в его	8	2
91	сводится к	3	2
92	в том	55	2
93	что все	10	2
94	этом отношении	7	2
95	художественного произведения	22	2
96	с его	3	2
97	как раз	4	2
98	должна быть	3	2
99	фактов и	2	2
100	конце концов	6	2
101	что материал	2	2
102	его и	4	2
103	но это	3	2
104	для всех	5	2
105	по существу	6	2
106	не в	19	2
107	думается что	3	2
108	бы и	5	2
109	мы получаем	4	2
110	в конце	6	2
111	мы не	15	2
112	до сих	8	2
113	могли бы	3	2
114	художественном произведении	8	2
