N	2gram	Propp_Isto	Otkroven
1	у него	16	22
2	и в	41	19
3	но и	20	13
4	и не	12	13
5	в этом	19	12
6	не только	30	11
7	не в	12	11
8	а не	9	11
9	может быть	19	11
10	и все	6	10
11	в нем	12	10
12	вопрос о	6	10
13	никогда не	16	9
14	потому что	13	9
15	не было	3	9
16	прежде всего	6	9
17	и он	8	8
18	он был	2	8
19	ни с	2	7
20	в его	4	7
21	от него	6	7
22	он не	8	7
23	но он	4	7
24	как и	8	6
25	все это	9	6
26	а в	12	5
27	в том	14	5
28	в самом	2	5
29	то что	12	5
30	в этой	2	5
31	отношение к	6	5
32	и его	11	4
33	что в	21	4
34	все эти	8	4
35	на земле	6	4
36	него и	5	4
37	т е	34	4
38	не может	19	4
39	все в	2	4
40	что не	3	4
41	с его	4	4
42	в себе	3	3
43	не исчезает	2	3
44	и от	5	3
45	о том	15	3
46	это не	14	3
47	к нему	8	3
48	не могут	3	3
49	что он	29	3
50	и вот	2	3
51	было бы	4	3
52	для того	2	3
53	еще не	13	3
54	и есть	2	3
55	все что	4	3
56	в этих	16	3
57	в русской	8	3
58	когда он	5	3
59	и ее	6	3
60	никто не	2	3
61	как бы	8	3
62	могут быть	3	3
63	с ним	9	3
64	того что	7	3
65	и то	3	2
66	сказать что	5	2
67	можно ли	2	2
68	и на	12	2
69	с тем	8	2
70	уже в	4	2
71	что же	2	2
72	и там	6	2
73	из всего	3	2
74	не имеет	6	2
75	ничего не	7	2
76	и с	4	2
77	что и	13	2
78	этого мира	2	2
79	ее в	3	2
80	в ее	3	2
81	в других	6	2
82	в своем	3	2
83	и этим	7	2
84	тем что	11	2
85	но в	7	2
86	том что	18	2
87	к этой	2	2
88	же можно	4	2
89	все же	14	2
90	в своей	4	2
91	он в	4	2
92	так как	21	2
93	по себе	2	2
94	что у	6	2
95	должен был	2	2
96	что они	5	2
97	так что	6	2
98	не все	4	2
99	и о	2	2
100	и нет	3	2
101	к этому	5	2
102	все еще	2	2
103	так и	8	2
104	в которой	2	2
105	к ней	3	2
106	хотя и	3	2
107	его не	4	2
108	и из	2	2
109	в другом	2	2
110	на западе	2	2
111	их не	3	2
112	его в	7	2
