N	2gram	Voloshinov	RusskieA
1	и в	12	79
2	в том	6	64
3	том что	5	59
4	что в	2	57
5	не только	4	41
6	так как	9	34
7	в этом	4	33
8	и другие	2	33
9	как бы	13	31
10	но и	3	31
11	как и	5	28
12	может быть	14	28
13	и на	4	28
14	о том	3	23
15	при этом	6	22
16	это не	2	20
17	все это	3	18
18	то что	5	17
19	таким образом	12	17
20	вместе с	2	17
21	мы не	3	16
22	для нас	7	14
23	не менее	3	14
24	в них	3	14
25	как это	2	14
26	тем не	3	14
27	и не	10	14
28	и с	3	14
29	и что	2	14
30	и по	3	13
31	к этому	2	13
32	не может	16	13
33	еще не	3	13
34	как в	5	13
35	уже не	4	13
36	в некоторых	3	13
37	между собой	2	12
38	мы имеем	2	12
39	но это	2	11
40	его в	4	10
41	так и	4	10
42	между тем	3	10
43	все же	4	10
44	что и	2	10
45	данном случае	2	9
46	но в	5	9
47	и все	2	9
48	то же	5	9
49	но не	2	9
50	так же	3	8
51	того что	3	8
52	как уже	2	8
53	в данном	2	8
54	в этих	2	8
55	в своем	2	7
56	ничего не	2	7
57	в настоящее	2	7
58	не в	4	7
59	к нему	4	7
60	настоящее время	2	7
61	до конца	2	7
62	только в	6	7
63	а не	5	7
64	только на	3	6
65	она не	2	6
66	в нем	6	6
67	все эти	3	6
68	и пр	3	6
69	и более	3	6
70	на самом	4	5
71	и потому	2	5
72	тогда когда	2	5
73	прежде всего	8	5
74	и др	5	5
75	к ним	2	5
76	в то	2	5
77	там где	2	5
78	в его	2	5
79	в особенности	2	5
80	и для	3	5
81	с другой	4	5
82	и к	4	5
83	отнюдь не	5	5
84	с ним	3	5
85	и ее	3	4
86	влияние на	2	4
87	в основном	2	4
88	могут быть	2	4
89	а к	2	4
90	и здесь	2	4
91	кроме того	2	4
92	такой же	2	4
93	но все	2	4
94	в котором	3	4
95	уже в	2	4
96	в ней	6	4
97	никогда не	5	3
98	ее и	3	3
99	его к	2	3
100	в форме	2	3
101	в виду	5	3
102	на все	2	3
103	точки зрения	14	3
104	связь с	2	3
105	какой степени	2	3
106	к слову	2	3
107	и те	2	3
108	в какой	2	3
109	в своей	3	3
110	место в	2	3
111	имеет место	2	3
112	и то	2	3
113	или не	3	3
114	независимо от	2	3
115	с другими	2	3
116	по отношению	11	3
117	на него	2	3
118	если бы	9	3
119	так называемой	3	3
120	окно и	2	3
121	отношению к	11	3
122	сих пор	3	3
123	с одной	2	3
124	не к	3	3
125	когда он	3	3
126	с точки	2	3
127	здесь не	3	3
128	и его	13	3
129	как на	2	3
130	как только	2	3
131	тому же	2	3
132	быть и	3	3
133	весны и	2	3
134	до сих	3	3
135	и притом	2	2
136	и следовательно	5	2
137	в себе	3	2
138	и вообще	3	2
139	отношение к	4	2
140	и наконец	3	2
141	он должен	3	2
142	между ними	2	2
143	в момент	2	2
144	самом деле	3	2
145	тем как	2	2
146	не так	2	2
147	эти и	2	2
148	но мы	2	2
149	точка зрения	3	2
150	одной стороны	2	2
151	себя и	2	2
152	можно сказать	5	2
153	для него	3	2
154	относится к	2	2
155	с его	2	2
156	сказать что	7	2
157	он не	2	2
158	другой стороны	2	2
159	дело в	4	2
160	его как	2	2
161	мы можем	2	2
162	общего с	2	2
163	как не	2	2
164	с этой	2	2
165	в пределах	3	2
166	быть только	2	2
167	в жизни	5	2
168	но тем	2	2
169	и так	2	2
170	и является	4	2
171	в чем	2	2
172	им не	2	2
173	оно не	2	2
174	но что	2	2
175	по себе	3	2
176	к материалу	4	2
177	значения и	2	2
178	из этого	3	2
179	в нашем	11	2
