N	2gram	Tiupa_Anal	StatiiOP
1	и в	30	103
2	в том	36	89
3	том что	21	77
4	в этом	31	76
5	что в	7	74
6	не только	30	60
7	и т	3	51
8	о том	11	47
9	но и	29	46
10	то что	11	44
11	что он	3	42
12	в его	15	42
13	и не	33	41
14	может быть	33	38
15	было бы	4	32
16	в этой	12	31
17	вовсе не	4	31
18	все это	2	29
19	тем что	2	29
20	таким образом	5	28
21	а в	11	27
22	а не	25	27
23	но в	11	26
24	так и	16	25
25	пушкина как	2	24
26	этом отношении	5	24
27	и его	9	24
28	все же	4	23
29	не в	17	23
30	так что	3	23
31	точки зрения	10	23
32	потому что	3	23
33	того что	5	22
34	в области	4	22
35	прежде всего	8	22
36	для того	4	22
37	в которой	3	22
38	как в	3	22
39	того чтобы	3	21
40	это не	7	20
41	т п	3	19
42	в то	10	19
43	в своей	7	19
44	только в	8	19
45	не может	26	18
46	с другой	7	18
47	в котором	5	18
48	он не	4	18
49	самом деле	3	17
50	в данном	6	17
51	в самом	12	17
52	как бы	15	17
53	сказать что	2	16
54	если бы	6	16
55	в этих	3	16
56	в отношении	2	15
57	как и	23	15
58	для него	5	15
59	по поводу	4	15
60	другой стороны	2	15
61	из этих	2	15
62	я не	2	15
63	также и	3	15
64	и на	10	15
65	у него	5	15
66	как раз	5	15
67	была бы	4	14
68	так например	2	14
69	к тому	12	14
70	между тем	7	14
71	то же	12	14
72	с точки	6	14
73	и что	2	14
74	в своем	2	13
75	в конце	4	13
76	со стороны	5	13
77	а с	3	13
78	что касается	4	13
79	тому что	2	13
80	в качестве	38	13
81	в нем	3	13
82	именно в	6	13
83	из них	2	13
84	в той	8	13
85	вместе с	6	13
86	не менее	5	12
87	в тексте	26	12
88	так как	3	12
89	в первой	2	12
90	хотя бы	4	12
91	ни в	5	12
92	никогда не	4	11
93	вопрос о	2	11
94	и с	2	11
95	в другом	4	11
96	должна была	2	11
97	своего рода	12	11
98	все эти	3	11
99	и по	2	11
100	из его	2	11
101	на то	2	11
102	на самом	2	10
103	ответ на	3	10
104	в виду	2	10
105	а как	4	10
106	в частности	32	10
107	на вопрос	5	10
108	ничего не	10	10
109	не столько	5	10
110	речь идет	2	10
111	в целом	9	10
112	что и	5	10
113	в начале	3	10
114	во всех	5	10
115	во второй	3	10
116	но не	13	10
117	же время	7	10
118	в чем	2	9
119	такого рода	6	9
120	что же	3	9
121	несмотря на	5	9
122	место в	3	9
123	он был	3	9
124	можно сказать	6	9
125	в одном	3	9
126	не является	3	9
127	с этой	2	9
128	времени и	7	9
129	и для	3	9
130	и к	5	9
131	что мы	3	9
132	внимание на	3	9
133	говорит о	5	9
134	и тем	4	9
135	при помощи	2	8
136	могут быть	12	8
137	отношение к	2	8
138	в их	8	8
139	той же	4	8
140	в какой	3	8
141	связи с	2	8
142	к этому	2	8
143	а также	8	8
144	мы имеем	9	8
145	дело не	5	8
146	в результате	3	8
147	тем не	3	8
148	и даже	10	8
149	в речи	3	8
150	одним из	3	8
151	совершенно не	2	8
152	такой же	3	8
153	и о	3	8
154	заключается в	2	8
155	и более	5	8
156	по его	2	8
157	данном случае	3	7
158	о чем	3	7
159	вплоть до	2	7
160	одной из	2	7
161	что все	2	7
162	в эту	3	7
163	того же	7	7
164	как это	5	7
165	тем более	2	7
166	в ее	2	7
167	не все	3	7
168	и то	4	7
169	то в	2	7
170	отличается от	3	7
171	лишь в	12	7
172	еще не	5	7
173	отношению к	9	7
174	на этот	2	7
175	по себе	6	7
176	из этого	2	7
177	не просто	2	7
178	не мог	3	7
179	даже в	5	6
180	случае в	2	6
181	в себе	17	6
182	по отношению	10	6
183	должен быть	6	6
184	в новом	2	6
185	из которых	4	6
186	к нему	4	6
187	и все	5	6
188	по крайней	4	6
189	что на	3	6
190	в известном	2	6
191	на его	4	6
192	языка и	2	6
193	и во	3	6
194	в литературном	2	6
195	с его	3	6
196	крайней мере	4	6
197	одно из	2	6
198	независимо от	2	6
199	его как	3	6
200	отношения между	2	6
201	и сам	4	6
202	этом смысле	3	6
203	в устах	2	6
204	времени не	2	6
205	только не	6	6
206	говорить о	3	6
207	и за	3	6
208	не о	3	5
209	свое время	3	5
210	его в	2	5
211	нас к	2	5
212	представляет собою	2	5
213	на себя	5	5
214	этого рода	2	5
215	даже не	2	5
216	не был	2	5
217	для себя	3	5
218	что именно	2	5
219	в свое	3	5
220	том же	2	5
221	как он	4	5
222	и потому	2	5
223	не так	3	5
224	не приходится	2	5
225	а то	3	5
226	в сторону	6	5
227	одного из	4	5
228	одной стороны	6	5
229	что не	3	5
230	один из	4	5
231	при этом	20	5
232	думать что	2	5
233	в сущности	10	5
234	никто не	3	5
235	в двух	4	5
236	хотя и	4	5
237	или иного	3	5
238	того или	3	5
239	всех этих	2	5
240	на это	2	5
241	не как	2	5
242	текста в	18	5
243	как говорит	3	5
244	как будто	6	5
245	с одной	7	5
246	на протяжении	2	5
247	том чтобы	7	5
248	нет и	2	5
249	ни с	5	5
250	вообще не	2	5
251	ее в	2	5
252	столь же	7	5
253	и если	2	5
254	уже не	6	5
255	если не	2	5
256	не могут	3	4
257	на этом	4	4
258	то есть	19	4
259	и эти	2	4
260	по своей	6	4
261	казалось бы	2	4
262	не всегда	4	4
263	еще в	4	4
264	в романе	2	4
265	что ни	2	4
266	не знает	4	4
267	всего в	3	4
268	в такой	2	4
269	не являются	2	4
270	которые в	3	4
271	мере в	4	4
272	только с	2	4
273	состоит в	16	4
274	культуры в	2	4
275	и те	2	4
276	в процессе	2	4
277	в поэзии	2	4
278	обращает на	3	4
279	и тогда	3	4
280	в связи	2	4
281	в первом	3	4
282	случае не	2	4
283	этого слова	10	4
284	который в	3	4
285	как мы	3	4
286	да и	2	4
287	если в	3	4
288	для этого	2	4
289	за пределы	6	4
290	сами по	3	4
291	есть в	4	4
292	борьба с	3	4
293	в обоих	3	4
294	в центре	3	4
295	и тот	2	4
296	на него	3	4
297	что как	3	4
298	все они	2	4
299	как о	2	4
300	и их	2	4
301	а именно	3	4
302	тому же	6	4
303	как известно	4	4
304	все что	3	4
305	совпадает с	6	4
306	более чем	4	4
307	или в	2	4
308	в таком	5	4
309	в основе	6	4
310	быть не	3	4
311	или иначе	2	4
312	будто бы	4	4
313	или иной	8	3
314	в драме	2	3
315	из того	5	3
316	той мере	2	3
317	от него	2	3
318	в полном	2	3
319	при всей	4	3
320	и наконец	2	3
321	вопроса о	4	3
322	попадает в	2	3
323	с той	2	3
324	как к	2	3
325	оказывается в	2	3
326	тогда когда	3	3
327	к своему	2	3
328	внимания на	2	3
329	или менее	2	3
330	его от	3	3
331	на котором	3	3
332	себе в	2	3
333	на которую	2	3
334	может служить	3	3
335	и как	6	3
336	разного рода	3	3
337	не говоря	2	3
338	о жизни	3	3
339	здесь не	2	3
340	не будет	3	3
341	а затем	3	3
342	представляют собой	4	3
343	себя и	5	3
344	этом случае	4	3
345	том числе	3	3
346	бы то	3	3
347	к его	3	3
348	это еще	2	3
349	бы в	3	3
350	известном смысле	2	3
351	то и	2	3
352	в сознании	6	3
353	и до	3	3
354	х годов	2	3
355	в словах	2	3
356	бы ни	2	3
357	особенно в	9	3
358	при таком	2	3
359	от которого	4	3
360	который не	2	3
361	бы не	3	3
362	борьбы с	3	3
363	такое отношение	2	3
364	в рассказе	2	3
365	за рамки	2	3
366	не должен	2	3
367	что из	2	3
368	я и	8	3
369	себя внимание	3	3
370	здесь совершенно	2	3
371	представляет собой	23	3
372	он и	3	3
373	может не	2	3
374	в один	4	3
375	то ни	3	3
376	более или	2	3
377	отношения к	4	3
378	не к	3	3
379	взгляд на	2	3
380	на основе	3	3
381	писал в	2	3
382	тем самым	9	2
383	было написано	4	2
384	в диалог	2	2
385	ни о	3	2
386	его к	3	2
387	нуждается в	9	2
388	равной мере	2	2
389	в литературе	4	2
390	такова что	2	2
391	его создания	2	2
392	для научного	2	2
393	в рамках	5	2
394	едва ли	4	2
395	ведь это	2	2
396	от себя	4	2
397	истории литературы	4	2
398	проявляется в	4	2
399	от своего	3	2
400	зрения в	2	2
401	текст в	3	2
402	тем как	2	2
403	отличие от	8	2
404	всякий раз	3	2
405	отношением к	2	2
406	до его	2	2
407	на этой	2	2
408	об этих	2	2
409	борьбу с	2	2
410	в сочетании	7	2
411	на себе	3	2
412	времени в	4	2
413	которая в	3	2
414	говорит и	2	2
415	в полной	3	2
416	между собой	2	2
417	то его	2	2
418	тогда как	30	2
419	той или	8	2
420	жизнью и	2	2
421	тот же	2	2
422	бы быть	3	2
423	в которую	2	2
424	какой бы	2	2
425	событий и	2	2
426	никак не	2	2
427	в контексте	5	2
428	тут же	2	2
429	произведения как	8	2
430	рассказ о	3	2
431	текста с	2	2
432	то он	3	2
433	не знаю	2	2
434	это особый	2	2
435	в равной	4	2
436	образом не	3	2
437	по преимуществу	4	2
438	из своих	2	2
439	с ее	2	2
440	дело с	5	2
441	перед собой	2	2
442	за ним	2	2
443	как правило	7	2
444	мысль о	2	2
445	превращается в	3	2
446	он по	2	2
447	ни было	4	2
448	не означает	2	2
449	только одно	2	2
450	в пределах	11	2
451	в отличие	8	2
452	в ином	2	2
453	обоих случаях	2	2
454	не случайно	11	2
455	далеко не	6	2
456	он может	2	2
457	это была	2	2
458	о своей	2	2
459	сочетании с	7	2
460	но к	3	2
461	на которой	2	2
462	соответствии с	3	2
463	и стал	2	2
464	те же	3	2
465	произведения в	14	2
466	не могу	2	2
467	роль в	3	2
468	смысл его	3	2
469	свидетельствует о	4	2
470	в случае	7	2
471	в поле	4	2
472	с их	2	2
473	же самое	3	2
474	жизни но	3	2
475	собой в	2	2
476	не оставляет	2	2
477	на все	2	2
478	имеем дело	7	2
479	художественного творчества	2	2
480	первой части	2	2
