N	2gram	Tiupa_Teor	Hudozhes
1	в качестве	33	31
2	то есть	22	26
3	в мире	26	24
4	и в	24	23
5	не только	24	20
6	состоит в	22	20
7	в том	20	20
8	от лат	12	19
9	может быть	22	19
10	при этом	20	19
11	в частности	23	18
12	художественной деятельности	17	17
13	и не	17	16
14	тогда как	18	15
15	внутренней речи	13	14
16	но и	14	14
17	в рамках	13	13
18	литературного произведения	11	13
19	а в	15	13
20	в себе	14	13
21	я в	18	13
22	художественного текста	11	13
23	но не	13	13
24	в тексте	19	13
25	модуса художественности	6	13
26	а не	14	13
27	произведение искусства	12	12
28	то же	12	12
29	такого рода	13	12
30	в этом	12	12
31	природа литературы	3	12
32	и его	11	12
33	так и	14	12
34	эстетического отношения	12	11
35	как бы	8	11
36	точки зрения	11	11
37	представляет собой	13	11
38	в его	12	11
39	сводится к	12	11
40	но в	12	10
41	по отношению	10	10
42	отношению к	10	10
43	эстетическое отношение	10	10
44	художественной культуры	9	9
45	не в	9	9
46	в душе	9	9
47	или иной	7	9
48	том что	11	9
49	коммуникативного события	10	9
50	художественного письма	7	9
51	присутствия в	8	9
52	не может	8	9
53	с другой	9	9
54	не сводится	9	9
55	своего рода	11	9
56	эстетического завершения	11	9
57	в искусстве	9	9
58	особого рода	7	8
59	в то	9	8
60	в миропорядке	8	8
61	себя в	7	8
62	художественного языка	8	8
63	в принципе	7	8
64	эмоциональной рефлексии	8	8
65	в области	7	8
66	парадигмы художественности	7	8
67	его внешней	2	8
68	эмоциональная рефлексия	5	8
69	знаковой системы	6	8
70	в самом	7	7
71	и т.п	7	7
72	по своей	8	7
73	отношение к	7	7
74	внутреннего зрения	11	7
75	я и	2	7
76	лишь в	10	7
77	в своей	8	7
78	только в	9	7
79	же время	8	7
80	как это	10	7
81	что в	10	7
82	отличие от	7	7
83	в отличие	7	7
84	в основе	6	7
85	не столько	7	7
86	в состав	6	6
87	вторичной знаковой	5	6
88	внутреннего я	6	6
89	всего лишь	8	6
90	более или	6	6
91	мы имеем	7	6
92	искусства в	5	6
93	модус художественности	6	6
94	уже не	6	6
95	другой стороны	6	6
96	по сути	5	6
97	приводит к	6	6
98	а также	7	6
99	присутствия я	7	6
100	объектной организации	10	6
101	художественности в	5	6
102	в нем	7	6
103	с ее	4	6
104	можно сказать	5	6
105	в ее	6	6
106	художественного творчества	5	6
107	с его	6	6
108	или менее	6	6
109	я с	5	5
110	тем самым	6	5
111	искусство слова	2	5
112	речевая маска	5	5
113	субъектной организации	9	5
114	ни в	5	5
115	с другими	6	5
116	высказывания в	5	5
117	той или	3	5
118	или иначе	6	5
119	картина мира	6	5
120	художественной реальности	7	5
121	самим собой	4	5
122	конечном счете	6	5
123	могут быть	5	5
124	в конечном	6	5
125	я есть	5	5
126	в художественном	5	5
127	между ними	6	5
128	и одновременно	5	5
129	место в	7	5
130	как к	5	5
131	не предполагает	5	5
132	лирический герой	3	5
133	естественного языка	4	5
134	эстетическая деятельность	6	5
135	хх века	4	5
136	иначе говоря	5	5
137	для того	5	5
138	внешней заданности	2	5
139	того чтобы	5	5
140	знака к	5	5
141	в виду	5	5
142	кто говорит	5	5
143	в ходе	5	5
144	а на	3	5
145	со стороны	6	5
146	в их	4	5
147	не является	5	5
148	героя и	6	5
149	слова как	3	5
150	что он	4	5
151	не на	4	5
152	от гр	4	5
153	то что	6	5
154	не менее	6	5
155	прежде всего	3	5
156	художественного сознания	5	5
