N	2gram	Vinokur_Ku	OGranits
1	и в	44	13
2	и его	8	12
3	прежде всего	14	9
4	и не	23	8
5	не может	13	8
6	может быть	25	8
7	в его	16	7
8	и пр	23	7
9	и их	2	7
10	точки зрения	25	7
11	не только	29	6
12	социального общения	3	6
13	мы должны	2	6
14	как бы	11	6
15	таким образом	17	6
16	только в	15	6
17	то что	14	6
18	языка и	16	5
19	все же	17	5
20	с точки	16	5
21	но ведь	3	5
22	хотя бы	19	5
23	мы можем	2	4
24	еще и	7	4
25	но в	11	4
26	только и	3	4
27	лишь в	6	4
28	то же	12	4
29	тех пор	2	4
30	не является	2	4
31	в своей	4	4
32	все это	10	4
33	было бы	28	4
34	лингвистического вкуса	4	4
35	вопроса о	7	4
36	в каждом	3	4
37	слов и	2	4
38	на фоне	3	4
39	никогда не	2	3
40	да и	5	3
41	языка как	7	3
42	и для	3	3
43	слово в	2	3
44	общего с	2	3
45	и то	7	3
46	и все	4	3
47	в ее	2	3
48	превращается в	4	3
49	вряд ли	5	3
50	с этим	6	3
51	отношению к	9	3
52	и уже	2	3
53	как и	3	3
54	в пределах	8	3
55	не в	18	3
56	в их	3	3
57	говорить о	5	3
58	ничего общего	2	3
59	так как	16	3
60	в себе	4	3
61	поставить вопрос	2	3
62	что в	25	3
63	по отношению	9	3
64	точку зрения	2	3
65	но для	4	3
66	самом деле	17	3
67	так и	10	3
68	что же	11	3
69	в которой	7	3
70	не как	2	3
71	к одному	2	3
72	в одном	4	3
73	в искусстве	2	3
74	здесь мы	2	3
75	но и	13	3
76	не столько	2	3
77	в самом	20	2
78	могут быть	5	2
79	может иметь	3	2
80	своего рода	4	2
81	в этом	31	2
82	смысле слова	3	2
83	в них	10	2
84	и должно	2	2
85	данном случае	2	2
86	уже в	5	2
87	языка но	3	2
88	в том	47	2
89	тем что	9	2
90	в отношении	2	2
91	есть не	2	2
92	несмотря на	6	2
93	в целом	5	2
94	если бы	21	2
95	речи не	3	2
96	от этого	4	2
97	о языке	8	2
98	с одной	3	2
99	не имеет	6	2
100	или иного	5	2
101	зависимости от	9	2
102	роль в	6	2
103	но так	2	2
104	ее в	2	2
105	более того	2	2
106	в действительности	2	2
107	с другой	14	2
108	там где	7	2
109	слова и	8	2
110	разумеется что	2	2
111	языковых форм	2	2
112	а в	7	2
113	и тем	7	2
114	том что	30	2
115	того или	6	2
116	же слово	2	2
117	а также	3	2
118	в г	3	2
119	в языке	16	2
120	в связи	4	2
121	с историей	2	2
122	в зависимости	7	2
123	в данном	8	2
124	в общем	4	2
125	не менее	12	2
126	и следовательно	2	2
127	с ними	6	2
128	все эти	17	2
129	в области	15	2
130	связанные с	3	2
131	так же	8	2
132	что они	5	2
133	нуждается в	5	2
134	и историей	2	2
135	и при	3	2
136	с этой	4	2
137	и может	3	2
138	в своих	2	2
139	в нем	7	2
140	не на	4	2
141	в тех	4	2
142	при этом	6	2
143	истории языка	5	2
144	что иное	2	2
145	а не	17	2
146	между собою	3	2
147	в ней	6	2
148	общения и	2	2
149	как в	6	2
150	другой стороны	12	2
151	школы и	2	2
152	который мы	2	2
153	и является	4	2
154	одной стороны	2	2
155	бы в	8	2
156	между тем	11	2
157	в целях	2	2
158	в чем	2	2
159	связанных с	2	2
160	на язык	4	2
161	соответствии с	5	2
162	тот же	7	2
163	иное как	3	2
164	не что	2	2
165	в лингвистике	3	2
166	в другом	2	2
167	вовсе не	18	2
168	к сожалению	2	2
169	материалом для	2	2
170	учение о	4	2
171	подойти к	3	2
172	к тому	8	2
173	не мог	2	2
174	с помощью	12	2
175	для него	2	2
176	в структуре	3	2
