N	2gram	Bakhtin_Pr	Stilisti
1	и в	64	42
2	как бы	33	30
3	не только	26	28
4	прежде всего	16	22
5	хотя бы	4	18
6	то же	18	16
7	но и	26	16
8	и не	55	14
9	не может	26	13
10	может быть	43	13
11	как и	25	12
12	точки зрения	31	11
13	мы уже	4	11
14	в себе	11	10
15	и как	9	10
16	мы должны	3	10
17	в этом	33	10
18	как мы	13	10
19	в то	15	9
20	все же	11	9
21	то что	21	9
22	при этом	8	9
23	мы не	4	9
24	ничего не	8	8
25	так как	9	8
26	и это	8	8
27	слово как	5	8
28	в ней	2	8
29	что же	9	8
30	таким образом	15	8
31	с его	11	8
32	никогда не	11	7
33	и от	3	7
34	в которой	2	7
35	зависимости от	5	7
36	же время	13	7
37	так и	8	7
38	потому что	8	7
39	слов и	2	7
40	только в	13	7
41	а не	29	7
42	и на	16	7
43	того чтобы	2	7
44	в зависимости	5	7
45	было бы	8	7
46	и его	21	7
47	той же	8	7
48	точкой зрения	2	6
49	и так	2	6
50	бы в	7	6
51	во всех	4	6
52	не в	15	6
53	но ведь	3	6
54	точку зрения	7	6
55	в конце	8	6
56	или как	8	6
57	речи и	4	6
58	в нем	28	6
59	если б	2	6
60	в процессе	6	6
61	на его	2	6
62	в его	30	6
63	в форме	8	6
64	слова в	12	6
65	в этой	5	6
66	мы будем	2	6
67	с помощью	2	6
68	все время	3	5
69	в сознании	3	5
70	и следовательно	7	5
71	в нашем	2	5
72	то есть	3	5
73	мы увидим	6	5
74	слова и	8	5
75	и наконец	7	5
76	и их	3	5
77	своей жизни	2	5
78	самом деле	10	5
79	а с	2	5
80	но все	6	5
81	и является	2	5
82	тому что	3	5
83	точек зрения	7	5
84	а в	10	5
85	но в	14	5
86	те же	3	5
87	в самом	17	5
88	и с	9	5
89	уже в	5	5
90	в той	5	5
91	с точки	21	5
92	художественного творчества	5	5
93	да и	2	4
94	что это	2	4
95	слов в	2	4
96	слово не	8	4
97	в одном	20	4
98	так же	8	4
99	так сказать	9	4
100	в словах	4	4
101	его в	8	4
102	на него	6	4
103	если бы	12	4
104	лишь в	4	4
105	были бы	5	4
106	слова как	3	4
107	у нас	3	4
108	к своему	2	4
109	того что	3	4
110	всего в	2	4
111	самого начала	2	4
112	можно было	3	4
113	один из	3	4
114	и все	6	4
115	в каждом	15	4
116	к тому	4	4
117	о том	5	4
118	и пр	5	4
119	что такое	2	4
120	точка зрения	13	4
121	если мы	3	4
122	уже не	15	4
123	и к	5	4
124	речь и	2	4
125	в целом	8	4
126	мы видим	3	4
127	все это	9	4
128	себя в	3	4
129	можно сказать	2	4
130	в слове	3	4
131	социальной группы	2	4
132	тем же	3	4
133	сказать что	4	3
134	на самом	5	3
135	слово и	9	3
136	это не	12	3
137	слова но	4	3
138	но при	4	3
139	том что	8	3
140	и эта	2	3
141	но для	3	3
142	перед нами	12	3
143	словом и	3	3
144	о своем	3	3
145	об этом	3	3
146	и слово	4	3
147	и даже	5	3
148	этого слова	3	3
149	от того	4	3
150	и здесь	6	3
151	целый ряд	2	3
152	социальной жизни	2	3
153	в устах	2	3
154	конце концов	7	3
155	для наших	2	3
156	во второй	2	3
157	в виду	3	3
158	и внутренняя	2	3
159	в том	12	3
160	он должен	2	3
161	еще не	10	3
162	только на	3	3
163	ведь в	2	3
164	вследствие этого	2	3
165	совершенно не	5	3
166	его и	3	3
167	может стать	5	3
168	как в	7	3
169	не знает	6	3
170	только он	2	3
171	для него	23	3
172	не становится	6	3
173	то он	3	3
174	как предмет	4	3
175	и для	7	3
176	ни на	3	3
