N	2gram	Propp_Russ	Dialekti
1	т е	41	159
2	и не	6	120
3	и т	13	82
4	а не	3	78
5	и в	59	77
6	т д	12	75
7	точки зрения	3	72
8	может быть	14	71
9	не только	28	66
10	значит что	2	61
11	то что	10	59
12	ничего не	4	54
13	не может	6	53
14	так как	25	46
15	с точки	3	46
16	что это	4	46
17	потому что	15	45
18	не просто	3	44
19	как бы	18	43
20	и что	8	42
21	не имеет	9	41
22	в том	33	40
23	в этом	18	39
24	то же	6	39
25	что она	4	38
26	том что	33	37
27	что он	2	37
28	прежде всего	2	37
29	это не	14	36
30	так что	4	36
31	что в	35	34
32	в нем	3	34
33	и все	4	33
34	того что	6	33
35	но и	20	32
36	все это	12	31
37	и как	2	30
38	отнюдь не	3	30
39	так и	8	29
40	было бы	3	29
41	как и	19	28
42	в виду	3	26
43	не в	2	26
44	есть и	2	26
45	и то	2	25
46	и пр	4	25
47	говорить о	2	25
48	но это	5	24
49	в то	3	23
50	таким образом	10	23
51	но что	2	22
52	она не	4	21
53	только тогда	3	20
54	что все	2	20
55	только в	4	20
56	что и	8	20
57	о том	14	20
58	уже не	9	20
59	и с	12	20
60	в таком	5	20
61	в своем	3	19
62	как это	11	19
63	не менее	3	19
64	и это	2	19
65	тогда когда	4	19
66	и его	2	19
67	иное как	3	18
68	не что	3	18
69	что иное	3	18
70	но если	2	17
71	должно быть	2	17
72	в особенности	3	17
73	он есть	2	17
74	мы не	11	16
75	кроме того	3	16
76	или не	2	16
77	к нему	3	16
78	об этом	11	16
79	тем не	3	16
80	и о	4	15
81	быть и	3	15
82	все же	7	15
83	так же	7	15
84	в виде	10	15
85	хотя и	3	15
86	на то	2	15
87	несмотря на	4	15
88	мы уже	2	15
89	и потому	3	14
90	жизнь и	2	14
91	и ее	3	14
92	с ним	2	14
93	а именно	2	14
94	не было	3	14
95	и следовательно	2	13
96	в силу	2	13
97	но в	5	13
98	в ней	3	13
99	говорит о	3	13
100	что именно	3	13
101	что они	8	13
102	и к	3	13
103	вопрос о	4	12
104	могут быть	3	12
105	еще не	7	12
106	все эти	5	12
107	именно в	3	12
108	перед нами	2	12
109	а в	16	12
110	с этим	4	12
111	но не	7	12
112	та же	4	11
113	мы должны	3	11
114	только на	4	11
115	в них	10	11
116	что если	2	11
117	в данном	7	11
118	мы имеем	7	11
119	как только	2	11
120	есть в	2	11
121	не значит	2	11
122	из них	12	11
123	или в	7	11
124	одно из	6	10
125	от этого	2	10
126	к тому	4	10
127	е в	17	10
128	как мы	11	10
129	в его	3	10
130	для того	6	10
131	с этой	2	10
132	и для	3	10
133	что для	4	10
134	оно не	2	10
135	в их	5	10
136	в частности	2	10
137	мы видим	2	10
138	то и	4	10
139	как будто	6	10
140	в жизни	2	10
141	во всем	2	10
142	только как	2	10
143	как он	2	9
144	и по	10	9
145	иметь в	2	9
146	подобно тому	3	9
147	в этих	3	9
148	и более	3	9
149	в котором	2	9
150	тому как	3	9
151	в одном	4	9
152	и от	2	9
153	тому что	4	9
154	же как	5	9
155	с ними	6	9
156	при этом	11	9
157	то время	3	9
158	всех этих	2	9
159	мы можем	2	9
160	на этом	6	9
161	и на	14	9
162	на самом	3	8
163	не на	2	8
164	в дальнейшем	2	8
165	в этой	4	8
166	у нас	11	8
167	и из	3	8
168	но все	3	8
169	один из	10	8
170	но она	3	8
171	когда мы	2	8
172	ничего общего	3	8
173	что есть	2	8
174	как не	2	8
175	в разных	3	8
176	что здесь	4	7
177	из этих	6	7
178	он должен	2	7
179	и при	2	7
180	что этот	4	7
181	или вообще	3	7
182	связи с	6	7
183	его с	4	7
184	его как	2	7
185	на первый	3	7
186	тем что	7	7
187	в связи	4	7
188	думать что	3	7
189	очень много	2	7
190	все что	2	7
191	не всегда	4	7
192	и их	4	7
193	как в	10	7
194	на что	2	7
195	из которых	2	7
196	так чтобы	2	7
197	как на	2	7
198	только одно	2	7
199	но он	3	7
200	в один	2	6
201	с тем	14	6
202	того чтобы	6	6
203	себя и	2	6
204	одна из	12	6
205	для этого	6	6
206	тут же	2	6
207	в природе	2	6
208	в которой	3	6
209	но они	4	6
210	она в	4	6
211	вместе с	16	6
212	его в	9	6
213	о чем	7	6
214	по существу	7	6
215	по своему	2	6
216	можно было	3	6
217	того как	6	6
218	показывает что	9	6
219	во всех	6	6
220	дело не	2	6
221	не с	5	6
222	ее в	7	6
223	уже в	2	6
