N	2gram	Tiupa_Anal	VerxiiNi
1	и в	36	26
2	таким образом	4	22
3	с тем	2	18
4	в этом	19	15
5	вместе с	3	15
6	точки зрения	3	13
7	как бы	14	12
8	в том	16	11
9	не только	40	10
10	из этих	4	10
11	может быть	19	10
12	что в	15	9
13	но и	26	9
14	но не	13	8
15	с другой	10	8
16	в общем	4	8
17	и не	14	8
18	одной стороны	3	7
19	из них	4	7
20	то что	5	7
21	с одной	3	7
22	но в	8	7
23	том что	19	7
24	а с	2	7
25	в отношении	2	6
26	все же	6	6
27	к тому	10	6
28	о том	9	6
29	того же	7	6
30	в себе	7	6
31	в конце	6	6
32	несмотря на	2	6
33	всяком случае	6	6
34	что и	10	6
35	с точки	2	6
36	и т.д	3	6
37	все эти	2	6
38	все это	5	6
39	и потому	3	6
40	так и	19	6
41	во всяком	6	6
42	никогда не	7	5
43	в мире	17	5
44	одной из	6	5
45	и для	4	5
46	и к	7	5
47	в силу	2	5
48	отношение к	2	5
49	к жизни	5	5
50	лишь в	9	5
51	в его	12	5
52	крайней мере	5	5
53	а не	16	5
54	тому же	7	5
55	по крайней	5	5
56	и от	3	4
57	далеко не	8	4
58	а в	17	4
59	в самом	7	4
60	в нем	3	4
61	не может	3	4
62	то есть	15	4
63	из которых	2	4
64	то же	7	4
65	должен был	2	4
66	и что	2	4
67	и по	3	4
68	в этих	2	4
69	только в	9	4
70	что он	5	4
71	он не	9	4
72	во время	2	4
73	в этой	10	4
74	в то	8	4
75	в рамках	10	3
76	в своем	7	3
77	так или	5	3
78	но с	3	3
79	если в	3	3
80	или иначе	5	3
81	и если	2	3
82	уже не	9	3
83	к этому	3	3
84	путь к	4	3
85	в результате	6	3
86	в значительной	3	3
87	тем не	3	3
88	представляет собой	7	3
89	и даже	12	3
90	связывается с	3	3
91	и как	5	3
92	если бы	2	3
93	при этом	19	3
94	всегда и	2	3
95	не менее	9	3
96	как о	3	3
97	когда он	2	3
98	в качестве	22	3
99	в таком	2	3
100	так что	2	3
101	можно сказать	5	3
102	отношению к	9	3
103	в одном	4	3
104	того что	4	3
105	для него	8	3
106	по своему	3	2
107	одно из	3	2
108	сказать что	2	2
109	о котором	2	2
110	нами и	2	2
111	в эту	2	2
112	и является	3	2
113	или иной	9	2
114	не могут	2	2
115	а также	5	2
116	для всех	5	2
117	тех пор	2	2
118	состоит в	14	2
119	мы имеем	5	2
120	ко всему	2	2
121	мы можем	2	2
122	в начале	10	2
123	связь с	3	2
124	вплоть до	5	2
125	между тем	8	2
126	похож на	2	2
127	к его	2	2
128	в свою	9	2
129	не как	3	2
130	из своих	2	2
131	грань между	2	2
132	не могла	2	2
133	именно в	4	2
134	приводит к	5	2
135	те же	3	2
136	что мы	2	2
137	в них	4	2
138	только не	3	2
139	и на	5	2
140	и здесь	4	2
141	уже в	5	2
142	еще не	7	2
143	мысль о	3	2
144	к которому	2	2
145	по своей	5	2
146	все что	2	2
147	наконец в	3	2
148	жизни и	2	2
149	либо в	2	2
150	в новом	5	2
151	не было	3	2
152	превращается в	3	2
153	этом отношении	3	2
154	на пути	2	2
155	не в	9	2
156	у всех	2	2
157	не всегда	4	2
158	самой этой	2	2
159	той или	6	2
160	в одно	2	2
161	и все	3	2
162	же время	7	2
163	один из	6	2
164	со всеми	2	2
165	без остатка	2	2
166	прежде всего	7	2
167	его не	3	2
168	тот же	3	2
169	в глазах	6	2
170	с его	15	2
171	во всех	4	2
172	не с	3	2
