N	3gram	Bakhtin_sl	Formalny
1	с точки зрения	11	40
2	не может быть	11	29
3	то же время	15	20
4	в то же	15	20
5	и т д	7	19
6	и т п	49	18
7	во всяком случае	7	16
8	в связи с	2	16
9	по отношению к	2	12
10	так и в	5	11
11	в этом отношении	2	11
12	в зависимости от	4	10
13	в большинстве случаев	11	9
14	и не может	2	9
15	с другой стороны	5	9
16	как мы видели	2	8
17	до сих пор	4	8
18	с одной стороны	7	8
19	более или менее	5	7
20	а вовсе не	4	7
21	в свою очередь	3	7
22	и в этом	2	7
23	того или иного	2	7
24	может быть и	2	6
25	в данном случае	3	6
26	и в то	6	6
27	не только не	2	6
28	в том что	4	6
29	до известной степени	3	5
30	в значительной степени	6	5
31	одной стороны и	2	5
32	в отличие от	12	5
33	как бы ни	2	5
34	к тому что	2	5
35	тем не менее	2	4
36	не могут быть	3	4
37	и не могут	2	4
38	в лучшем случае	3	4
39	но и в	2	4
40	т п в	2	4
41	сама по себе	2	4
42	взаимодействии с другими	2	3
43	с установкой на	4	3
44	в пределах одного	8	3
45	но в то	6	3
46	друг с другом	2	3
47	точки зрения самого	2	3
48	бы ни были	2	3
49	во всех областях	4	3
50	не только на	2	3
51	а не как	2	3
52	в широком смысле	3	2
53	не выходит за	3	2
54	оно не может	3	2
55	в отношении к	9	2
56	в пределах одной	3	2
57	же время и	2	2
58	и наконец в	2	2
59	может быть только	3	2
60	в поэтическом произведении	3	2
61	как и в	2	2
62	в самом предмете	3	2
63	выходит за пределы	3	2
64	но в этом	2	2
65	в известной степени	3	2
66	не только в	3	2
67	хотя бы и	5	2
68	в собственном смысле	2	2
69	до последнего времени	2	2
70	лишь тогда когда	2	2
71	в этом случае	4	2
72	в роман и	3	2
73	и в том	2	2
74	но оно не	3	2
