N	2gram	Losev_Prob	Tragedij
1	и в	62	18
2	в этом	25	9
3	не только	33	8
4	и не	56	7
5	он сам	7	7
6	и на	4	7
7	как бы	11	7
8	и с	11	7
9	может быть	39	7
10	что он	16	6
11	но в	17	6
12	и его	12	6
13	несмотря на	4	5
14	что это	3	5
15	все же	10	5
16	это не	10	5
17	то же	23	5
18	как и	15	5
19	так и	16	5
20	не может	14	5
21	в то	18	5
22	что в	11	4
23	еще не	12	4
24	в целом	9	4
25	но и	20	4
26	прежде всего	13	4
27	об этом	7	4
28	том что	25	4
29	в этой	10	4
30	и что	9	4
31	так же	11	4
32	и все	13	4
33	все это	9	4
34	в нем	13	4
35	то что	42	4
36	но это	13	4
37	и даже	21	4
38	в себе	23	4
39	и как	4	3
40	уже в	5	3
41	тем самым	9	3
42	к нему	3	3
43	в своем	7	3
44	при этом	9	3
45	в его	10	3
46	все эти	14	3
47	и он	3	3
48	отнюдь не	16	3
49	о чем	4	3
50	с ее	5	3
51	и сам	6	3
52	как будто	11	3
53	никто не	5	3
54	как в	10	3
55	как это	4	3
56	жизнь и	3	3
57	для него	4	3
58	то есть	63	3
59	в конце	7	3
60	с ним	11	3
61	никогда не	7	2
62	в самом	4	2
63	и то	17	2
64	но все	5	2
65	данном случае	12	2
66	по поводу	3	2
67	с тем	9	2
68	даже если	4	2
69	точно так	5	2
70	друг друга	5	2
71	тем что	8	2
72	перед нами	8	2
73	вопрос о	2	2
74	в одном	4	2
75	его в	4	2
76	не имеет	12	2
77	в виде	20	2
78	раз и	6	2
79	ничего не	4	2
80	то и	9	2
81	нет в	2	2
82	состоит из	6	2
83	имеет в	2	2
84	в данном	14	2
85	пусть мы	2	2
86	как же	3	2
87	в ее	6	2
88	но эта	4	2
89	что все	2	2
90	к тому	4	2
91	а как	2	2
92	от всего	3	2
93	о том	14	2
94	о его	3	2
95	что и	11	2
96	ни в	17	2
97	тут же	12	2
98	не в	21	2
99	и здесь	8	2
100	это уже	4	2
101	потому что	40	2
102	не просто	36	2
103	в известной	3	2
104	в частности	4	2
105	только о	3	2
106	в таком	11	2
107	еще раз	2	2
108	так что	21	2
109	он не	10	2
110	и ее	7	2
111	ничем не	2	2
112	и за	2	2
113	бы и	7	2
114	уже не	12	2
115	только к	4	2
116	что она	5	2
117	по мнению	2	2
118	и это	11	2
119	но они	4	2
120	не так	8	2
121	отличие от	3	2
122	в том	35	2
123	с первого	3	2
124	и до	3	2
125	чем он	2	2
126	который в	2	2
127	в отличие	2	2
128	не был	3	2
129	он и	3	2
